"tip_label","kingdom","phylum","class","order","family","genus","species","order2","alpha","family2","hab1","hab2","habitat_preference","num_present","family_common"
"otu_1374","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",11,"SG8-38"
"otu_755","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",5,"SG8-38"
"otu_2402","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38",NA,NA,"Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",5,"SG8-38"
"otu_2813","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",6,"SG8-38"
"otu_785","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",5,"SG8-38"
"otu_3238","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",5,"SG8-38"
"otu_530","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",7,"SG8-38"
"otu_8744","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_17049","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",5,"SG8-38"
"otu_4502","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",9,"SG8-38"
"otu_1728","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",5,"SG8-38"
"otu_10807","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_4422","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",8,"SG8-38"
"otu_5074","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_1686","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_3512","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_14761","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp013151775","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_7651","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_8479","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",4,"SG8-38"
"otu_5472","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_10003","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",8,"SG8-38"
"otu_2833","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",4,"SG8-38"
"otu_15677","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp009992505","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",6,"SG8-38"
"otu_7630","Bacteria","Myxococcota","Polyangia",NA,NA,NA,NA,"uncertain",0,"uncertain","terrestrial","terrestrial","terrestrial",6,"uncertain"
"otu_12186","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",6,"SG8-38"
"otu_9432","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",5,"SG8-38"
"otu_6512","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",8,"SG8-38"
"otu_5792","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","JAADHO01","JAADHO01 sp009992505","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",4,"SG8-38"
"otu_113","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","mud_and_shore","mud_and_shore","mud_and_shore",6,"SG8-38"
"otu_3164","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","terrestrial","terrestrial","terrestrial",14,"SG8-38"
"otu_2724","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",6,"SG8-38"
"otu_4542","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",4,"SG8-38"
"otu_4478","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",6,"SG8-38"
"otu_7787","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",15,"SG8-38"
"otu_5411","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","freshwater","freshwater",5,"SG8-38"
"otu_10093","Bacteria","Myxococcota","Polyangia","Polyangiales","SG8-38","GCA-2699025","GCA-2699025 sp002699025","Polyangiales",1,"SG8-38","freshwater","terrestrial","freshwater:terrestrial",10,"SG8-38"
