generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
140000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,0.1779,1.43091,0.337784,0
140000,otu_1610_Anaeromyxobacteraceae,otu_630_Anaeromyxobacteraceae,0.706878,22.0001,-5.57427,0.0797595,0
140000,otu_1438_Sandaracinaceae,otu_2204_Sandaracinaceae,0.682138,7.81334,-0.142865,2.05953,0
140000,otu_1287,otu_1332_40CM-4-68-19,0.424644,39.8791,-5.45389,0.0578369,0
140000,otu_1279_Haliangiaceae,otu_1485,0.588507,37.3938,-6.64396,0.770114,0
140000,otu_7158_Polyangiaceae,NA,0.960452,44.8927,1.81604,53.9014,0
140000,otu_5092_Polyangiaceae,otu_519_Polyangiaceae,0.772964,20.5665,-2.53441,2.22367,0
140000,otu_902_SG8-38,NA,0.99128,4.64581,0.0416503,3.57715,0
140000,otu_6388_Polyangiaceae,otu_617_Polyangiaceae,0.511646,29.9313,-5.41613,0.0154824,0
140000,otu_5792_SG8-38,otu_774_Sandaracinaceae,0.17931,25.8178,-3.25398,0.244636,0
160000,otu_9433_40CM-4-68-19,otu_5792_SG8-38,0,3.71558,-1.14195,7.60361,0
160000,otu_1610_Anaeromyxobacteraceae,otu_630_Anaeromyxobacteraceae,0.714225,20.1915,-4.57175,1.1927,0
160000,otu_1287,otu_1332_40CM-4-68-19,0.422065,33.5853,-5.21001,0.102579,0
160000,otu_3864_Haliangiaceae,NA,0.726641,7.27736,-1.26568,1.36038,0
160000,otu_238_SG8-38,NA,0.937398,4.77041,-0.836541,20.4015,0
160000,otu_1279_Haliangiaceae,otu_1485,0.590084,30.9139,-6.32891,0.143965,0
160000,otu_5092_Polyangiaceae,otu_519_Polyangiaceae,0.729093,15.116,-0.412782,2.93499,0
160000,otu_617_Polyangiaceae,otu_3878,0.512967,27.2918,-5.01784,0.000113512,0
160000,otu_5792_SG8-38,otu_774_Sandaracinaceae,0.196895,25.235,-3.13501,0.0164155,0
