generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2540000,11,-171.658,1299.78,8.65665,0.5505
2560000,7,-146.343,1318.55,7.56396,0.524
2580000,8,-156.875,1293.78,15.8459,0.538
2600000,15,-221.058,1304.44,16.8417,0.543
2620000,8,-139.066,1292.88,4.53547,0.551071
2640000,5,-116.907,1298.66,5.48177,0.505
2660000,8,-159.936,1311.17,13.0712,0.548
2680000,15,-216.7,1299.05,21.9122,0.583667
2700000,8,-144.553,1293.46,13.6979,0.577
2720000,8,-157.454,1308.6,9.58231,0.550353
2740000,7,-135.862,1290.61,5.49507,0.528
2760000,6,-125.271,1286.17,6.46922,0.553
2780000,11,-176.027,1281.38,17.2817,0.57
2800000,7,-134.615,1276.32,4.83062,0.518
2820000,9,-157.032,1296.18,14.6243,0.55075
2840000,9,-151.418,1281.13,11.847,0.56
2860000,9,-153.816,1296.93,9.74441,0.561667
2880000,8,-137.733,1288.1,11.2985,0.573
2900000,8,-151.33,1304.85,6.89576,0.517
2920000,8,-157.224,1298.09,14.2571,0.553667
2940000,10,-172.548,1300.47,7.97302,0.558333
2960000,7,-141.219,1301.92,5.6211,0.538
2980000,8,-141.236,1294.38,12.8915,0.5214
3000000,8,-154.379,1304.56,12.5957,0.542
3020000,8,-152.269,1301.43,7.4761,0.538625
3040000,6,-124.434,1296.92,2.47675,0.528
3060000,6,-119.004,1282.54,8.01621,0.492
3080000,8,-148.031,1303.38,13.5505,0.549
3100000,11,-176.587,1307.9,7.93025,0.565
3120000,13,-199.801,1305.77,10.6771,0.583
3140000,8,-152.447,1304.72,15.6214,0.58
3160000,6,-131.952,1299.58,3.61152,0.546333
3180000,8,-151.554,1288.62,5.4455,0.542879
3200000,7,-135.073,1283.78,6.54063,0.556
3220000,10,-164.024,1287.06,13.879,0.568
3240000,7,-144.83,1311.14,4.00235,0.5606
3260000,7,-133.873,1291.67,11.0296,0.533
3280000,7,-136.248,1296.86,7.69,0.578417
3300000,7,-141.412,1309.91,16.3561,0.560444
3320000,11,-181.227,1297.56,8.62441,0.563
3340000,11,-186.245,1311.26,11.5143,0.56325
3360000,6,-134.557,1301.85,5.01402,0.539
3380000,7,-139.503,1300.89,7.04525,0.556267
3400000,10,-167.29,1298.14,6.94738,0.588
3420000,7,-152.365,1318.82,4.71173,0.526
3440000,10,-167.4,1298.54,10.4941,0.543
3460000,7,-144.75,1305.68,8.46592,0.512
3480000,9,-164.27,1313.15,6.37566,0.575
3500000,7,-133.619,1295.23,8.41448,0.534
3520000,7,-141.038,1308.12,10.3798,0.524
3540000,9,-159.784,1306.55,14.3894,0.531
3560000,9,-160.836,1306.53,9.71431,0.547
3580000,7,-155.161,1312.54,6.77115,0.46
3600000,8,-154.561,1300.29,11.2233,0.592
3620000,6,-122.187,1303.23,6.74438,0.501
3640000,10,-171.552,1307.44,11.5838,0.549214
3660000,8,-143.279,1292.63,10.9231,0.546
3680000,8,-155.617,1298.37,4.98059,0.514
3700000,7,-139.619,1301.42,4.47167,0.481
3720000,10,-171.447,1289.86,16.7828,0.613
3740000,8,-148.626,1308.43,7.60291,0.533
3760000,8,-150.915,1290.05,4.6579,0.55
3780000,5,-113.499,1280.27,7.15634,0.552
3800000,9,-169.225,1301.94,5.36524,0.552
3820000,11,-182.934,1278.7,14.5121,0.572
3840000,9,-175.022,1312.03,12.2708,0.547857
3860000,9,-154.665,1300.4,5.58443,0.575
3880000,8,-152.718,1296.32,6.78089,0.540947
3900000,12,-188.242,1304.28,16.0174,0.572
3920000,7,-140.202,1304.9,5.93326,0.524
3940000,10,-175.368,1303.38,9.28345,0.542333
3960000,8,-155.321,1309.21,15.7964,0.55
3980000,7,-144.246,1310.49,10.1416,0.539
4000000,12,-197.252,1311.68,13.5649,0.5815
4020000,8,-157.645,1304.17,9.79262,0.58
4040000,12,-192.859,1290.33,17.2183,0.587
4060000,10,-173.187,1293.58,12.2608,0.551667
4080000,9,-157.398,1293.78,7.71826,0.548
4100000,9,-152.485,1282.4,12.4364,0.598
4120000,7,-137.244,1298.78,5.76741,0.548
4140000,8,-147.52,1304.86,9.05655,0.541
4160000,7,-134.842,1305.29,11.5872,0.548
4180000,14,-218.243,1288.33,18.0445,0.6
4200000,12,-186.9,1302.13,13.1778,0.589
4220000,9,-163.834,1332.82,8.25924,0.553333
4240000,8,-146.231,1299.22,9.37585,0.547
4260000,9,-161.916,1293.1,13.2909,0.584
4280000,8,-147.951,1299.16,10.008,0.582429
4300000,12,-198.87,1303.58,13.9091,0.596
4320000,7,-145.474,1317.68,10.6615,0.521
4340000,9,-157.074,1303.7,13.2658,0.563
4360000,10,-167.517,1312.19,10.4076,0.572
4380000,11,-192.267,1321.6,8.71144,0.573083
4400000,10,-171.034,1317.05,7.90485,0.5645
4420000,10,-180.172,1324.36,12.2662,0.516
4440000,11,-195.59,1334.85,9.07755,0.5782
4460000,10,-168.972,1299.2,16.9792,0.563591
4480000,9,-159.967,1300.74,9.49406,0.585
4500000,9,-163.109,1308.65,10.8103,0.536
4520000,12,-212.212,1330.61,17.5054,0.57
4540000,8,-146.627,1301.62,12.2322,0.582
4560000,7,-131.26,1284.36,4.32026,0.544
4580000,9,-166.154,1297.89,7.44809,0.501
4600000,7,-134.267,1290.63,9.33574,0.538
4620000,6,-129.785,1302.54,9.1854,0.557667
4640000,9,-157.475,1282.42,8.74331,0.566
4660000,8,-142.88,1291.01,6.15871,0.551667
4680000,6,-129.437,1294.65,8.60514,0.553
4700000,6,-130.082,1292.18,3.71706,0.550158
4720000,12,-204.959,1304.69,15.8369,0.564
4740000,7,-138.146,1301.29,8.78302,0.541
4760000,14,-199.163,1298.53,16.2073,0.593
4780000,8,-142.62,1302.89,7.39443,0.581
4800000,9,-158.373,1297.21,9.36298,0.563273
4820000,9,-157.473,1301.56,10.4061,0.537
4840000,8,-147.338,1295.07,9.51525,0.531
4860000,6,-125.426,1297.99,3.46288,0.513
4880000,6,-123.396,1298.59,9.29815,0.51
4900000,14,-213.915,1293.84,11.668,0.604
4920000,7,-132.097,1295.77,12.5724,0.521
4940000,11,-180.655,1302.85,16.3618,0.576
4960000,9,-150.85,1292.26,14.1481,0.586
4980000,17,-242.512,1324.41,13.8459,0.592
5000000,11,-176.056,1305.21,11.585,0.584
5020000,6,-135.03,1296.84,5.85351,0.537333
5040000,10,-164.135,1290.14,9.62005,0.585
5060000,7,-134.704,1296.14,8.01886,0.554
5080000,8,-148.658,1308.15,12.6835,0.526
5100000,11,-183.019,1293.54,15.1265,0.59
5120000,8,-141.008,1290.27,7.70567,0.541545
5140000,8,-155.246,1301.56,8.64893,0.560833
5160000,14,-208.995,1298.36,19.0933,0.5694
5180000,15,-217.847,1301.14,19.3208,0.6205
5200000,10,-171.86,1304.02,14.0869,0.53
5220000,9,-163.643,1304.75,4.88668,0.565
5240000,10,-190.79,1309.39,7.80046,0.527
5260000,9,-156.471,1300.15,9.37409,0.6095
5280000,7,-141.36,1289.83,8.44098,0.453
5300000,9,-162.859,1302.9,8.77976,0.575879
5320000,6,-128.536,1299.84,11.0475,0.485
5340000,9,-147.006,1289.75,5.39296,0.556
5360000,10,-157.595,1279.85,12.8795,0.517
5380000,10,-172.423,1306.89,8.92029,0.558143
5400000,10,-180.422,1305.87,9.82391,0.538952
5420000,8,-145.819,1304.23,10.1522,0.535
5440000,12,-202.751,1308.62,10.8418,0.584
5460000,8,-138.217,1287.44,9.49767,0.572
5480000,7,-133.455,1285.22,6.15052,0.541
5500000,12,-186.013,1293.13,10.8661,0.578
5520000,9,-160.227,1303.19,7.57762,0.546
5540000,9,-166.031,1291.18,16.0953,0.5185
5560000,13,-205.526,1302.94,11.0224,0.552
5580000,9,-168.391,1319.58,8.32347,0.5485
5600000,7,-141.439,1304.08,11.5084,0.561
5620000,15,-215.848,1297.02,13.5498,0.59675
5640000,10,-177.024,1298.59,12.6065,0.591
5660000,9,-157.792,1286.78,10.4892,0.541
5680000,7,-130.328,1276.81,7.15584,0.519
5700000,7,-145.52,1299.03,15.5993,0.525
5720000,6,-130.041,1293.18,7.20361,0.521
5740000,6,-131.367,1299.42,5.93849,0.469
5760000,12,-194.77,1286.73,8.78631,0.594
5780000,8,-149.66,1303.32,9.31981,0.541231
5800000,13,-206.86,1296.44,12.0488,0.5588
5820000,5,-99.6188,1267.35,6.5643,0.533
5840000,7,-137.179,1304.8,7.24765,0.495
5860000,8,-137.902,1277.63,12.8809,0.579
5880000,7,-130.841,1285.32,7.91305,0.522
5900000,9,-156.594,1304.97,8.86528,0.507
5920000,6,-121.504,1276.9,5.68483,0.5522
5940000,6,-133.284,1288.61,8.54167,0.522
5960000,9,-157.369,1297.19,8.39303,0.581
5980000,8,-154.177,1307.51,13.7638,0.560714
6000000,7,-144.27,1303.37,9.05873,0.541
6020000,8,-158.025,1301.71,12.7153,0.557
6040000,8,-148.807,1293.73,10.4941,0.553
6060000,8,-143.425,1290.76,7.35511,0.494
6080000,8,-153.066,1293.92,5.63859,0.5245
6100000,14,-207.602,1293.96,10.9079,0.617
6120000,8,-146.772,1301.11,7.18678,0.582
6140000,9,-151.863,1289.75,7.65588,0.584
6160000,7,-143.628,1307.78,5.18402,0.528
6180000,18,-254.173,1297.52,16.8986,0.61
6200000,8,-148.133,1291.2,8.84163,0.522
6220000,6,-122.676,1285.67,6.31651,0.501
6240000,9,-150.624,1297.48,15.0981,0.559
6260000,8,-145.005,1300.56,9.8892,0.549111
6280000,8,-144.138,1295.95,4.32011,0.541
6300000,8,-145.14,1290.07,10.1468,0.512
6320000,9,-154.813,1287.53,6.83218,0.580667
6340000,7,-133.573,1305.95,5.84771,0.504
6360000,7,-136.977,1296.58,6.17587,0.525
6380000,10,-174.597,1300.78,8.21496,0.575176
6400000,9,-151.169,1294.72,6.14944,0.56775
6420000,8,-148.105,1294.36,8.07459,0.5515
6440000,7,-132.419,1294.64,5.97448,0.521
6460000,7,-129.488,1287.37,11.1805,0.508
6480000,12,-183.892,1290.07,14.3684,0.565125
6500000,7,-136.037,1286.06,8.82362,0.551
6520000,6,-115.227,1286.91,5.15895,0.566
6540000,10,-172.242,1305.29,7.30086,0.568273
6560000,8,-151.681,1296.6,9.02895,0.594
6580000,7,-127.661,1276.75,3.85127,0.539
6600000,9,-155.66,1281.44,13.0567,0.576
6620000,9,-149.777,1296.07,13.8419,0.588625
6640000,7,-135.303,1302.47,7.69747,0.583143
6660000,9,-150.981,1289.95,6.85081,0.525
6680000,8,-143.62,1302.94,11.539,0.554667
6700000,10,-159.919,1290.74,10.7452,0.558
6720000,5,-108.509,1286.32,7.90668,0.516
6740000,6,-117.612,1280.73,7.52534,0.5411
6760000,11,-183.569,1302.23,11.067,0.583667
6780000,6,-123.364,1288.02,11.0322,0.529
6800000,9,-154.109,1314.54,15.6598,0.56
6820000,10,-173.965,1297.79,12.235,0.591
6840000,8,-143.396,1297.78,9.6578,0.572
6860000,8,-147.528,1292.82,12.7302,0.595333
6880000,8,-148.766,1295.19,7.18496,0.533
6900000,10,-165.318,1306.64,12.1263,0.578
6920000,7,-140.141,1299.52,7.66862,0.578
6940000,11,-185.781,1299.42,10.6649,0.571
6960000,8,-151.698,1297.62,5.62233,0.547
6980000,8,-151.016,1293.9,6.21518,0.572
7000000,8,-146.532,1287.52,9.7848,0.582667
7020000,9,-154.752,1285.58,8.482,0.577
7040000,12,-191.746,1293.56,7.74357,0.56325
7060000,9,-152.183,1292.48,11.5208,0.569
7080000,10,-170.082,1297.57,10.7685,0.567
7100000,14,-225.527,1306.08,17.572,0.617
7120000,6,-130.312,1307.96,5.11796,0.547
7140000,7,-138.82,1303.97,10.5801,0.539
7160000,11,-183.611,1308.42,7.19871,0.568
7180000,9,-175.008,1312.86,6.77248,0.54
7200000,7,-149.282,1290.02,7.23378,0.552
7220000,9,-152.273,1296.96,11.2277,0.599
7240000,11,-210.883,1316.06,12.9605,0.549833
7260000,14,-218.584,1318.68,17.7151,0.572
7280000,9,-175.093,1309.9,7.48814,0.538
7300000,8,-154.268,1312.64,13.4617,0.517
7320000,10,-163.701,1300.97,13.2209,0.57
7340000,9,-171.444,1305.95,9.27013,0.575
7360000,9,-155.779,1305.11,5.95579,0.556
7380000,10,-168.123,1305.38,9.44994,0.558
7400000,7,-147.361,1303.29,11.9904,0.519333
7420000,7,-143.479,1301.66,10.4468,0.526
7440000,10,-166.104,1282.75,8.76206,0.535
7460000,11,-178.408,1291.08,11.9753,0.605
7480000,15,-217.108,1306.72,23.6406,0.596
7500000,7,-152.174,1314.76,8.11051,0.5522
7520000,14,-233.276,1306.46,11.1908,0.586
7540000,8,-151.955,1306.17,11.0582,0.522
7560000,8,-155.04,1297.16,10.1488,0.544333
7580000,10,-185.555,1332.45,5.9731,0.548
7600000,8,-150.364,1304.66,7.07363,0.578462
7620000,7,-133.108,1286.99,5.99853,0.557
7640000,8,-152.058,1295.95,7.68703,0.562208
7660000,11,-192.462,1302.91,10.3719,0.558
7680000,10,-178.698,1326.06,12.8276,0.554
7700000,9,-155.022,1294.12,6.764,0.565
7720000,8,-152.196,1307.97,5.63685,0.528333
7740000,17,-254.752,1293.1,19.3667,0.587286
7760000,6,-131.124,1296.99,9.21777,0.465
7780000,9,-156.02,1311.39,11.3008,0.5895
7800000,11,-174.817,1297.58,12.2395,0.597
7820000,9,-160.117,1307.58,8.0265,0.57
7840000,8,-145.706,1284.87,4.29906,0.5575
7860000,8,-144.19,1291.75,15.8593,0.585667
7880000,8,-147.814,1294.2,10.5005,0.534
7900000,14,-211.091,1308.22,9.81509,0.596
7920000,7,-143.475,1304.32,12.1298,0.509
7940000,9,-158.508,1306.93,11.3011,0.536
7960000,8,-142.515,1294.48,9.23767,0.557
7980000,9,-157.59,1315.12,12.5231,0.54
8000000,8,-163.757,1314.08,11.6353,0.532
8020000,10,-168.885,1309.94,20.5313,0.576
8040000,10,-180.157,1310.87,6.60062,0.561
8060000,11,-178.231,1313.26,13.6543,0.553
8080000,10,-166.491,1290.35,11.7855,0.565333
8100000,8,-139.67,1292.84,4.76237,0.515
8120000,9,-161.005,1302.52,17.5878,0.558667
8140000,9,-157.103,1300.65,7.37769,0.563
8160000,9,-159.782,1312.91,8.16403,0.5845
8180000,9,-175.732,1322.93,11.3911,0.528
8200000,10,-176.383,1303.79,10.0575,0.552
8220000,9,-155.8,1303.84,7.64717,0.553
8240000,9,-176.718,1307.14,7.11935,0.545
8260000,10,-181.532,1312.52,13.9193,0.536
8280000,8,-151.262,1302.72,5.74365,0.557
8300000,11,-171.065,1293.32,10.2875,0.568647
8320000,7,-139.215,1298.22,11.7226,0.533143
8340000,6,-121.014,1287.11,8.67441,0.529
8360000,9,-162.089,1313.48,15.4191,0.5336
8380000,10,-176.95,1308.33,13.4065,0.587
8400000,7,-144.771,1301.74,5.40775,0.528
8420000,11,-180.033,1292.59,11.899,0.550545
8440000,7,-134.58,1298.67,9.72024,0.524
8460000,11,-172.258,1304.86,9.97478,0.595
8480000,7,-142.846,1303.28,7.40388,0.57825
8500000,9,-167.46,1302.14,15.3778,0.528
8520000,9,-152.31,1278.06,6.57926,0.5615
8540000,8,-148.352,1305.41,3.24891,0.525
8560000,7,-136.932,1291.4,8.25338,0.51
8580000,10,-159.067,1288.82,12.3076,0.545857
8600000,7,-133.977,1279.66,8.85499,0.5686
8620000,9,-162.447,1299.73,6.94457,0.576
8640000,7,-145.16,1295.35,10.2955,0.549308
8660000,13,-202.091,1304.78,16.7049,0.589
8680000,9,-144.107,1282.33,11.3779,0.572259
8700000,13,-190.228,1289.01,11.3639,0.561778
8720000,11,-181.78,1305.73,10.4726,0.569
8740000,10,-165.984,1290.24,15.6376,0.555162
8760000,6,-125.83,1294.45,7.20344,0.549
8780000,8,-155.72,1306.32,7.45209,0.591235
8800000,14,-211.086,1301.61,14.2218,0.598
8820000,7,-134.386,1306.15,7.38755,0.538
8840000,6,-127.815,1290.88,8.21336,0.53
8860000,13,-201.284,1301.75,12.9487,0.577308
8880000,6,-119.607,1281.22,4.18803,0.52975
8900000,11,-187.307,1309.27,10.497,0.572889
8920000,10,-166.792,1310.15,14.8025,0.54675
8940000,7,-128.568,1280.05,5.4257,0.516
8960000,6,-134.575,1290.34,3.40579,0.5455
8980000,11,-176.77,1295.39,20.593,0.551524
9000000,5,-111.4,1283.35,3.40562,0.487
9020000,8,-149.88,1298.7,8.66211,0.564
9040000,6,-127.116,1285.14,4.4313,0.562
9060000,7,-130.071,1279.72,13.4305,0.53
9080000,8,-146.459,1306.57,18.0563,0.555
9100000,5,-117.843,1284.38,7.83883,0.49625
9120000,6,-123.15,1288.73,4.44712,0.541
9140000,9,-157.373,1299.08,11.135,0.595
9160000,9,-153.478,1291.24,7.71136,0.556
9180000,11,-180.081,1316.68,14.9147,0.560857
9200000,5,-119.152,1293.73,3.46855,0.496
9220000,8,-135.605,1298.25,9.05377,0.569
9240000,6,-130.161,1288.73,3.44399,0.465
9260000,12,-194.123,1309.99,10.3426,0.577833
9280000,7,-132.169,1299.76,13.5304,0.525
9300000,6,-134.593,1295.63,6.55992,0.486
9320000,10,-168.808,1293.87,12.6408,0.58775
9340000,9,-153.318,1292.67,8.03947,0.559
9360000,11,-177.707,1301.48,8.26665,0.592
9380000,7,-138.267,1295.88,6.69991,0.5904
9400000,8,-152.412,1297.26,7.36638,0.548
9420000,8,-163.82,1303.52,6.08991,0.547
9440000,14,-212.951,1302.46,11.2461,0.566889
9460000,12,-197.982,1302.85,26.7309,0.601
9480000,7,-135.998,1298.27,4.11122,0.517
9500000,15,-223.131,1291.54,13.8125,0.572
9520000,6,-124.692,1299.82,9.26159,0.498
9540000,8,-151.856,1308.33,7.2081,0.59
9560000,7,-130.535,1299.11,10.567,0.552
9580000,8,-146.733,1305.17,5.14933,0.536667
9600000,6,-128.082,1295.5,3.32725,0.513
9620000,8,-154.2,1312.46,13.0457,0.542
9640000,9,-163.082,1297.93,10.6207,0.565
9660000,9,-162.601,1302.2,7.5917,0.571
9680000,8,-140.588,1287.52,6.65854,0.526
9700000,11,-193.14,1297.9,10.6165,0.555481
9720000,8,-150.004,1297.66,7.11128,0.513
9740000,7,-140.572,1303.03,6.43178,0.541
9760000,10,-166.818,1293.07,15.8761,0.554
9780000,7,-131.385,1285.82,11.7087,0.568667
9800000,12,-181.141,1298.33,16.3068,0.588
9820000,8,-141.981,1295.61,7.83261,0.531
9840000,6,-124.457,1286.06,6.87722,0.524
9860000,6,-127.046,1305.32,3.86606,0.516
9880000,8,-154.26,1292.19,9.91466,0.5549
9900000,11,-191.067,1303.43,10.9169,0.563556
9920000,11,-178.991,1290.46,7.46937,0.600667
9940000,13,-203.496,1278.22,12.9128,0.581
9960000,9,-149.753,1303.59,10.5186,0.587
9980000,7,-138.631,1294.28,8.32559,0.5582
10000000,12,-187.907,1290.65,11.6159,0.561333
10020000,8,-135.819,1293.98,9.76001,0.558
10040000,6,-136.009,1305.63,7.29607,0.552
10060000,9,-158.28,1290.02,9.43651,0.586
10080000,7,-131.605,1300.44,5.67508,0.537
10100000,9,-162.76,1300.39,13.3495,0.5415
10120000,8,-147.187,1293.8,8.40942,0.566
10140000,11,-185.591,1310.2,10.1291,0.556
10160000,7,-142.79,1295.81,8.80741,0.56
10180000,9,-156.212,1274.06,14.403,0.51875
10200000,12,-192.931,1297.56,13.0901,0.587
10220000,6,-126.162,1299.87,7.08189,0.511
10240000,5,-110.406,1279.7,7.67585,0.527
10260000,6,-132.462,1298.5,8.11629,0.48
10280000,8,-143.075,1299.53,7.45412,0.566
10300000,8,-148.552,1288.22,5.75018,0.523429
10320000,7,-132.543,1287.77,9.04042,0.549
10340000,6,-130.737,1309.88,11.8877,0.561
10360000,8,-141.884,1295.44,15.1809,0.553
10380000,10,-167.301,1297.48,9.12714,0.593
10400000,6,-118.751,1281.67,8.24144,0.518
10420000,7,-132.565,1282.89,4.04182,0.572
10440000,9,-158.91,1299.52,9.63889,0.56
10460000,8,-144.731,1298.54,4.84549,0.54
10480000,7,-135.258,1282.7,14.8803,0.574
10500000,12,-190.673,1296.16,15.1081,0.573
10520000,9,-156.553,1298.16,12.5145,0.618
10540000,9,-154.532,1301.02,11.1777,0.582
10560000,9,-155.769,1307.57,5.16641,0.535
10580000,9,-156.569,1282.89,11.8338,0.554
10600000,6,-124.113,1305.14,6.22926,0.493
10620000,6,-127.321,1288.85,6.46421,0.496
10640000,8,-141.233,1297.04,9.19725,0.558
10660000,13,-197.368,1276.7,11.5631,0.5664
10680000,6,-131.302,1296.85,7.93448,0.527
10700000,8,-147.681,1291.48,15.0668,0.552375
10720000,8,-154.49,1300.84,6.32997,0.537333
10740000,8,-142.405,1291.01,5.35812,0.589
10760000,10,-158.41,1301.75,12.3758,0.561286
