generation,rank_1,rank_2,swapAccepted
354000,1,3,1
355000,2,4,1
356000,1,2,1
357000,3,4,1
358000,1,3,1
359000,2,4,0
360000,1,4,0
361000,2,3,1
362000,1,3,0
363000,2,4,0
364000,2,4,0
365000,3,4,1
366000,1,3,0
367000,1,2,1
368000,2,3,1
369000,3,4,1
370000,1,2,1
371000,1,4,1
372000,1,3,0
373000,2,3,1
374000,2,4,1
375000,3,4,0
376000,1,2,1
377000,1,3,0
378000,2,4,1
379000,1,2,1
380000,2,3,1
381000,3,4,1
382000,1,4,1
383000,3,4,1
384000,3,4,1
385000,1,3,1
386000,1,4,1
387000,2,3,1
388000,2,4,1
389000,1,2,1
390000,2,4,1
391000,3,4,1
392000,1,4,1
393000,2,3,1
394000,2,4,1
395000,1,4,0
396000,1,2,1
397000,1,2,1
398000,2,3,1
399000,3,4,1
400000,1,3,1
401000,3,4,1
402000,2,3,1
403000,3,4,1
404000,2,3,1
405000,3,4,1
406000,2,4,1
407000,1,4,1
408000,1,4,1
409000,3,4,0
410000,3,4,1
411000,1,4,0
412000,1,4,0
413000,1,2,1
414000,3,4,1
415000,1,4,1
416000,2,3,1
417000,2,3,1
418000,1,2,1
419000,2,4,1
420000,2,4,0
421000,2,3,1
422000,3,4,1
423000,1,3,0
424000,1,4,0
425000,2,4,1
426000,2,4,1
427000,2,3,1
428000,2,4,1
429000,2,3,1
430000,1,4,1
431000,1,2,1
432000,1,4,1
433000,1,4,1
434000,2,4,0
435000,1,4,1
436000,2,4,0
437000,1,3,1
438000,3,4,1
439000,1,2,1
440000,2,4,1
441000,2,3,1
442000,1,4,1
443000,2,3,1
444000,3,4,1
445000,3,4,1
446000,1,2,1
447000,2,4,1
448000,1,3,0
449000,3,4,1
450000,3,4,1
451000,3,4,1
452000,1,2,1
453000,1,2,1
454000,2,4,0
455000,1,2,1
456000,1,3,1
457000,1,3,1
458000,1,3,1
459000,1,2,0
460000,1,4,1
461000,1,4,1
462000,1,2,1
463000,1,2,1
464000,2,4,0
465000,2,4,1
466000,2,3,1
467000,2,4,1
468000,1,2,1
469000,2,3,1
470000,3,4,1
471000,1,3,1
472000,1,2,1
473000,1,4,0
474000,3,4,1
475000,1,2,1
476000,1,2,1
477000,1,2,0
478000,1,3,0
479000,2,3,1
480000,1,4,0
481000,1,2,1
482000,1,4,1
483000,3,4,0
484000,1,3,0
485000,1,4,1
486000,1,2,0
487000,1,3,0
488000,1,3,0
489000,3,4,1
490000,1,3,1
491000,1,3,0
492000,1,4,0
493000,1,4,1
494000,1,4,1
495000,3,4,1
496000,1,3,1
497000,1,4,0
498000,2,4,1
499000,2,3,1
500000,3,4,1
501000,1,2,1
502000,1,4,1
503000,1,3,1
504000,1,3,0
505000,1,3,0
506000,2,3,1
507000,3,4,1
508000,1,4,1
509000,3,4,1
510000,1,4,1
511000,1,3,1
512000,2,3,1
513000,2,4,0
514000,3,4,1
515000,1,2,0
516000,1,3,0
517000,3,4,1
518000,1,2,1
519000,1,2,1
520000,3,4,1
521000,1,3,1
522000,2,3,1
523000,3,4,1
524000,2,4,1
525000,1,2,1
526000,2,3,1
527000,1,2,1
528000,1,2,1
529000,2,4,1
530000,1,2,1
531000,3,4,1
532000,1,2,1
533000,2,3,1
534000,2,4,1
535000,2,4,1
536000,1,2,1
537000,1,4,1
538000,1,4,1
539000,2,4,1
540000,1,4,1
541000,1,3,0
542000,1,2,1
543000,1,2,1
544000,1,4,1
545000,1,3,1
546000,1,2,1
547000,1,4,1
548000,2,3,1
549000,3,4,1
550000,1,3,0
551000,3,4,1
552000,2,3,0
553000,3,4,1
554000,1,4,0
555000,1,3,0
556000,1,3,1
557000,3,4,1
558000,3,4,1
559000,3,4,1
560000,2,3,1
561000,3,4,1
562000,3,4,1
563000,3,4,1
564000,1,3,1
565000,2,4,1
566000,3,4,1
567000,2,4,1
568000,2,4,1
569000,1,3,1
570000,3,4,1
571000,2,3,1
572000,1,4,0
573000,2,4,1
574000,2,4,1
575000,1,2,1
576000,2,4,1
577000,2,3,1
578000,1,2,1
579000,3,4,1
580000,1,4,1
