"otu","habitat_preference","average_prop","average_abundance","habitats_present","num_present","habitat_preference_n"
"otu_1","marine_mud",0.0615802796425076,8520.40579710145,3,26,1
"otu_10","freshwater:terrestrial",0.0178007808560444,2853.25396825397,3,23,2
"otu_1006","freshwater:terrestrial",0.00437982736366306,324.666666666667,3,17,2
"otu_10106","freshwater:terrestrial",0.000239977130026216,26.3333333333333,2,4,2
"otu_10151","freshwater",0.0002359159209022,31.25,1,4,1
"otu_10163","terrestrial",0.000503278851487317,31.25,1,4,1
"otu_1017","freshwater:terrestrial",0.00763859750728247,398.8,2,6,2
"otu_10171","freshwater",0.000388671829277201,31.25,1,4,1
"otu_10206","freshwater:terrestrial",0.000739631518160566,27.4583333333333,3,11,2
"otu_1031","freshwater",0.00268175900301968,167.25,2,7,1
"otu_1034","terrestrial",0.00357687264373279,165.2,1,10,1
"otu_10354","terrestrial",0.000309866674427372,30.5,1,4,1
"otu_10357","terrestrial",0.000190257082420826,30.5,1,4,1
"otu_1038","freshwater:terrestrial",0.00194375144434609,117.714285714286,3,21,2
"otu_1048","marine_mud",0.00410428723623009,224.75,1,8,1
"otu_1053","marine_mud",0.00499787532600006,326.4,1,5,1
"otu_10605","terrestrial",0.000268512195250439,16.8571428571429,1,7,1
"otu_10657","freshwater",0.000193052216423673,23.4,1,5,1
"otu_10670","freshwater",0.000317080886415409,29.25,1,4,1
"otu_107","freshwater:terrestrial",0.0117828154017929,832.923671497585,3,36,2
"otu_1073","marine_mud",0.00369387025562984,282.833333333333,2,4,1
"otu_1077","marine_mud",0.00587238372566434,388.692307692308,1,13,1
"otu_1083","terrestrial",0.017921352317843,400.5,1,4,1
"otu_1084","marine_mud",0.00205754179401819,320.2,1,5,1
"otu_10865","freshwater",0.000234662919642222,19,1,6,1
"otu_1088","freshwater:terrestrial",0.0058713875285069,151.577777777778,3,36,2
"otu_109","marine_mud",0.00639607303174518,555.038461538462,2,14,1
"otu_1090","freshwater:terrestrial",0.00170204994243127,101.444444444444,3,11,2
"otu_11","marine_mud",0.0254593401448474,2813.66666666667,2,19,1
"otu_1101","marine_mud",0.00277737596592314,224.571428571429,1,7,1
"otu_11032","marine_mud",0.000211380122033016,28,1,4,1
"otu_111","freshwater:terrestrial",0.0142109421259454,1242.07645687646,3,29,2
"otu_11103","freshwater",0.000157543077959688,27.75,1,4,1
"otu_11168","marine_mud",0.000278887396055888,27.5,1,4,1
"otu_112","marine_mud",0.0100342734270805,1197.7619047619,1,21,1
"otu_1122","freshwater:terrestrial",0.00216402007504939,90.85,2,16,2
"otu_11240","terrestrial",0.000498571547010777,27.25,1,4,1
"otu_113","marine_mud",0.0139879103354733,616.25,2,13,1
"otu_11357","marine_mud",0.000216252618442452,27,1,4,1
"otu_1137","marine_mud",0.00106293805646824,84.5454545454545,2,12,1
"otu_1138","freshwater",0.00336014108336471,381.5,1,4,1
"otu_11383","marine_mud",0.000118058994338092,17.8333333333333,1,6,1
"otu_11385","freshwater",0.000189907204457314,26.75,1,4,1
"otu_11537","freshwater",0.000227747572533618,26.25,1,4,1
"otu_1154","freshwater",0.00162093255551176,179.285714285714,2,9,1
"otu_116","marine_mud",0.00669005109966798,692.277777777778,1,18,1
"otu_11680","freshwater:marine_mud:terrestrial",0.000206492195072541,18.5,3,5,3
"otu_11682","terrestrial",0.000432508374528345,28.8333333333333,2,4,1
"otu_11715","terrestrial",0.000403432618192787,20.6,1,5,1
"otu_1173","freshwater",0.00303140342574224,213.357142857143,2,9,1
"otu_11765","freshwater",0.000164474598226539,25.5,1,4,1
"otu_1179","freshwater:terrestrial",0.00263016095120325,152.324786324786,3,18,2
"otu_118","freshwater:terrestrial",0.0120557151279836,879.706944444444,3,30,2
"otu_1182","freshwater:marine_mud",0.00126410569465483,187.466666666667,2,8,2
"otu_11843","freshwater",0.000171044285362375,21.8333333333333,2,4,1
"otu_119","marine_mud",0.0174586819310254,1511.13636363636,1,22,1
"otu_1191","marine_mud",0.00309576769229187,367.75,1,4,1
"otu_11931","marine_mud",0.000237297658328964,25,1,4,1
"otu_1195","marine_mud",0.00401163933931807,364.75,1,4,1
"otu_1198","marine_mud",0.00234069166607849,208.142857142857,1,7,1
"otu_12","terrestrial",0.0974353767083508,9833.2,1,5,1
"otu_120","marine_mud:terrestrial",0.0128614085964801,1047.08928571429,2,11,2
"otu_1201","freshwater:terrestrial",0.00309826611430321,212.208333333333,3,20,2
"otu_1203","marine_mud",0.00353793406471357,201.333333333333,1,9,1
"otu_1205","marine_mud",0.00475872837969748,295.857142857143,1,7,1
"otu_1210","freshwater:terrestrial",0.0064922334240222,258.75,2,12,2
"otu_1215","marine_mud",0.00158851176440826,215,1,8,1
"otu_1219","freshwater:terrestrial",0.00216619791164735,115.040935672515,3,23,2
"otu_1221","freshwater",0.00339691747231262,222.85,2,7,1
"otu_124","terrestrial",0.0131699077341181,1110.30769230769,1,13,1
"otu_1240","marine_mud",0.00319679342836268,202.111111111111,1,9,1
"otu_1245","freshwater:terrestrial",0.00202861407047821,112.770833333333,2,11,2
"otu_126","freshwater",0.0166027130811493,1623.82251082251,3,26,1
"otu_1262","marine_mud",0.00316143820726896,277.4,1,5,1
"otu_1265","freshwater:terrestrial",0.00277093283707053,299.446428571429,2,11,2
"otu_1268","freshwater",0.000891507011982981,98.1875,2,11,1
"otu_1274","marine_mud",0.00548042843516093,274.2,1,5,1
"otu_1280","freshwater:terrestrial",0.00458972767511617,280.941520467836,3,28,2
"otu_1281","marine_mud",0.00454722057121397,250.166666666667,2,4,1
"otu_1307","marine_mud",0.00978264619855024,667.8,1,5,1
"otu_1309","freshwater:terrestrial",0.00193002339669507,156.595833333333,3,22,2
"otu_132","freshwater:marine_mud",0.0107273893431761,1375.5625,2,16,2
"otu_1323","freshwater:terrestrial",0.00196153495809877,158.044444444444,3,21,2
"otu_134","marine_mud",0.0121644577131774,1277.86666666667,1,15,1
"otu_1340","freshwater",0.00193981259205484,329.5,1,4,1
"otu_1343","freshwater:terrestrial",0.00185301845826903,193.423076923077,3,26,2
"otu_1362","terrestrial",0.00635176806933676,324,1,4,1
"otu_1371","freshwater",0.00128286870533764,127.9375,2,9,1
"otu_1380","freshwater:marine_mud",0.00104960656844035,116,2,10,2
"otu_1383","terrestrial",0.0248212159849331,320,1,4,1
"otu_1386","freshwater",0.00171636191360796,151.571428571429,2,8,1
"otu_1387","freshwater:marine_mud",0.00304369086414173,404.071428571429,2,13,2
"otu_1403","freshwater:terrestrial",0.00276384151424484,161.916666666667,3,26,2
"otu_1408","freshwater:terrestrial",0.00135976628158848,106.174603174603,3,22,2
"otu_1409","freshwater",0.00127002615928802,119.916666666667,2,7,1
"otu_1410","marine_mud",0.00174559314365288,314.25,1,4,1
"otu_1411","freshwater",0.00458704471995942,250.833333333333,3,14,1
"otu_142","freshwater:marine_mud",0.0207689012534039,1944.8244949495,3,22,2
"otu_1427","terrestrial",0.00103811234017578,125.083333333333,3,15,1
"otu_1428","freshwater",0.00199814922049079,240,1,6,1
"otu_1433","freshwater:terrestrial",0.00123216583559284,132.3,3,14,2
"otu_144","freshwater",0.00390919710715183,721.666666666667,2,7,1
"otu_1444","marine_mud",0.00387924888298991,243.2,1,5,1
"otu_1445","freshwater",0.00285417946158192,183.625,2,5,1
"otu_1448","freshwater:terrestrial",0.00279328276936004,86.7222222222222,3,29,2
"otu_145","freshwater:terrestrial",0.0129335525287364,1100.84444444444,3,29,2
"otu_1455","freshwater:terrestrial",0.00275717822707277,145.05,2,18,2
"otu_1458","freshwater:terrestrial",0.00220187073060532,131.7,2,6,2
"otu_1463","freshwater:marine_mud",0.00116473387319409,178.5,2,8,2
"otu_1465","freshwater",0.00270488785870926,261.928571428571,2,9,1
"otu_1474","marine_mud",0.00624041668938631,262.6,1,5,1
"otu_1487","freshwater:terrestrial",0.00109506037113502,72.2936507936508,3,14,2
"otu_1495","freshwater",0.00485125584093944,390.352272727273,2,15,1
"otu_151","freshwater:terrestrial",0.00561391656706579,580.711111111111,3,30,2
"otu_1531","freshwater",0.00272442911746201,221.933333333333,2,13,1
"otu_1536","freshwater",0.0031290411563947,231.833333333333,2,7,1
"otu_1569","terrestrial",0.00314467109184974,282.75,1,4,1
"otu_1578","terrestrial",0.00529622554702269,332,1,6,1
"otu_1593","marine_mud",0.00109227501718556,186.5,1,6,1
"otu_161","marine_mud",0.00811126841712771,1984.5,1,4,1
"otu_1625","terrestrial",0.00459303064428106,237,1,10,1
"otu_163","marine_mud",0.0122068757777209,733.461538461538,2,14,1
"otu_1638","freshwater:marine_mud",0.00256592698621505,195.25,2,7,2
"otu_1639","marine_mud",0.00133833714341404,269,1,4,1
"otu_1643","freshwater",0.00277363019170015,244.25,1,8,1
"otu_1645","marine_mud",0.00234068125560839,152.857142857143,1,7,1
"otu_1659","marine_mud",0.00298833855391725,176.833333333333,1,6,1
"otu_1683","freshwater",0.00108784939532757,93.25,2,7,1
"otu_1686","marine_mud",0.0012671474105343,169.25,1,8,1
"otu_1693","freshwater",0.00119802282681367,123.5,3,10,1
"otu_172","marine_mud",0.00438218113343542,593.583333333333,1,12,1
"otu_1720","freshwater",0.00143347996291621,138.796296296296,3,14,1
"otu_1747","marine_mud",0.000967370509842489,112.222222222222,1,9,1
"otu_1752","marine_mud",0.00150568184744159,201.4,1,5,1
"otu_1753","marine_mud",0.00163031906475147,201.2,1,5,1
"otu_1766","freshwater:terrestrial",0.00162805787546335,133.37037037037,3,18,2
"otu_178","marine_mud",0.0123837886489556,848,1,10,1
"otu_1783","freshwater:marine_mud",0.00327091167625949,227.847222222222,3,17,2
"otu_1786","marine_mud",0.0026398134680569,197.2,1,5,1
"otu_1787","marine_mud",0.00150392459746615,209.75,1,8,1
"otu_181","freshwater:terrestrial",0.0157544364728166,1383.03253968254,3,34,2
"otu_1814","marine_mud",0.00305232067239474,242.5,1,4,1
"otu_1838","marine_mud",0.00363512410736795,191.8,1,5,1
"otu_1843","marine_mud",0.00186356673007055,207.090909090909,1,11,1
"otu_1847","marine_mud",0.0037927989091937,329.1,1,10,1
"otu_1862","marine_mud",0.000811844675040611,189.6,1,5,1
"otu_1876","marine_mud",0.00201530129945899,235.5,1,4,1
"otu_1890","freshwater:terrestrial",0.000956088767042397,82.5925925925926,3,13,2
"otu_1895","freshwater:marine_mud",0.00188126651087619,193.65,2,9,2
"otu_192","freshwater",0.0196761470066387,1292,1,5,1
"otu_1950","marine_mud",0.00142089839076792,180.8,1,5,1
"otu_1952","terrestrial",0.00206427440604395,129.142857142857,1,7,1
"otu_1967","freshwater:terrestrial",0.00153840900347059,85.0769230769231,2,15,2
"otu_1970","freshwater:terrestrial",0.00121627988379958,76.1428571428571,2,8,2
"otu_1981","marine_mud",0.00243165388538227,198.857142857143,1,7,1
"otu_1985","marine_mud",0.0030688325428621,222,1,4,1
"otu_20","marine_mud",0.200029389738283,9440.75,1,4,1
"otu_2000","marine_mud",0.00234094063836543,221.25,1,4,1
"otu_2008","marine_mud",0.00174654764692213,146.666666666667,1,6,1
"otu_2011","freshwater:terrestrial",0.00239433279423879,223.83164983165,3,23,2
"otu_2029","marine_mud",0.00163443645667654,154.692307692308,1,13,1
"otu_203","marine_mud",0.00584238914981602,882,1,7,1
"otu_2035","freshwater",0.00137216938904469,128.4375,2,10,1
"otu_2040","marine_mud",0.00106930105932312,134.666666666667,1,9,1
