"sample","habitat_group_16s","location","clust","sample_depth","n_species","freshwater","freshwater:terrestrial","terrestrial","freshwater:marine_mud","freshwater:marine_mud:terrestrial","marine_mud","marine_mud:terrestrial"
"sample_s53","estuarine mud_oligohaline","Tamar","marine_mud",257705,114,2,29,2,14,2,63,2
"sample_s69","reservoir","Fal","freshwater",159660,69,20,40,1,6,1,1,0
"sample_s35","river","Fowey","freshwater",200742,113,36,61,0,10,0,5,1
"sample_s23","estuarine mud_full saline","Looe","marine_mud",182977,72,0,13,1,5,1,52,0
"sample_s33","reservoir","Looe","freshwater",154613,47,7,38,0,2,0,0,0
"sample_s42","beach_subtidal","Tamar","marine_mud",164598,38,0,2,0,4,0,32,0
"sample_s30","estuarine mud_full saline","Fal","marine_mud",158597,43,0,1,0,2,0,40,0
"sample_s49","woodland_pine","Tamar","terrestrial",175357,28,1,21,6,0,0,0,0
"sample_s55","estuarine mud_oligohaline","Fal","marine_mud",241639,121,1,24,1,10,1,82,2
"sample_s24","beach_subtidal","Looe","marine_mud",193302,42,0,2,0,3,0,37,0
"sample_s67","marine mud_full saline","Fal","marine_mud",192991,58,0,2,0,5,0,51,0
"sample_s46","pasture","Tamar","marine_mud",137368,80,0,8,0,5,1,64,2
"sample_s38","estuarine mud_full saline","Fowey","marine_mud",142836,50,0,3,0,3,1,43,0
"sample_s6","woodland_oak","Helford","terrestrial",340355,107,3,81,14,4,3,1,1
"sample_s22","river","Looe","freshwater",240888,148,55,72,1,18,2,0,0
"sample_s60","beach_seaweed","Camel","marine_mud",108802,48,0,1,0,4,0,43,0
"sample_s51","river","Tamar","freshwater",117097,135,42,72,1,18,2,0,0
"sample_s56","river","Camel","freshwater",131881,148,55,73,2,17,1,0,0
"sample_s16","estuarine mud_full saline","Helford","marine_mud",72348,56,0,4,0,4,0,47,1
"sample_s52","estuarine mud_full saline","Tamar","marine_mud",101180,43,0,2,0,1,0,40,0
"sample_s11","woodland_pine","Fal","terrestrial",68227,24,0,17,7,0,0,0,0
