"sample","habitat_group","location","clust","sample_depth","n_species","freshwater","freshwater:terrestrial","terrestrial","freshwater:marine_mud","freshwater:marine_mud:terrestrial","marine_mud","marine_mud:terrestrial"
"sample_s62","woodland_pine","Camel","terrestrial",37749,32,1,28,0,1,1,0,1
"sample_s28","beach_seaweed","Helford","marine_mud",38877,22,0,0,0,4,0,18,0
"sample_s9","reservoir","Fal","freshwater",21218,50,16,29,0,5,0,0,0
"sample_s39","rock_samphire","Fowey","terrestrial",27484,33,1,28,2,1,0,0,1
"sample_s13","river","Helford","freshwater",77776,88,29,48,0,9,2,0,0
"sample_s20","estuarine mud_oligohaline","Looe","marine_mud",72690,107,13,38,0,14,2,38,2
"sample_s29","rock_samphire","Helford","terrestrial",28649,36,1,25,3,3,0,3,1
"sample_s66","marine mud_full saline","Fal","marine_mud",34468,40,0,2,0,5,0,32,1
"sample_s40","pasture","Fowey","terrestrial",50644,54,0,47,3,3,0,1,0
"sample_s34","pasture","Looe","terrestrial",85956,60,1,50,4,2,1,1,1
"sample_s5","pasture","Helford","terrestrial",64064,60,0,53,4,1,1,0,1
"sample_s8","field_wheat","Helford","terrestrial",61789,64,2,54,4,2,0,1,1
"sample_s2","pasture","Fal","terrestrial",27594,35,0,32,3,0,0,0,0
"sample_s48","field_wheat","Camel","terrestrial",42064,58,1,48,3,2,1,2,1
"sample_s14","estuarine mud_oligohaline","Helford","marine_mud",54679,128,17,47,1,13,2,46,2
"sample_s61","woodland_oak","Camel","terrestrial",33287,56,1,45,7,1,1,1,0
"sample_s4","field_wheat","Fal","terrestrial",29472,47,0,44,1,1,0,0,1
"sample_s71","rock_samphire","Fal","terrestrial",8336,21,1,15,2,2,0,0,1
"sample_s31","woodland_pine","Fowey","terrestrial",8557,15,0,13,2,0,0,0,0
"sample_s1","woodland_oak","Fal","terrestrial",6126,20,1,18,1,0,0,0,0
"sample_s21","woodland_oak","Looe","terrestrial",8839,33,0,31,2,0,0,0,0
"sample_s43","rock_samphire","Tamar","terrestrial",11979,42,1,21,2,4,0,13,1
"sample_s73","rock_samphire","Helford","terrestrial",316,4,0,3,0,1,0,0,0
"sample_s70","beach_seaweed","Fal","marine_mud",28,1,0,0,0,1,0,0,0
