"sample","habitat_group_16s","location","clust","sample_depth","n_species","freshwater:terrestrial","terrestrial","freshwater","freshwater:marine_mud","freshwater:marine_mud:terrestrial","marine_mud","marine_mud:terrestrial"
"sample_s14","estuarine mud_oligohaline","Helford","marine_mud",54679,426,79,33,142,51,4,113,4
"sample_s2","pasture","Fal","terrestrial",27594,117,66,49,2,0,0,0,0
"sample_s61","woodland_oak","Camel","terrestrial",33287,200,101,85,8,3,1,0,2
"sample_s71","rock_samphire","Fal","terrestrial",8336,37,8,27,0,0,0,0,2
"sample_s66","marine mud_full saline","Fal","marine_mud",34468,118,0,1,0,0,0,117,0
"sample_s40","pasture","Fowey","terrestrial",50644,279,128,150,1,0,0,0,0
"sample_s34","pasture","Looe","terrestrial",85956,344,164,161,19,0,0,0,0
"sample_s9","reservoir","Fal","freshwater",21218,127,17,0,105,5,0,0,0
"sample_s1","woodland_oak","Fal","terrestrial",6126,31,6,25,0,0,0,0,0
"sample_s31","woodland_pine","Fowey","terrestrial",8557,23,3,20,0,0,0,0,0
"sample_s21","woodland_oak","Looe","terrestrial",8839,81,43,37,1,0,0,0,0
"sample_s43","rock_samphire","Tamar","terrestrial",11979,62,10,23,0,0,0,27,2
"sample_s4","field_wheat","Fal","terrestrial",29472,275,127,144,4,0,0,0,0
"sample_s73","rock_samphire","Helford","terrestrial",316,4,2,2,0,0,0,0,0
"sample_s70","beach_seaweed","Fal","marine_mud",28,1,0,1,0,0,0,0,0
