"","boot_num","habitat_preference","model","similarity","estimated_lambda"
"1",1,"all","ard","91",0.88646728740184
"2",1,"all","er","91",0.845763366545067
"3",1,"freshwater","ard","91",0.827951487855185
"4",1,"freshwater","er","91",0.925820865789132
"5",1,"marine_mud","ard","91",0.88646728740184
"6",1,"marine_mud","er","91",0.845763366545067
"7",1,"terrestrial","ard","91",0.827951487855185
"8",1,"terrestrial","er","91",0.925820865789132
"9",2,"all","ard","91",0.890741210017728
"10",2,"all","er","91",0.844021252956377
"11",2,"freshwater","ard","91",0.825838783903895
"12",2,"freshwater","er","91",0.908580438320023
"13",2,"marine_mud","ard","91",0.890741210017728
"14",2,"marine_mud","er","91",0.844021252956377
"15",2,"terrestrial","ard","91",0.825838783903895
"16",2,"terrestrial","er","91",0.908580438320023
"17",3,"all","ard","91",5.31048648747215e-112
"18",3,"all","er","91",0.839461722059723
"19",3,"freshwater","ard","91",0.848153613332845
"20",3,"freshwater","er","91",0.925898391208562
"21",3,"marine_mud","ard","91",5.31048648747215e-112
"22",3,"marine_mud","er","91",0.839461722059723
"23",3,"terrestrial","ard","91",0.848153613332845
"24",3,"terrestrial","er","91",0.925898391208562
"25",4,"all","ard","91",0.902042459536879
"26",4,"all","er","91",0.84315868632571
"27",4,"freshwater","ard","91",0.826738528347141
"28",4,"freshwater","er","91",0.914284899406265
"29",4,"marine_mud","ard","91",0.902042459536879
"30",4,"marine_mud","er","91",0.84315868632571
"31",4,"terrestrial","ard","91",0.826738528347141
"32",4,"terrestrial","er","91",0.914284899406265
"33",5,"all","ard","91",0.891324751403899
"34",5,"all","er","91",0.823708496478253
"35",5,"freshwater","ard","91",0.814221282814026
"36",5,"freshwater","er","91",0.921448564819319
"37",5,"marine_mud","ard","91",0.891324751403899
"38",5,"marine_mud","er","91",0.823708496478253
"39",5,"terrestrial","ard","91",0.814221282814026
"40",5,"terrestrial","er","91",0.921448564819319
"41",6,"all","ard","91",0.886478857960989
"42",6,"all","er","91",0.846218673921778
"43",6,"freshwater","ard","91",0.816509949499539
"44",6,"freshwater","er","91",0.915010928713171
"45",6,"marine_mud","ard","91",0.886478857960989
"46",6,"marine_mud","er","91",0.846218673921778
"47",6,"terrestrial","ard","91",0.816509949499539
"48",6,"terrestrial","er","91",0.915010928713171
"49",7,"all","ard","91",0.898471845804626
"50",7,"all","er","91",0.860710649863659
"51",7,"freshwater","ard","91",0.830570660297986
"52",7,"freshwater","er","91",0.914983584704027
"53",7,"marine_mud","ard","91",0.898471845804626
"54",7,"marine_mud","er","91",0.860710649863659
"55",7,"terrestrial","ard","91",0.830570660297986
"56",7,"terrestrial","er","91",0.914983584704027
"57",8,"all","ard","91",8.49023770044391e-58
"58",8,"all","er","91",0.852850270674181
"59",8,"freshwater","ard","91",0.82870189644449
"60",8,"freshwater","er","91",0.913890773952936
"61",8,"marine_mud","ard","91",8.49023770044391e-58
"62",8,"marine_mud","er","91",0.852850270674181
"63",8,"terrestrial","ard","91",0.82870189644449
"64",8,"terrestrial","er","91",0.913890773952936
"65",9,"all","ard","91",3.24322357432209e-18
"66",9,"all","er","91",0.8821712838259
"67",9,"freshwater","ard","91",0.817492608674577
"68",9,"freshwater","er","91",0.932730137706783
"69",9,"marine_mud","ard","91",3.24322357432209e-18
"70",9,"marine_mud","er","91",0.8821712838259
"71",9,"terrestrial","ard","91",0.817492608674577
"72",9,"terrestrial","er","91",0.932730137706783
"73",10,"all","ard","91",0.898215131437544
"74",10,"all","er","91",0.844159264361596
"75",10,"freshwater","ard","91",0.834774210690884
"76",10,"freshwater","er","91",0.917094099205358
"77",10,"marine_mud","ard","91",0.898215131437544
"78",10,"marine_mud","er","91",0.844159264361596
"79",10,"terrestrial","ard","91",0.834774210690884
"80",10,"terrestrial","er","91",0.917094099205358
"81",11,"all","ard","91",0.883095847129448
"82",11,"all","er","91",0.83732993018898
"83",11,"freshwater","ard","91",0.822044896227288
"84",11,"freshwater","er","91",0.917379415849834
"85",11,"marine_mud","ard","91",0.883095847129448
"86",11,"marine_mud","er","91",0.83732993018898
"87",11,"terrestrial","ard","91",0.822044896227288
"88",11,"terrestrial","er","91",0.917379415849834
"89",12,"all","ard","91",9.56055663607954e-73
"90",12,"all","er","91",0.846742041006267
"91",12,"freshwater","ard","91",0.825411394712869
"92",12,"freshwater","er","91",0.922274456739967
"93",12,"marine_mud","ard","91",9.56055663607954e-73
"94",12,"marine_mud","er","91",0.846742041006267
"95",12,"terrestrial","ard","91",0.825411394712869
"96",12,"terrestrial","er","91",0.922274456739967
"97",13,"all","ard","91",0.890566924555424
"98",13,"all","er","91",0.83656685579934
"99",13,"freshwater","ard","91",0.820691919827192
"100",13,"freshwater","er","91",0.911504278086701
"101",13,"marine_mud","ard","91",0.890566924555424
"102",13,"marine_mud","er","91",0.83656685579934
"103",13,"terrestrial","ard","91",0.820691919827192
"104",13,"terrestrial","er","91",0.911504278086701
"105",14,"all","ard","91",0.900063778216404
"106",14,"all","er","91",0.870228818255929
"107",14,"freshwater","ard","91",0.804250824591033
"108",14,"freshwater","er","91",0.920328133012752
"109",14,"marine_mud","ard","91",0.900063778216404
"110",14,"marine_mud","er","91",0.870228818255929
"111",14,"terrestrial","ard","91",0.804250824591033
"112",14,"terrestrial","er","91",0.920328133012752
"113",15,"all","ard","91",0.882190462713746
"114",15,"all","er","91",0.836725892177685
"115",15,"freshwater","ard","91",0.815749206507324
"116",15,"freshwater","er","91",0.902792232647316
"117",15,"marine_mud","ard","91",0.882190462713746
"118",15,"marine_mud","er","91",0.836725892177685
"119",15,"terrestrial","ard","91",0.815749206507324
"120",15,"terrestrial","er","91",0.902792232647316
"121",16,"all","ard","91",0.890401391530358
"122",16,"all","er","91",0.850461085173498
"123",16,"freshwater","ard","91",0.824342362815566
"124",16,"freshwater","er","91",0.914374764391095
"125",16,"marine_mud","ard","91",0.890401391530358
"126",16,"marine_mud","er","91",0.850461085173498
"127",16,"terrestrial","ard","91",0.824342362815566
"128",16,"terrestrial","er","91",0.914374764391095
"129",17,"all","ard","91",0.892996465543391
"130",17,"all","er","91",0.842200007159019
"131",17,"freshwater","ard","91",0.83513410231468
"132",17,"freshwater","er","91",0.911241232755256
"133",17,"marine_mud","ard","91",0.892996465543391
"134",17,"marine_mud","er","91",0.842200007159019
"135",17,"terrestrial","ard","91",0.83513410231468
"136",17,"terrestrial","er","91",0.911241232755256
"137",18,"all","ard","91",0.896339496744317
"138",18,"all","er","91",0.856393222821115
"139",18,"freshwater","ard","91",0.821132938004759
"140",18,"freshwater","er","91",0.924534684120923
"141",18,"marine_mud","ard","91",0.896339496744317
"142",18,"marine_mud","er","91",0.856393222821115
"143",18,"terrestrial","ard","91",0.821132938004759
"144",18,"terrestrial","er","91",0.924534684120923
"145",19,"all","ard","91",0.900640274009924
"146",19,"all","er","91",0.838284841950033
"147",19,"freshwater","ard","91",0.816088986610726
"148",19,"freshwater","er","91",0.921750507673338
"149",19,"marine_mud","ard","91",0.900640274009924
"150",19,"marine_mud","er","91",0.838284841950033
"151",19,"terrestrial","ard","91",0.816088986610726
"152",19,"terrestrial","er","91",0.921750507673338
"153",20,"all","ard","91",0.898708566849645
"154",20,"all","er","91",0.876905432089617
"155",20,"freshwater","ard","91",0.876301854894622
"156",20,"freshwater","er","91",0.895183043074081
"157",20,"marine_mud","ard","91",0.898708566849645
"158",20,"marine_mud","er","91",0.876905432089617
"159",20,"terrestrial","ard","91",0.876301854894622
