"","boot_num","habitat_preference","model","similarity","estimated_lambda"
"110",14,"marine_mud","er",97.7,0.704282525566566
"111",14,"terrestrial","ard",97.7,0.918237955543808
"112",14,"terrestrial","er",97.7,0.920540439253724
"113",15,"all","ard",97.7,0.819232920231233
"114",15,"all","er",97.7,0.607874318869214
"115",15,"freshwater","ard",97.7,0.872159925401398
"116",15,"freshwater","er",97.7,0.810839419739211
"117",15,"marine_mud","ard",97.7,0.819232920231233
"118",15,"marine_mud","er",97.7,0.607874318869214
"119",15,"terrestrial","ard",97.7,0.872159925401398
"120",15,"terrestrial","er",97.7,0.810839419739211
"121",16,"all","ard",97.7,0.79704197548413
"122",16,"all","er",97.7,0.693108297549043
"123",16,"freshwater","ard",97.7,0.799482400322899
"124",16,"freshwater","er",97.7,0.91146697612119
"125",16,"marine_mud","ard",97.7,0.79704197548413
"126",16,"marine_mud","er",97.7,0.693108297549043
"127",16,"terrestrial","ard",97.7,0.799482400322899
"128",16,"terrestrial","er",97.7,0.91146697612119
"129",17,"all","ard",97.7,3.91598606705125e-124
"130",17,"all","er",97.7,0.760942387081499
"131",17,"freshwater","ard",97.7,0.947459946453401
"132",17,"freshwater","er",97.7,0.752102374479267
"133",17,"marine_mud","ard",97.7,3.91598606705125e-124
"134",17,"marine_mud","er",97.7,0.760942387081499
"135",17,"terrestrial","ard",97.7,0.947459946453401
"136",17,"terrestrial","er",97.7,0.752102374479267
"137",18,"all","ard",97.7,0.884436109896353
"138",18,"all","er",97.7,0.847219473261654
"139",18,"freshwater","ard",97.7,0.795319505228518
"140",18,"freshwater","er",97.7,0.881716866837945
"141",18,"marine_mud","ard",97.7,0.884436109896353
"142",18,"marine_mud","er",97.7,0.847219473261654
"143",18,"terrestrial","ard",97.7,0.795319505228518
"144",18,"terrestrial","er",97.7,0.881716866837945
"145",19,"all","ard",97.7,0.846311585766727
"146",19,"all","er",97.7,0.597187518788549
"147",19,"freshwater","ard",97.7,0.733179947485097
"148",19,"freshwater","er",97.7,0.619259704025423
"149",19,"marine_mud","ard",97.7,0.846311585766727
"150",19,"marine_mud","er",97.7,0.597187518788549
"151",19,"terrestrial","ard",97.7,0.733179947485097
"152",19,"terrestrial","er",97.7,0.619259704025423
"153",20,"all","ard",97.7,0.789413566881312
"154",20,"all","er",97.7,0.59543746248283
"155",20,"freshwater","ard",97.7,0.86207017632275
"156",20,"freshwater","er",97.7,0.692803815508263
"157",20,"marine_mud","ard",97.7,0.789413566881312
"158",20,"marine_mud","er",97.7,0.59543746248283
"159",20,"terrestrial","ard",97.7,0.86207017632275
"160",20,"terrestrial","er",97.7,0.692803815508263
"161",21,"all","ard",97.7,0.752030702946422
"162",21,"all","er",97.7,0.655520983114008
"163",21,"freshwater","ard",97.7,0.936977503877889
"164",21,"freshwater","er",97.7,0.597725894280758
"165",21,"marine_mud","ard",97.7,0.752030702946422
"166",21,"marine_mud","er",97.7,0.655520983114008
"167",21,"terrestrial","ard",97.7,0.936977503877889
"168",21,"terrestrial","er",97.7,0.597725894280758
"169",22,"all","ard",97.7,0.854037972888667
"170",22,"all","er",97.7,0.751616060617319
"171",22,"freshwater","ard",97.7,0.825216035488164
"172",22,"freshwater","er",97.7,0.718160536206585
"173",22,"marine_mud","ard",97.7,0.854037972888667
"174",22,"marine_mud","er",97.7,0.751616060617319
"175",22,"terrestrial","ard",97.7,0.825216035488164
"176",22,"terrestrial","er",97.7,0.718160536206585
"177",23,"all","ard",97.7,3.33570535078293e-101
"178",23,"all","er",97.7,0.721604384709161
"179",23,"freshwater","ard",97.7,0.772395522613797
"180",23,"freshwater","er",97.7,0.84017553737247
"181",23,"marine_mud","ard",97.7,3.33570535078293e-101
"182",23,"marine_mud","er",97.7,0.721604384709161
"183",23,"terrestrial","ard",97.7,0.772395522613797
"184",23,"terrestrial","er",97.7,0.84017553737247
"185",24,"all","ard",97.7,0.901083928241586
"186",24,"all","er",97.7,0.534237919646501
"187",24,"freshwater","ard",97.7,0.939219356863604
"188",24,"freshwater","er",97.7,0.763919994592932
"189",24,"marine_mud","ard",97.7,0.901083928241586
"190",24,"marine_mud","er",97.7,0.534237919646501
"191",24,"terrestrial","ard",97.7,0.939219356863604
"192",24,"terrestrial","er",97.7,0.763919994592932
"193",25,"all","ard",97.7,0.897614800995394
"194",25,"all","er",97.7,0.734901037810382
"195",25,"freshwater","ard",97.7,0.750425571281113
"196",25,"freshwater","er",97.7,0.762810700142193
"197",25,"marine_mud","ard",97.7,0.897614800995394
"198",25,"marine_mud","er",97.7,0.734901037810382
"199",25,"terrestrial","ard",97.7,0.750425571281113
"200",25,"terrestrial","er",97.7,0.762810700142193
"201",26,"all","ard",97.7,0.824047802816145
"202",26,"all","er",97.7,0.553060321453326
"203",26,"freshwater","ard",97.7,0.75533982920371
"204",26,"freshwater","er",97.7,0.614607025204073
"205",26,"marine_mud","ard",97.7,0.824047802816145
"206",26,"marine_mud","er",97.7,0.553060321453326
"207",26,"terrestrial","ard",97.7,0.75533982920371
"208",26,"terrestrial","er",97.7,0.614607025204073
"209",27,"all","ard",97.7,8.27146424509175e-07
"210",27,"all","er",97.7,0.397709261813309
"211",27,"freshwater","ard",97.7,0.856268576993369
"212",27,"freshwater","er",97.7,0.769927738319832
"213",27,"marine_mud","ard",97.7,8.27146424509175e-07
"214",27,"marine_mud","er",97.7,0.397709261813309
"215",27,"terrestrial","ard",97.7,0.856268576993369
"216",27,"terrestrial","er",97.7,0.769927738319832
"217",28,"all","ard",97.7,0.82891258471567
"218",28,"all","er",97.7,0.734538359439102
"219",28,"freshwater","ard",97.7,0.859254913060421
"220",28,"freshwater","er",97.7,0.696999046608465
"221",28,"marine_mud","ard",97.7,0.82891258471567
"222",28,"marine_mud","er",97.7,0.734538359439102
"223",28,"terrestrial","ard",97.7,0.859254913060421
"224",28,"terrestrial","er",97.7,0.696999046608465
"225",29,"all","ard",97.7,0.886425131504827
"226",29,"all","er",97.7,0.422735079615392
"227",29,"freshwater","ard",97.7,0.80976390283789
"228",29,"freshwater","er",97.7,0.818372772482471
"229",29,"marine_mud","ard",97.7,0.886425131504827
"230",29,"marine_mud","er",97.7,0.422735079615392
"231",29,"terrestrial","ard",97.7,0.80976390283789
"232",29,"terrestrial","er",97.7,0.818372772482471
"233",30,"all","ard",97.7,0.847129750627981
"234",30,"all","er",97.7,0.6009694543183
"235",30,"freshwater","ard",97.7,0.786205910699061
"236",30,"freshwater","er",97.7,0.889043022679425
"237",30,"marine_mud","ard",97.7,0.847129750627981
"238",30,"marine_mud","er",97.7,0.6009694543183
"239",30,"terrestrial","ard",97.7,0.786205910699061
"240",30,"terrestrial","er",97.7,0.889043022679425
"241",31,"all","ard",97.7,1.34958586708491e-110
"242",31,"all","er",97.7,0.582655816728158
"243",31,"freshwater","ard",97.7,0.97961475349156
"244",31,"freshwater","er",97.7,0.824225682431842
"245",31,"marine_mud","ard",97.7,1.34958586708491e-110
"246",31,"marine_mud","er",97.7,0.582655816728158
"247",31,"terrestrial","ard",97.7,0.97961475349156
"248",31,"terrestrial","er",97.7,0.824225682431842
"249",32,"all","ard",97.7,0.843492515020846
"250",32,"all","er",97.7,0.804523391478888
"251",32,"freshwater","ard",97.7,0.900980110676151
"252",32,"freshwater","er",97.7,0.546278669369449
"253",32,"marine_mud","ard",97.7,0.843492515020846
"254",32,"marine_mud","er",97.7,0.804523391478888
"255",32,"terrestrial","ard",97.7,0.900980110676151
"256",32,"terrestrial","er",97.7,0.546278669369449
"257",33,"all","ard",97.7,2.4866628490351e-35
"258",33,"all","er",97.7,0.929852622121067
"259",33,"freshwater","ard",97.7,0.793747111369371
"260",33,"freshwater","er",97.7,0.819541442212658
"261",33,"marine_mud","ard",97.7,2.4866628490351e-35
"262",33,"marine_mud","er",97.7,0.929852622121067
"263",33,"terrestrial","ard",97.7,0.793747111369371
"264",33,"terrestrial","er",97.7,0.819541442212658
"265",34,"all","ard",97.7,9.99456098103328e-79
"266",34,"all","er",97.7,0.547911264583149
"267",34,"freshwater","ard",97.7,0.635151497827752
"268",34,"freshwater","er",97.7,0.623378906929725
"269",34,"marine_mud","ard",97.7,9.99456098103328e-79
"270",34,"marine_mud","er",97.7,0.547911264583149
"271",34,"terrestrial","ard",97.7,0.635151497827752
"272",34,"terrestrial","er",97.7,0.623378906929725
"273",35,"all","ard",97.7,0.871535633298902
"274",35,"all","er",97.7,0.599608080087611
"275",35,"freshwater","ard",97.7,0.893129929963747
"276",35,"freshwater","er",97.7,0.917584743112312
"277",35,"marine_mud","ard",97.7,0.871535633298902
"278",35,"marine_mud","er",97.7,0.599608080087611
"279",35,"terrestrial","ard",97.7,0.893129929963747
"280",35,"terrestrial","er",97.7,0.917584743112312
"281",36,"all","ard",97.7,3.72094976317952e-38
"282",36,"all","er",97.7,0.727535044565833
"283",36,"freshwater","ard",97.7,0.814372017703745
"284",36,"freshwater","er",97.7,0.69613612652444
"285",36,"marine_mud","ard",97.7,3.72094976317952e-38
"286",36,"marine_mud","er",97.7,0.727535044565833
