"","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1","freshwater",0.319264862662426,0,0.001,"94"
"2","marine_mud",-0.10830274058597,0,0.793,"94"
"3","terrestrial",0.233947479689495,0,0.03,"94"
