"","boot_num","habitat_preference","model","similarity","estimated_lambda"
"1",1,"all","ard","98",0.892239887892262
"2",1,"all","er","98",0.638828174663305
"3",1,"freshwater","ard","98",0.740054257198906
"4",1,"freshwater","er","98",0.764193611776555
"5",1,"marine_mud","ard","98",0.892239887892262
"6",1,"marine_mud","er","98",0.638828174663305
"7",1,"terrestrial","ard","98",0.740054257198906
"8",1,"terrestrial","er","98",0.764193611776555
"9",2,"all","ard","98",1.14397898830255e-17
"10",2,"all","er","98",0.720150289472814
"11",2,"freshwater","ard","98",0.797821636309846
"12",2,"freshwater","er","98",0.76166031147252
"13",2,"marine_mud","ard","98",1.14397898830255e-17
"14",2,"marine_mud","er","98",0.720150289472814
"15",2,"terrestrial","ard","98",0.797821636309846
"16",2,"terrestrial","er","98",0.76166031147252
"17",3,"all","ard","98",4.29629163123695e-68
"18",3,"all","er","98",0.785195964825643
"19",3,"freshwater","ard","98",0.958889498230989
"20",3,"freshwater","er","98",0.988360353322119
"21",3,"marine_mud","ard","98",4.29629163123695e-68
"22",3,"marine_mud","er","98",0.785195964825643
"23",3,"terrestrial","ard","98",0.958889498230989
"24",3,"terrestrial","er","98",0.988360353322119
"25",4,"all","ard","98",0.827217587709948
"26",4,"all","er","98",0.624915137427751
"27",4,"freshwater","ard","98",0.78121573715365
"28",4,"freshwater","er","98",0.68654950924093
"29",4,"marine_mud","ard","98",0.827217587709948
"30",4,"marine_mud","er","98",0.624915137427751
"31",4,"terrestrial","ard","98",0.78121573715365
"32",4,"terrestrial","er","98",0.68654950924093
"33",5,"all","ard","98",7.60083907483749e-22
"34",5,"all","er","98",0.878344567911433
"35",5,"freshwater","ard","98",0.918881531154027
"36",5,"freshwater","er","98",0.961959269153156
"37",5,"marine_mud","ard","98",7.60083907483749e-22
"38",5,"marine_mud","er","98",0.878344567911433
"39",5,"terrestrial","ard","98",0.918881531154027
"40",5,"terrestrial","er","98",0.961959269153156
"41",6,"all","ard","98",0.870111057207332
"42",6,"all","er","98",0.435518407564525
"43",6,"freshwater","ard","98",0.785569196919831
"44",6,"freshwater","er","98",0.75916596619813
"45",6,"marine_mud","ard","98",0.870111057207332
"46",6,"marine_mud","er","98",0.435518407564525
"47",6,"terrestrial","ard","98",0.785569196919831
"48",6,"terrestrial","er","98",0.75916596619813
"49",7,"all","ard","98",5.69643897435302e-60
"50",7,"all","er","98",0.545917775457729
"51",7,"freshwater","ard","98",0.93305395137657
"52",7,"freshwater","er","98",0.644610480618529
"53",7,"marine_mud","ard","98",5.69643897435302e-60
"54",7,"marine_mud","er","98",0.545917775457729
"55",7,"terrestrial","ard","98",0.93305395137657
"56",7,"terrestrial","er","98",0.644610480618529
"57",8,"all","ard","98",0.932401087901407
"58",8,"all","er","98",0.433986881011452
"59",8,"freshwater","ard","98",0.91274719904412
"60",8,"freshwater","er","98",0.92000666227811
"61",8,"marine_mud","ard","98",0.932401087901407
"62",8,"marine_mud","er","98",0.433986881011452
"63",8,"terrestrial","ard","98",0.91274719904412
"64",8,"terrestrial","er","98",0.92000666227811
"65",9,"all","ard","98",0.880629378818759
"66",9,"all","er","98",0.398516292245024
"67",9,"freshwater","ard","98",0.735534157617448
"68",9,"freshwater","er","98",0.850694210490449
"69",9,"marine_mud","ard","98",0.880629378818759
"70",9,"marine_mud","er","98",0.398516292245024
"71",9,"terrestrial","ard","98",0.735534157617448
"72",9,"terrestrial","er","98",0.850694210490449
"73",10,"all","ard","98",0.865849365598468
"74",10,"all","er","98",0.658137873090914
"75",10,"freshwater","ard","98",0.944053748997137
"76",10,"freshwater","er","98",0.767455223579776
"77",10,"marine_mud","ard","98",0.865849365598468
"78",10,"marine_mud","er","98",0.658137873090914
"79",10,"terrestrial","ard","98",0.944053748997137
"80",10,"terrestrial","er","98",0.767455223579776
"81",11,"all","ard","98",0.823902816018131
"82",11,"all","er","98",0.552919156476151
"83",11,"freshwater","ard","98",0.612890555140893
"84",11,"freshwater","er","98",1
"85",11,"marine_mud","ard","98",0.823902816018131
"86",11,"marine_mud","er","98",0.552919156476151
"87",11,"terrestrial","ard","98",0.612890555140893
"88",11,"terrestrial","er","98",1
"89",12,"all","ard","98",0.908949515397598
"90",12,"all","er","98",0.598888246108725
"91",12,"freshwater","ard","98",0.810193707728017
"92",12,"freshwater","er","98",0.836979454620765
"93",12,"marine_mud","ard","98",0.908949515397598
"94",12,"marine_mud","er","98",0.598888246108725
"95",12,"terrestrial","ard","98",0.810193707728017
"96",12,"terrestrial","er","98",0.836979454620765
"97",13,"all","ard","98",0.879511496362149
"98",13,"all","er","98",0.870356967882877
"99",13,"freshwater","ard","98",0.848977891673419
"100",13,"freshwater","er","98",0.72750027726004
"101",13,"marine_mud","ard","98",0.879511496362149
"102",13,"marine_mud","er","98",0.870356967882877
"103",13,"terrestrial","ard","98",0.848977891673419
"104",13,"terrestrial","er","98",0.72750027726004
"105",14,"all","ard","98",2.02869590275684e-17
"106",14,"all","er","98",0.601001972562878
"107",14,"freshwater","ard","98",0.722146672094281
"108",14,"freshwater","er","98",0.499396465514314
"109",14,"marine_mud","ard","98",2.02869590275684e-17
"110",14,"marine_mud","er","98",0.601001972562878
"111",14,"terrestrial","ard","98",0.722146672094281
"112",14,"terrestrial","er","98",0.499396465514314
"113",15,"all","ard","98",0.900028773235101
"114",15,"all","er","98",0.9312588828593
"115",15,"freshwater","ard","98",0.920922237762585
"116",15,"freshwater","er","98",0.752134440435542
"117",15,"marine_mud","ard","98",0.900028773235101
"118",15,"marine_mud","er","98",0.9312588828593
"119",15,"terrestrial","ard","98",0.920922237762585
"120",15,"terrestrial","er","98",0.752134440435542
"121",16,"all","ard","98",1.15313287871505e-134
"122",16,"all","er","98",0.692119935958808
"123",16,"freshwater","ard","98",0.925837332211099
"124",16,"freshwater","er","98",0.880911098008696
"125",16,"marine_mud","ard","98",1.15313287871505e-134
"126",16,"marine_mud","er","98",0.692119935958808
"127",16,"terrestrial","ard","98",0.925837332211099
