"","boot_num","habitat_preference","model","similarity","estimated_lambda"
"1",1,"all","er","92",0.936708340822261
"2",1,"freshwater","ard","92",0.877427327132304
"3",1,"marine_mud","ard","92",0.973745686894911
"4",1,"terrestrial","ard","92",0.792310687924659
"5",2,"all","er","92",0.865580625586308
"6",2,"freshwater","ard","92",0.856447551051395
"7",2,"marine_mud","ard","92",0.697727063871799
"8",2,"terrestrial","ard","92",0.654635314892802
"9",3,"all","er","92",0.902406651465736
"10",3,"freshwater","ard","92",0.950000459374277
"11",3,"marine_mud","ard","92",0.890570177056553
"12",3,"terrestrial","ard","92",0.649528758836315
"13",4,"all","er","92",0.828037923324892
"14",4,"freshwater","ard","92",0.790101719760085
"15",4,"marine_mud","ard","92",0.811095899084109
"16",4,"terrestrial","ard","92",0.692904726381499
"17",5,"all","er","92",0.892346079457378
"18",5,"freshwater","ard","92",0.841774603989427
"19",5,"marine_mud","ard","92",0.753557562794285
"20",5,"terrestrial","ard","92",0.7595433531458
"21",6,"all","er","92",0.879380314096436
"22",6,"freshwater","ard","92",0.901991274057034
"23",6,"marine_mud","ard","92",0.729427550219193
"24",6,"terrestrial","ard","92",0.741658948524129
"25",7,"all","er","92",0.839739567062784
"26",7,"freshwater","ard","92",0.792819335217834
"27",7,"marine_mud","ard","92",0.833844632471557
"28",7,"terrestrial","ard","92",0.488217304920872
"29",8,"all","er","92",0.888750905644507
"30",8,"freshwater","ard","92",0.812409169320092
"31",8,"marine_mud","ard","92",0.8232898782575
"32",8,"terrestrial","ard","92",0.829026143821106
"33",9,"all","er","92",0.806340187898056
"34",9,"freshwater","ard","92",0.780972690332702
"35",9,"marine_mud","ard","92",0.840811793494073
"36",9,"terrestrial","ard","92",0.641877550372485
"37",10,"all","er","92",0.925436840067753
"38",10,"freshwater","ard","92",0.874639087498384
"39",10,"marine_mud","ard","92",0.823139411526016
"40",10,"terrestrial","ard","92",0.854137753340405
"41",11,"all","er","92",0.876893355886652
"42",11,"freshwater","ard","92",0.866481879939446
"43",11,"marine_mud","ard","92",0.915785129937187
"44",11,"terrestrial","ard","92",0.675321077132174
"45",12,"all","er","92",0.896070425047641
"46",12,"freshwater","ard","92",0.81718218184662
"47",12,"marine_mud","ard","92",0.765315550838079
"48",12,"terrestrial","ard","92",0.766948703207199
"49",13,"all","er","92",0.846018401957861
"50",13,"freshwater","ard","92",0.778176820732952
"51",13,"marine_mud","ard","92",0.831691584386342
"52",13,"terrestrial","ard","92",0.581436463434708
"53",14,"all","er","92",0.87770205790657
"54",14,"freshwater","ard","92",0.976745513098529
"55",14,"marine_mud","ard","92",0.77025785032843
"56",14,"terrestrial","ard","92",0.66451450656685
"57",15,"all","er","92",0.910273922349585
"58",15,"freshwater","ard","92",0.826308171068252
"59",15,"marine_mud","ard","92",0.862376813244121
"60",15,"terrestrial","ard","92",0.819226265722391
"61",16,"all","er","92",0.83208848105684
"62",16,"freshwater","ard","92",0.849187695899735
"63",16,"marine_mud","ard","92",0.829886231986745
"64",16,"terrestrial","ard","92",0.63186139905353
"65",17,"all","er","92",0.844510086027642
"66",17,"freshwater","ard","92",0.85156360338715
"67",17,"marine_mud","ard","92",0.809573743217947
"68",17,"terrestrial","ard","92",0.52923549274419
"69",18,"all","er","92",0.90912149526788
"70",18,"freshwater","ard","92",0.85016778783181
"71",18,"marine_mud","ard","92",0.831537366780111
"72",18,"terrestrial","ard","92",0.771669192105893
"73",19,"all","er","92",0.856792487316941
"74",19,"freshwater","ard","92",0.867455197390268
"75",19,"marine_mud","ard","92",0.803500668802531
"76",19,"terrestrial","ard","92",0.590195316581546
"77",20,"all","er","92",0.904431242781785
"78",20,"freshwater","ard","92",0.823084815691369
"79",20,"marine_mud","ard","92",0.814888091615656
"80",20,"terrestrial","ard","92",0.81691025896128
"81",21,"all","er","92",0.885484446932002
"82",21,"freshwater","ard","92",0.798789662740355
"83",21,"marine_mud","ard","92",0.846258544305251
"84",21,"terrestrial","ard","92",0.69857095296481
"85",22,"all","er","92",0.815494984131996
"86",22,"freshwater","ard","92",0.785355669570483
"87",22,"marine_mud","ard","92",0.86371667409731
"88",22,"terrestrial","ard","92",0.713093397598463
"89",23,"all","er","92",0.857047860371575
"90",23,"freshwater","ard","92",0.809600512172778
"91",23,"marine_mud","ard","92",0.876800120683575
"92",23,"terrestrial","ard","92",0.650673831483333
"93",24,"all","er","92",0.836489553297596
"94",24,"freshwater","ard","92",0.714423719374596
"95",24,"marine_mud","ard","92",0.778957450146765
"96",24,"terrestrial","ard","92",0.719731520119469
"97",25,"all","er","92",0.851189398743764
"98",25,"freshwater","ard","92",0.812283624941671
"99",25,"marine_mud","ard","92",0.823584368302053
"100",25,"terrestrial","ard","92",0.682578965092017
"101",26,"all","er","92",0.87106833484052
"102",26,"freshwater","ard","92",0.830646275107112
"103",26,"marine_mud","ard","92",0.794694104237037
"104",26,"terrestrial","ard","92",0.80879919557422
"105",27,"all","er","92",0.922762148481268
"106",27,"freshwater","ard","92",0.897697738324553
"107",27,"marine_mud","ard","92",0.874014149562715
"108",27,"terrestrial","ard","92",0.790890489760427
"109",28,"all","er","92",0.818189939452745
"110",28,"freshwater","ard","92",0.778607073869285
"111",28,"marine_mud","ard","92",0.691618574150657
"112",28,"terrestrial","ard","92",0.76922649700224
"113",29,"all","er","92",0.897207794018931
"114",29,"freshwater","ard","92",0.885529435002516
"115",29,"marine_mud","ard","92",0.883660436710195
"116",29,"terrestrial","ard","92",0.701161461123572
"117",30,"all","er","92",0.892397284871495
"118",30,"freshwater","ard","92",0.938810808020072
"119",30,"marine_mud","ard","92",0.796174163912818
"120",30,"terrestrial","ard","92",0.764599487221752
"121",31,"all","er","92",0.857691127972213
"122",31,"freshwater","ard","92",0.834726622060689
"123",31,"marine_mud","ard","92",0.834570565483738
"124",31,"terrestrial","ard","92",0.522291580136479
"125",32,"all","er","92",0.906827642335535
"126",32,"freshwater","ard","92",0.90803195946106
"127",32,"marine_mud","ard","92",0.848443241389084
"128",32,"terrestrial","ard","92",0.64570545219916
"129",33,"all","er","92",0.817016056830128
"130",33,"freshwater","ard","92",0.755027616537589
"131",33,"marine_mud","ard","92",0.800607914520774
"132",33,"terrestrial","ard","92",0.635929138887534
"133",34,"all","er","92",0.870010177287793
"134",34,"freshwater","ard","92",0.958602217768331
"135",34,"marine_mud","ard","92",0.836593277297411
"136",34,"terrestrial","ard","92",0.80195077638048
"137",35,"all","er","92",0.845494657955348
"138",35,"freshwater","ard","92",0.878132517276464
"139",35,"marine_mud","ard","92",0.793487862459996
"140",35,"terrestrial","ard","92",0.606802796689347
"141",36,"all","er","92",0.825697349608503
"142",36,"freshwater","ard","92",0.795810181357493
"143",36,"marine_mud","ard","92",0.81247891742515
"144",36,"terrestrial","ard","92",0.734482157622654
"145",37,"all","er","92",0.865613870415403
"146",37,"freshwater","ard","92",0.895736069991269
"147",37,"marine_mud","ard","92",0.788003791624552
"148",37,"terrestrial","ard","92",0.76638218642814
"149",38,"all","er","92",0.872635959862568
"150",38,"freshwater","ard","92",0.84271117498105
"151",38,"marine_mud","ard","92",0.911966961890301
"152",38,"terrestrial","ard","92",0.786151081671566
"153",39,"all","er","92",0.835076357790869
"154",39,"freshwater","ard","92",0.767389359132386
"155",39,"marine_mud","ard","92",0.67706399630392
"156",39,"terrestrial","ard","92",0.55447599053982
"157",40,"all","er","92",0.833072362209142
"158",40,"freshwater","ard","92",0.86378496293045
"159",40,"marine_mud","ard","92",0.774929339510719
"160",40,"terrestrial","ard","92",0.70649675661246
"161",41,"all","er","92",0.857016682322636
"162",41,"freshwater","ard","92",0.852294997209611
"163",41,"marine_mud","ard","92",0.892767040867711
"164",41,"terrestrial","ard","92",0.545249953730523
"165",42,"all","er","92",0.914672330897814
"166",42,"freshwater","ard","92",0.879849174361025
"167",42,"marine_mud","ard","92",0.887687385117813
"168",42,"terrestrial","ard","92",0.897428915198085
"169",43,"all","er","92",0.763618037791196
"170",43,"freshwater","ard","92",0.832689947165607
"171",43,"marine_mud","ard","92",0.738420213449583
"172",43,"terrestrial","ard","92",6.93034233206521e-66
"173",44,"all","er","92",0.866646260366848
"174",44,"freshwater","ard","92",0.852317390572419
"175",44,"marine_mud","ard","92",0.829352498723861
"176",44,"terrestrial","ard","92",0.721235779593257
"177",45,"all","er","92",0.896340693487456
"178",45,"freshwater","ard","92",0.919153843333536
"179",45,"marine_mud","ard","92",0.966225659127342
"180",45,"terrestrial","ard","92",0.741547213240963
"181",46,"all","er","92",0.871465200234764
"182",46,"freshwater","ard","92",0.855362782648892
"183",46,"marine_mud","ard","92",0.90290152174635
"184",46,"terrestrial","ard","92",0.752120457389993
"185",47,"all","er","92",0.868879310520866
"186",47,"freshwater","ard","92",0.806899556219339
"187",47,"marine_mud","ard","92",0.911746335827259
"188",47,"terrestrial","ard","92",0.489489313960523
"189",48,"all","er","92",0.859839460179122
"190",48,"freshwater","ard","92",0.890855315048463
"191",48,"marine_mud","ard","92",0.870343719158347
"192",48,"terrestrial","ard","92",0.77725859699976
"193",49,"all","er","92",0.833359041867701
"194",49,"freshwater","ard","92",0.791492788716743
"195",49,"marine_mud","ard","92",0.819787036216607
"196",49,"terrestrial","ard","92",0.733393072737011
"197",50,"all","er","92",0.938707212383963
"198",50,"freshwater","ard","92",0.842303152316012
"199",50,"marine_mud","ard","92",0.823792755772079
"200",50,"terrestrial","ard","92",0.921154289414618
"201",51,"all","er","92",0.835715636242314
"202",51,"freshwater","ard","92",0.894070124331327
"203",51,"marine_mud","ard","92",0.808213609025457
"204",51,"terrestrial","ard","92",0.611367226225347
"205",52,"all","er","92",0.93468203922332
"206",52,"freshwater","ard","92",0.910623214103103
"207",52,"marine_mud","ard","92",0.857671782557124
"208",52,"terrestrial","ard","92",0.706638238610431
"209",53,"all","er","92",0.926971446358321
"210",53,"freshwater","ard","92",0.921671679734519
"211",53,"marine_mud","ard","92",0.894493104880004
"212",53,"terrestrial","ard","92",0.851534878825306
"213",54,"all","er","92",0.849507729450329
"214",54,"freshwater","ard","92",0.83058931350778
"215",54,"marine_mud","ard","92",0.780037530545922
"216",54,"terrestrial","ard","92",0.589524537243911
"217",55,"all","er","92",0.878912862309971
"218",55,"freshwater","ard","92",0.760742301019058
"219",55,"marine_mud","ard","92",0.822083836745669
"220",55,"terrestrial","ard","92",0.558987284505028
"221",56,"all","er","92",0.865976181688556
"222",56,"freshwater","ard","92",0.731887221903929
"223",56,"marine_mud","ard","92",0.815154984145736
"224",56,"terrestrial","ard","92",0.616948430331893
"225",57,"all","er","92",0.861698820839266
"226",57,"freshwater","ard","92",0.825199559330193
"227",57,"marine_mud","ard","92",0.842971559567523
"228",57,"terrestrial","ard","92",0.753839976152061
"229",58,"all","er","92",0.864110159484723
"230",58,"freshwater","ard","92",0.872541012060063
"231",58,"marine_mud","ard","92",0.848300821131366
"232",58,"terrestrial","ard","92",0.735916648065622
"233",59,"all","er","92",0.889273837497135
"234",59,"freshwater","ard","92",0.874740410368146
"235",59,"marine_mud","ard","92",0.846545167015055
"236",59,"terrestrial","ard","92",0.75759398930602
"237",60,"all","er","92",0.869411128437903
"238",60,"freshwater","ard","92",0.865171784876365
"239",60,"marine_mud","ard","92",0.80610344663328
"240",60,"terrestrial","ard","92",0.807901089570137
"241",61,"all","er","92",0.89391710529809
"242",61,"freshwater","ard","92",0.83853021122276
"243",61,"marine_mud","ard","92",0.888179984099005
"244",61,"terrestrial","ard","92",0.653480448843976
"245",62,"all","er","92",0.901257286034056
"246",62,"freshwater","ard","92",0.921850762687981
"247",62,"marine_mud","ard","92",0.853102700160796
"248",62,"terrestrial","ard","92",0.848275194550822
"249",63,"all","er","92",0.829064855145381
"250",63,"freshwater","ard","92",0.919938322176401
"251",63,"marine_mud","ard","92",0.810477435153584
"252",63,"terrestrial","ard","92",0.651670744654739
"253",64,"all","er","92",0.876508787355463
"254",64,"freshwater","ard","92",0.76799362507819
"255",64,"marine_mud","ard","92",0.81776714052609
"256",64,"terrestrial","ard","92",0.867387931903239
"257",65,"all","er","92",0.865577761416663
"258",65,"freshwater","ard","92",0.865273245595113
"259",65,"marine_mud","ard","92",0.872200513750075
"260",65,"terrestrial","ard","92",0.77281925868407
"261",66,"all","er","92",0.821404200567555
"262",66,"freshwater","ard","92",0.797897570480743
"263",66,"marine_mud","ard","92",0.779020738434576
"264",66,"terrestrial","ard","92",0.671596146373956
"265",67,"all","er","92",0.845926321167918
"266",67,"freshwater","ard","92",0.810761145149511
"267",67,"marine_mud","ard","92",0.843418783163443
"268",67,"terrestrial","ard","92",0.727313219706905
"269",68,"all","er","92",0.85649402489198
"270",68,"freshwater","ard","92",0.84433194364042
"271",68,"marine_mud","ard","92",0.73835876196737
"272",68,"terrestrial","ard","92",0.822924607223878
"273",69,"all","er","92",0.872101434055178
"274",69,"freshwater","ard","92",0.871481401908513
"275",69,"marine_mud","ard","92",0.824853934549326
"276",69,"terrestrial","ard","92",0.539664708653233
"277",70,"all","er","92",0.834275739712589
"278",70,"freshwater","ard","92",0.857286384242455
"279",70,"marine_mud","ard","92",0.815132483192559
"280",70,"terrestrial","ard","92",0.67860771049581
"281",71,"all","er","92",0.882958633700394
"282",71,"freshwater","ard","92",0.855094866491012
"283",71,"marine_mud","ard","92",0.786704137262218
"284",71,"terrestrial","ard","92",0.669538896871192
"285",72,"all","er","92",0.924207641856077
"286",72,"freshwater","ard","92",0.771521256295854
"287",72,"marine_mud","ard","92",0.903227379869596
"288",72,"terrestrial","ard","92",0.812750349084131
"289",73,"all","er","92",0.935233155174108
"290",73,"freshwater","ard","92",0.942730238645489
"291",73,"marine_mud","ard","92",0.841844662498868
"292",73,"terrestrial","ard","92",0.755801520079961
"293",74,"all","er","92",0.887031915885863
"294",74,"freshwater","ard","92",0.796820655504274
"295",74,"marine_mud","ard","92",0.773067108992304
"296",74,"terrestrial","ard","92",0.661806604707425
"297",75,"all","er","92",0.924059139052316
"298",75,"freshwater","ard","92",0.941520036393643
"299",75,"marine_mud","ard","92",0.781890698393344
"300",75,"terrestrial","ard","92",0.574080637014889
"301",76,"all","er","92",0.79143097271547
"302",76,"freshwater","ard","92",0.721312621335599
"303",76,"marine_mud","ard","92",0.844194631773007
"304",76,"terrestrial","ard","92",0.629544372333442
"305",77,"all","er","92",0.944066545521294
"306",77,"freshwater","ard","92",0.909743763326634
"307",77,"marine_mud","ard","92",0.979239614004862
"308",77,"terrestrial","ard","92",0.793144897975595
"309",78,"all","er","92",0.858065937469731
"310",78,"freshwater","ard","92",0.780290160198959
"311",78,"marine_mud","ard","92",0.820174839715714
"312",78,"terrestrial","ard","92",0.715182974794634
"313",79,"all","er","92",0.845099210184283
"314",79,"freshwater","ard","92",0.823355715530632
"315",79,"marine_mud","ard","92",0.849043066269389
"316",79,"terrestrial","ard","92",0.808173193705771
"317",80,"all","er","92",0.860891896318135
"318",80,"freshwater","ard","92",0.856078789808536
"319",80,"marine_mud","ard","92",0.85067615428916
"320",80,"terrestrial","ard","92",0.616796294066255
"321",81,"all","er","92",0.897525799952444
"322",81,"freshwater","ard","92",0.884211420967151
"323",81,"marine_mud","ard","92",0.825923752872394
"324",81,"terrestrial","ard","92",0.786795583804498
"325",82,"all","er","92",0.841290721573302
"326",82,"freshwater","ard","92",0.750850381865919
"327",82,"marine_mud","ard","92",0.691488253877518
"328",82,"terrestrial","ard","92",0.726562130844261
"329",83,"all","er","92",0.934817701036962
"330",83,"freshwater","ard","92",0.881524819524322
"331",83,"marine_mud","ard","92",0.809865638886536
"332",83,"terrestrial","ard","92",0.594133528459719
"333",84,"all","er","92",0.859560183016207
"334",84,"freshwater","ard","92",0.929922782608485
"335",84,"marine_mud","ard","92",0.847386746275494
"336",84,"terrestrial","ard","92",0.594252144968815
"337",85,"all","er","92",0.742903484418733
"338",85,"freshwater","ard","92",0.740228475995475
"339",85,"marine_mud","ard","92",0.741618251947564
"340",85,"terrestrial","ard","92",0.623174468472439
"341",86,"all","er","92",0.893557720648136
"342",86,"freshwater","ard","92",0.809402917730277
"343",86,"marine_mud","ard","92",0.813702850845643
"344",86,"terrestrial","ard","92",0.825108451526906
"345",87,"all","er","92",0.840730247060859
"346",87,"freshwater","ard","92",0.827013816275603
"347",87,"marine_mud","ard","92",0.787969645940613
"348",87,"terrestrial","ard","92",0.682668444469899
"349",88,"all","er","92",0.852563039657031
"350",88,"freshwater","ard","92",0.782350963087443
"351",88,"marine_mud","ard","92",0.685273529316509
"352",88,"terrestrial","ard","92",0.609214209218581
"353",89,"all","er","92",7.43753921068054e-19
"354",89,"freshwater","ard","92",0.792732022231032
"355",89,"marine_mud","ard","92",0.786344152306945
"356",89,"terrestrial","ard","92",0.693954114244994
"357",90,"all","er","92",0.918555172481421
"358",90,"freshwater","ard","92",0.819584159469118
"359",90,"marine_mud","ard","92",0.823767287621083
"360",90,"terrestrial","ard","92",0.941545026024518
"361",91,"all","er","92",0.904591951793496
"362",91,"freshwater","ard","92",0.827865801455018
"363",91,"marine_mud","ard","92",0.950468660975025
"364",91,"terrestrial","ard","92",0.8329097905093
"365",92,"all","er","92",0.823926188790245
"366",92,"freshwater","ard","92",0.758847787776372
"367",92,"marine_mud","ard","92",0.788658260487558
"368",92,"terrestrial","ard","92",0.78093686287359
"369",93,"all","er","92",0.838636159071422
"370",93,"freshwater","ard","92",0.834782632119314
"371",93,"marine_mud","ard","92",0.810692486441217
"372",93,"terrestrial","ard","92",0.721266470275693
"373",94,"all","er","92",0.894172496644009
"374",94,"freshwater","ard","92",0.80445850377134
"375",94,"marine_mud","ard","92",0.790273788567768
"376",94,"terrestrial","ard","92",0.441748246492412
"377",95,"all","er","92",0.875166672515259
"378",95,"freshwater","ard","92",0.868301409138617
"379",95,"marine_mud","ard","92",0.825122249687765
"380",95,"terrestrial","ard","92",0.730469674501061
"381",96,"all","er","92",0.8519174365779
"382",96,"freshwater","ard","92",0.815008295586045
"383",96,"marine_mud","ard","92",0.952399737367692
"384",96,"terrestrial","ard","92",0.757792148202485
"385",97,"all","er","92",0.924837888513102
"386",97,"freshwater","ard","92",0.929982495053885
"387",97,"marine_mud","ard","92",0.906447518268592
"388",97,"terrestrial","ard","92",0.795902108788628
"389",98,"all","er","92",0.863066716213445
"390",98,"freshwater","ard","92",0.848735084582786
"391",98,"marine_mud","ard","92",0.707830592386873
"392",98,"terrestrial","ard","92",0.499392426473576
"393",99,"all","er","92",0.820539180500835
"394",99,"freshwater","ard","92",0.807617938613238
"395",99,"marine_mud","ard","92",0.838023247117694
"396",99,"terrestrial","ard","92",0.665130835475456
"397",100,"all","er","92",0.945024482671789
"398",100,"freshwater","ard","92",0.852357052268062
"399",100,"marine_mud","ard","92",0.873484994985153
"400",100,"terrestrial","ard","92",0.774360258406197
