"","boot_num","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1",1,"freshwater",0.432889423103249,0,0.008,97
"2",1,"marine_mud",-0.198960329503311,0,0.829,97
"3",1,"terrestrial",0.198823775551874,0,0.162,97
"4",2,"freshwater",0.323123302022834,0,0.049,97
"5",2,"marine_mud",-0.315191226785004,0,0.919,97
"6",2,"terrestrial",0.0913673032558485,0,0.363,97
"7",3,"freshwater",0.463325635053507,0,0.007,97
"8",3,"marine_mud",-0.214357177621038,0,0.843,97
"9",3,"terrestrial",0.32445893847328,0,0.04,97
"10",4,"freshwater",0.268265888651745,0,0.095,97
"11",4,"marine_mud",-0.123793084916664,0,0.737,97
"12",4,"terrestrial",0.30346622714226,0,0.051,97
"13",5,"freshwater",0.468978395101557,0,0.003,97
"14",5,"marine_mud",-0.345853117093983,0,0.942,97
"15",5,"terrestrial",0.258057132971403,0,0.092,97
"16",6,"freshwater",0.280776427937011,0,0.073,97
"17",6,"marine_mud",-0.33347687525177,0,0.945,97
"18",6,"terrestrial",0.215946277525443,0,0.137,97
"19",7,"freshwater",0.463455086044811,0,0.005,97
"20",7,"marine_mud",-0.242173550571279,0,0.878,97
"21",7,"terrestrial",0.294705453433662,0,0.06,97
"22",8,"freshwater",0.236506482881642,0,0.127,97
"23",8,"marine_mud",-0.437046697747321,0,0.959,97
"24",8,"terrestrial",0.150000092601735,0,0.245,97
"25",9,"freshwater",0.377705212232362,0,0.02,97
"26",9,"marine_mud",-0.177755801462129,0,0.804,97
"27",9,"terrestrial",0.333435385061301,0,0.029,97
"28",10,"freshwater",0.474624149744649,0,0.003,97
"29",10,"marine_mud",-0.227740240660075,0,0.852,97
"30",10,"terrestrial",0.228981548089583,0,0.12,97
"31",11,"freshwater",0.521015378373208,0,0.001,97
"32",11,"marine_mud",-0.0441136569875362,0,0.593,97
"33",11,"terrestrial",0.240740767825593,0,0.097,97
"34",12,"freshwater",0.251657888083666,0,0.081,97
"35",12,"marine_mud",-0.377656113164488,0,0.944,97
"36",12,"terrestrial",0.121773138900192,0,0.275,97
"37",13,"freshwater",0.483112565702515,0,0.005,97
"38",13,"marine_mud",-0.0258792930943981,0,0.567,97
"39",13,"terrestrial",0.276842741520148,0,0.073,97
"40",14,"freshwater",0.487135379725596,0,0.003,97
"41",14,"marine_mud",-0.165271477526176,0,0.792,97
"42",14,"terrestrial",0.290542062837795,0,0.054,97
"43",15,"freshwater",0.503699669655163,0,0.002,97
"44",15,"marine_mud",-0.0455837840730593,0,0.586,97
"45",15,"terrestrial",0.444917143199527,0,0.006,97
"46",16,"freshwater",0.343168217407324,0,0.042,97
"47",16,"marine_mud",-0.0687839354227269,0,0.651,97
"48",16,"terrestrial",0.207039126118733,0,0.146,97
"49",17,"freshwater",0.446821502213691,0,0.006,97
"50",17,"marine_mud",-0.303111424543869,0,0.905,97
"51",17,"terrestrial",0.221109965832599,0,0.133,97
"52",18,"freshwater",0.444957583267535,0,0.004,97
"53",18,"marine_mud",-0.0849300939059502,0,0.67,97
"54",18,"terrestrial",0.21414143722585,0,0.146,97
"55",19,"freshwater",0.432916179137801,0,0.008,97
"56",19,"marine_mud",-0.304496786986912,0,0.903,97
"57",19,"terrestrial",0.252679692794329,0,0.119,97
"58",20,"freshwater",0.489089151729005,0,0.004,97
"59",20,"marine_mud",-0.207128056244207,0,0.835,97
"60",20,"terrestrial",0.162758975769979,0,0.223,97
"61",21,"freshwater",0.527336253831384,0,0,97
"62",21,"marine_mud",-0.0675185957602722,0,0.64,97
"63",21,"terrestrial",0.415474487570082,0,0.008,97
"64",22,"freshwater",0.469404805835172,0,0.01,97
"65",22,"marine_mud",-0.101946784691754,0,0.719,97
"66",22,"terrestrial",0.285674788155632,0,0.086,97
"67",23,"freshwater",0.457980137008686,0,0.004,97
"68",23,"marine_mud",-0.327186276883272,0,0.933,97
"69",23,"terrestrial",0.230310222810142,0,0.111,97
"70",24,"freshwater",0.3352394134252,0,0.04,97
"71",24,"marine_mud",-0.246532442909022,0,0.879,97
"72",24,"terrestrial",0.300921568289238,0,0.046,97
"73",25,"freshwater",0.405111445274257,0,0.016,97
"74",25,"marine_mud",-0.206287588475412,0,0.828,97
"75",25,"terrestrial",0.440178209009241,0,0.006,97
"76",26,"freshwater",0.532113668642238,0,0.004,97
"77",26,"marine_mud",0.0178315872835196,0,0.493,97
"78",26,"terrestrial",0.36850120175914,0,0.03,97
"79",27,"freshwater",0.402006053563699,0,0.013,97
"80",27,"marine_mud",-0.371575892950484,0,0.933,97
"81",27,"terrestrial",0.197908802810907,0,0.166,97
"82",28,"freshwater",0.401044647430409,0,0.023,97
"83",28,"marine_mud",-0.128726633121839,0,0.752,97
"84",28,"terrestrial",0.239351258788168,0,0.11,97
