"","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1","freshwater",0.418476756095247,0,0,97.7
"2","marine_mud",-0.133126419077218,0,0.853,97.7
"3","terrestrial",0.207466472910472,0,0.02,97.7
