"","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1","freshwater",0.193200150462553,0,0.127,"92"
"2","marine_mud",-0.0667537796225301,0,0.677,"92"
"3","terrestrial",0.29030499030905,0,0.042,"92"
