"","boot_num","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1",1,"freshwater",0.424735772105562,0,0.012,"98"
"2",1,"marine_mud",-0.261702495203879,0,0.877,"98"
"3",1,"terrestrial",0.350909841631851,0,0.042,"98"
"4",2,"freshwater",0.274184575328775,0,0.07,"98"
"5",2,"marine_mud",-0.386482125635045,0,0.961,"98"
"6",2,"terrestrial",0.174155291009505,0,0.174,"98"
"7",3,"freshwater",0.31102677165697,0,0.065,"98"
"8",3,"marine_mud",-0.237265564304528,0,0.85,"98"
"9",3,"terrestrial",0.177870783701141,0,0.203,"98"
"10",4,"freshwater",0.452727351741585,0,0.008,"98"
"11",4,"marine_mud",-0.269257713156079,0,0.877,"98"
"12",4,"terrestrial",0.163377320763716,0,0.236,"98"
"13",5,"freshwater",0.677878323006448,0.001,0,"98"
"14",5,"marine_mud",-0.0600071226197407,0,0.618,"98"
"15",5,"terrestrial",0.465003903782627,0,0.005,"98"
"16",6,"freshwater",0.453544319362655,0,0.005,"98"
"17",6,"marine_mud",-0.205168591220663,0,0.824,"98"
"18",6,"terrestrial",0.257056338445969,0,0.095,"98"
"19",7,"freshwater",0.592744161570074,0,0,"98"
"20",7,"marine_mud",-0.0914806726933115,0,0.698,"98"
"21",7,"terrestrial",0.426350707018471,0,0.017,"98"
"22",8,"freshwater",0.343158635970518,0,0.03,"98"
"23",8,"marine_mud",-0.398213956217193,0,0.96,"98"
"24",8,"terrestrial",0.20263650619035,0,0.169,"98"
"25",9,"freshwater",0.305634015315612,0,0.046,"98"
"26",9,"marine_mud",-0.198591475132745,0,0.804,"98"
"27",9,"terrestrial",0.216066723645648,0,0.15,"98"
"28",10,"freshwater",0.44350245789172,0,0.003,"98"
"29",10,"marine_mud",-0.0429059238535783,0,0.601,"98"
"30",10,"terrestrial",0.374880082260811,0,0.027,"98"
"31",11,"freshwater",0.364227053853614,0,0.022,"98"
"32",11,"marine_mud",-0.220330461858135,0,0.854,"98"
"33",11,"terrestrial",0.184766245772302,0,0.177,"98"
"34",12,"freshwater",0.344115816167288,0,0.029,"98"
"35",12,"marine_mud",-0.314903307480702,0,0.935,"98"
