"","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1","freshwater",0.361860488790419,0,0,"99"
"2","marine_mud",-0.168726320878748,0,0.907,"99"
"3","terrestrial",0.113632214551498,0,0.145,"99"
