"","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1","freshwater",0.363544822075578,0,0,"97"
"2","marine_mud",-0.166065947507688,0,0.918,"97"
"3","terrestrial",0.209322601572022,0,0.017,"97"
