"","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1","freshwater",0.397829163113785,0,0.002,"93"
"2","marine_mud",-0.0546239002470377,0,0.664,"93"
"3","terrestrial",0.302720868603234,0,0.02,"93"
