"","boot_num","habitat_preference","model","similarity","estimated_lambda"
"114",29,"freshwater","ard","asv",0.599439868792024
"115",29,"marine_mud","ard","asv",0.731615969957827
"116",29,"terrestrial","ard","asv",0.638363172492013
"117",30,"all","er","asv",0.828082807647524
"118",30,"freshwater","ard","asv",0.276934718796219
"119",30,"marine_mud","ard","asv",0.849104187323011
"120",30,"terrestrial","ard","asv",0.713052552689978
"121",31,"all","er","asv",0.851043867084928
"122",31,"freshwater","ard","asv",0.610885826515513
"123",31,"marine_mud","ard","asv",0.875558691633614
"124",31,"terrestrial","ard","asv",0.835126593176943
"125",32,"all","er","asv",0.76750323899121
"126",32,"freshwater","ard","asv",0.572922788885093
"127",32,"marine_mud","ard","asv",0.552078117739356
"128",32,"terrestrial","ard","asv",0.82952139603779
"129",33,"all","er","asv",0.887287997755153
"130",33,"freshwater","ard","asv",0.626802101085967
"131",33,"marine_mud","ard","asv",0.815219391394291
"132",33,"terrestrial","ard","asv",0.824546809526947
"133",34,"all","er","asv",0.877215063247201
"134",34,"freshwater","ard","asv",0.435506724379861
"135",34,"marine_mud","ard","asv",0.874939690312053
"136",34,"terrestrial","ard","asv",0.89249605210677
"137",35,"all","er","asv",0.812404927977561
"138",35,"freshwater","ard","asv",0.613307257010047
"139",35,"marine_mud","ard","asv",0.916971947853187
"140",35,"terrestrial","ard","asv",0.72234823736188
"141",36,"all","er","asv",0.880136768211265
"142",36,"freshwater","ard","asv",0.522371131724218
"143",36,"marine_mud","ard","asv",0.79254711461805
"144",36,"terrestrial","ard","asv",0.566333789589093
"145",37,"all","er","asv",0.83198974379592
"146",37,"freshwater","ard","asv",0.49988011750579
"147",37,"marine_mud","ard","asv",0.813711246615736
"148",37,"terrestrial","ard","asv",0.698964595428538
"149",38,"all","er","asv",0.845102641347253
"150",38,"freshwater","ard","asv",0.665527360163174
"151",38,"marine_mud","ard","asv",0.847302092368045
"152",38,"terrestrial","ard","asv",0.711353038917827
"153",39,"all","er","asv",0.854782161566842
"154",39,"freshwater","ard","asv",0.43459623939218
"155",39,"marine_mud","ard","asv",0.843940203308556
"156",39,"terrestrial","ard","asv",0.725930844898632
"157",40,"all","er","asv",0.885985743664676
"158",40,"freshwater","ard","asv",0.738768792062418
"159",40,"marine_mud","ard","asv",0.812613611756834
"160",40,"terrestrial","ard","asv",0.8299017978792
"161",41,"all","er","asv",0.865078571604415
"162",41,"freshwater","ard","asv",0.529367023781669
"163",41,"marine_mud","ard","asv",0.873115961558364
"164",41,"terrestrial","ard","asv",0.824986935066457
"165",42,"all","er","asv",0.892818126172828
"166",42,"freshwater","ard","asv",0.733551748433504
"167",42,"marine_mud","ard","asv",0.941475942541921
"168",42,"terrestrial","ard","asv",0.891166015623288
"169",43,"all","er","asv",0.875039232044966
"170",43,"freshwater","ard","asv",0.734796972960464
"171",43,"marine_mud","ard","asv",0.810469288604272
"172",43,"terrestrial","ard","asv",0.878876485301475
"173",44,"all","er","asv",0.719856973868171
"174",44,"freshwater","ard","asv",0.647720879629486
"175",44,"marine_mud","ard","asv",0.463553971104455
"176",44,"terrestrial","ard","asv",0.767091435679521
"177",45,"all","er","asv",0.758493778449576
"178",45,"freshwater","ard","asv",0.487750293298864
"179",45,"marine_mud","ard","asv",0.738045990195449
"180",45,"terrestrial","ard","asv",0.889947911889631
"181",46,"all","er","asv",0.908306271198682
"182",46,"freshwater","ard","asv",0.928930073994799
"183",46,"marine_mud","ard","asv",0.997614652470805
"184",46,"terrestrial","ard","asv",0.893245561736197
"185",47,"all","er","asv",0.820451573736172
"186",47,"freshwater","ard","asv",0.548362420478447
"187",47,"marine_mud","ard","asv",0.769014653256006
"188",47,"terrestrial","ard","asv",0.824263694567769
"189",48,"all","er","asv",0.868049828984281
"190",48,"freshwater","ard","asv",0.707502010452808
"191",48,"marine_mud","ard","asv",0.798725038791603
"192",48,"terrestrial","ard","asv",0.844989428306064
"193",49,"all","er","asv",0.846413812742443
"194",49,"freshwater","ard","asv",0.768790213073476
"195",49,"marine_mud","ard","asv",0.878899264085727
"196",49,"terrestrial","ard","asv",0.864395770058694
"197",50,"all","er","asv",0.886411999895092
"198",50,"freshwater","ard","asv",0.684082067157133
"199",50,"marine_mud","ard","asv",0.783982187744829
"200",50,"terrestrial","ard","asv",0.910559483215671
"201",51,"all","er","asv",0.921147696006436
"202",51,"freshwater","ard","asv",0.751424369127628
"203",51,"marine_mud","ard","asv",0.76762256342044
"204",51,"terrestrial","ard","asv",0.74954221222166
"205",52,"all","er","asv",0.836050646482626
"206",52,"freshwater","ard","asv",0.455778245003926
"207",52,"marine_mud","ard","asv",0.851425342640453
"208",52,"terrestrial","ard","asv",0.757586840910683
"209",53,"all","er","asv",0.883574490033454
"210",53,"freshwater","ard","asv",0.750362993926922
"211",53,"marine_mud","ard","asv",0.862001155524061
"212",53,"terrestrial","ard","asv",0.991943808151746
"213",54,"all","er","asv",0.849612600954466
"214",54,"freshwater","ard","asv",0.441558919330077
"215",54,"marine_mud","ard","asv",0.958441975310073
"216",54,"terrestrial","ard","asv",0.816063294469317
"217",55,"all","er","asv",0.903327737232826
"218",55,"freshwater","ard","asv",0.596640932421573
"219",55,"marine_mud","ard","asv",0.922240855460585
"220",55,"terrestrial","ard","asv",0.982135277782282
"221",56,"all","er","asv",0.871636541535647
"222",56,"freshwater","ard","asv",0.738168277136011
"223",56,"marine_mud","ard","asv",0.923424668113603
"224",56,"terrestrial","ard","asv",0.784702685027279
"225",57,"all","er","asv",0.832441590628737
"226",57,"freshwater","ard","asv",0.461662474527944
"227",57,"marine_mud","ard","asv",0.672225794254792
"228",57,"terrestrial","ard","asv",0.91491051210625
"229",58,"all","er","asv",0.860989346710278
"230",58,"freshwater","ard","asv",0.76236534289809
"231",58,"marine_mud","ard","asv",0.690448999534823
"232",58,"terrestrial","ard","asv",0.795659417728483
"233",59,"all","er","asv",0.847046085553061
"234",59,"freshwater","ard","asv",0.593015635013259
"235",59,"marine_mud","ard","asv",0.674231581693713
"236",59,"terrestrial","ard","asv",0.578389561415034
"237",60,"all","er","asv",0.875060929377441
"238",60,"freshwater","ard","asv",0.615078926199856
