"","boot_num","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"89",30,"marine_mud",-0.422223720400542,0,0.947,"asv"
"90",30,"terrestrial",0.260048772752645,0,0.108,"asv"
"91",31,"freshwater",0.387785192127461,0,0.034,"asv"
"92",31,"marine_mud",-0.222503173566277,0,0.818,"asv"
"93",31,"terrestrial",0.273898300692546,0,0.105,"asv"
"94",32,"freshwater",0.259179788824309,0,0.112,"asv"
"95",32,"marine_mud",0.0705438606409892,0,0.388,"asv"
"96",32,"terrestrial",0.219023130457456,0,0.147,"asv"
"97",33,"freshwater",0.36632323114153,0,0.026,"asv"
"98",33,"marine_mud",-0.0678748501041986,0,0.643,"asv"
"99",33,"terrestrial",0.273527106576136,0,0.095,"asv"
"100",34,"freshwater",0.47490024190586,0,0.006,"asv"
"101",34,"marine_mud",-0.260299354586016,0,0.851,"asv"
"102",34,"terrestrial",0.110343769679689,0,0.3,"asv"
"103",35,"freshwater",0.323513117875348,0,0.057,"asv"
"104",35,"marine_mud",-0.415472018362438,0,0.949,"asv"
"105",35,"terrestrial",0.0877166030319291,0,0.359,"asv"
"106",36,"freshwater",0.353418800859665,0,0.039,"asv"
"107",36,"marine_mud",-0.305855196819379,0,0.896,"asv"
"108",36,"terrestrial",0.166258016582496,0,0.228,"asv"
"109",37,"freshwater",0.364250813107,0,0.038,"asv"
"110",37,"marine_mud",-0.506328777477896,0,0.953,"asv"
"111",37,"terrestrial",0.124353356010764,0,0.311,"asv"
"112",38,"freshwater",0.345032012095831,0,0.045,"asv"
"113",38,"marine_mud",-0.286676934553322,0,0.882,"asv"
"114",38,"terrestrial",0.28775460861841,0,0.105,"asv"
"115",39,"freshwater",0.396850967922911,0,0.026,"asv"
"116",39,"marine_mud",-0.354615625757679,0,0.9,"asv"
"117",39,"terrestrial",0.0923367759548966,0,0.343,"asv"
"118",40,"freshwater",0.273679393346764,0,0.094,"asv"
"119",40,"marine_mud",-0.362066877338744,0,0.931,"asv"
"120",40,"terrestrial",0.151388327184019,0,0.262,"asv"
"121",41,"freshwater",0.385260258403307,0,0.021,"asv"
"122",41,"marine_mud",-0.271381551449922,0,0.884,"asv"
"123",41,"terrestrial",0.13907404256851,0,0.276,"asv"
"124",42,"freshwater",0.346311147826556,0,0.054,"asv"
"125",42,"marine_mud",-0.288109818564765,0,0.882,"asv"
"126",42,"terrestrial",0.0656284439583281,0,0.383,"asv"
"127",43,"freshwater",0.31795574912926,0,0.056,"asv"
"128",43,"marine_mud",-0.197703192479742,0,0.81,"asv"
"129",43,"terrestrial",0.275152651415851,0,0.084,"asv"
"130",44,"freshwater",0.42992697361702,0,0.008,"asv"
"131",44,"marine_mud",-0.0350008027005322,0,0.576,"asv"
"132",44,"terrestrial",0.230986860698039,0,0.159,"asv"
"133",45,"freshwater",0.422217478854599,0,0.021,"asv"
"134",45,"marine_mud",-0.169682897313172,0,0.768,"asv"
"135",45,"terrestrial",0.0890487600919379,0,0.36,"asv"
"136",46,"freshwater",0.0831576680571415,0,0.345,"asv"
"137",46,"marine_mud",-0.47347689922877,0,0.97,"asv"
"138",46,"terrestrial",0.0521525359387291,0,0.434,"asv"
"139",47,"freshwater",0.320619914623546,0,0.059,"asv"
"140",47,"marine_mud",-0.189679888594508,0,0.795,"asv"
"141",47,"terrestrial",0.250071611922355,0,0.121,"asv"
"142",48,"freshwater",0.252264741735574,0,0.114,"asv"
"143",48,"marine_mud",-0.211092159068088,0,0.828,"asv"
"144",48,"terrestrial",0.161954412102097,0,0.231,"asv"
"145",49,"freshwater",0.0761081524047506,0,0.389,"asv"
"146",49,"marine_mud",-0.214713078624357,0,0.808,"asv"
"147",49,"terrestrial",0.162195721036791,0,0.242,"asv"
"148",50,"freshwater",0.356239460754905,0,0.04,"asv"
"149",50,"marine_mud",-0.0432843616868524,0,0.593,"asv"
"150",50,"terrestrial",0.112014211370475,0,0.306,"asv"
"151",51,"freshwater",0.235511758550654,0,0.118,"asv"
"152",51,"marine_mud",-0.335408417031495,0,0.904,"asv"
"153",51,"terrestrial",0.246945332414604,0,0.134,"asv"
"154",52,"freshwater",0.350421074539231,0,0.049,"asv"
"155",52,"marine_mud",-0.459014886272083,0,0.959,"asv"
"156",52,"terrestrial",-0.00292563161872332,0,0.529,"asv"
"157",53,"freshwater",0.219296018021975,0,0.154,"asv"
"158",53,"marine_mud",-0.0873810067789212,0,0.664,"asv"
"159",53,"terrestrial",0.245623424014311,0,0.128,"asv"
"160",54,"freshwater",0.309459659466965,0,0.069,"asv"
"161",54,"marine_mud",-0.272282832728749,0,0.873,"asv"
"162",54,"terrestrial",0.155065961226108,0,0.256,"asv"
"163",55,"freshwater",0.239187691369887,0,0.137,"asv"
"164",55,"marine_mud",-0.332720582857228,0,0.913,"asv"
"165",55,"terrestrial",0.18886664460124,0,0.186,"asv"
"166",56,"freshwater",0.1609265550427,0,0.23,"asv"
"167",56,"marine_mud",-0.421481766420153,0,0.946,"asv"
"168",56,"terrestrial",0.132000858162041,0,0.306,"asv"
"169",57,"freshwater",0.367701162730702,0,0.033,"asv"
"170",57,"marine_mud",-0.27340123381811,0,0.863,"asv"
"171",57,"terrestrial",-0.112896183948295,0,0.71,"asv"
"172",58,"freshwater",0.116541303164364,0,0.316,"asv"
"173",58,"marine_mud",-0.258082879373465,0,0.859,"asv"
"174",58,"terrestrial",0.342839007369941,0,0.06,"asv"
"175",59,"freshwater",0.278429485620413,0,0.086,"asv"
"176",59,"marine_mud",-0.382758297906639,0,0.931,"asv"
"177",59,"terrestrial",0.199229404803706,0,0.172,"asv"
"178",60,"freshwater",0.330143390766032,0,0.056,"asv"
"179",60,"marine_mud",-0.259268641437841,0,0.879,"asv"
"180",60,"terrestrial",0.239645717931464,0,0.123,"asv"
"181",61,"freshwater",0.28218885064236,0,0.092,"asv"
"182",61,"marine_mud",-0.36782355759679,0,0.934,"asv"
"183",61,"terrestrial",0.0402014966240748,0,0.43,"asv"
"184",62,"freshwater",0.347174435823889,0,0.036,"asv"
"185",62,"marine_mud",-0.456661239540043,0,0.958,"asv"
"186",62,"terrestrial",0.212089993798,0,0.168,"asv"
"187",63,"freshwater",0.443775139459535,0,0.011,"asv"
"188",63,"marine_mud",-0.16370417312377,0,0.759,"asv"
"189",63,"terrestrial",0.256724684447116,0,0.115,"asv"
"190",64,"freshwater",0.451102937781385,0,0.009,"asv"
"191",64,"marine_mud",-0.357148877767741,0,0.92,"asv"
"192",64,"terrestrial",0.198210281355959,0,0.179,"asv"
"193",65,"freshwater",0.394101375191242,0,0.024,"asv"
"194",65,"marine_mud",-0.269574550086156,0,0.864,"asv"
"195",65,"terrestrial",0.219704954252257,0,0.163,"asv"
"196",66,"freshwater",0.246852322978785,0,0.116,"asv"
"197",66,"marine_mud",-0.383643862608612,0,0.937,"asv"
"198",66,"terrestrial",0.259244964838122,0,0.114,"asv"
"199",67,"freshwater",0.285465237829059,0,0.078,"asv"
"200",67,"marine_mud",-0.238955503873523,0,0.857,"asv"
"201",67,"terrestrial",0.165553034035839,0,0.208,"asv"
"202",68,"freshwater",0.268595278216088,0,0.115,"asv"
"203",68,"marine_mud",-0.271377652253776,0,0.846,"asv"
"204",68,"terrestrial",0.228550629290605,0,0.157,"asv"
"205",69,"freshwater",0.405650637396587,0,0.019,"asv"
"206",69,"marine_mud",-0.124264056852915,0,0.719,"asv"
"207",69,"terrestrial",0.233674535045632,0,0.136,"asv"
"208",70,"freshwater",0.343809852638904,0,0.055,"asv"
"209",70,"marine_mud",-0.57787474754517,0,0.985,"asv"
"210",70,"terrestrial",0.143099393965505,0,0.267,"asv"
"211",71,"freshwater",0.438859742051888,0,0.007,"asv"
"212",71,"marine_mud",-0.0820222377657014,0,0.674,"asv"
"213",71,"terrestrial",0.219241126152268,0,0.159,"asv"
"214",72,"freshwater",0.430649299575429,0,0.015,"asv"
"215",72,"marine_mud",-0.204883950815155,0,0.811,"asv"
"216",72,"terrestrial",0.237326391398728,0,0.131,"asv"
"217",73,"freshwater",0.32627623003937,0,0.05,"asv"
"218",73,"marine_mud",-0.431662803252448,0,0.96,"asv"
"219",73,"terrestrial",0.247545187582125,0,0.126,"asv"
"220",74,"freshwater",0.280107140176482,0,0.099,"asv"
"221",74,"marine_mud",-0.147199149325895,0,0.77,"asv"
"222",74,"terrestrial",0.133589595910106,0,0.275,"asv"
"223",75,"freshwater",0.243867370026447,0,0.141,"asv"
"224",75,"marine_mud",-0.48801507334705,0,0.959,"asv"
"225",75,"terrestrial",0.113279138999201,0,0.329,"asv"
"226",76,"freshwater",0.311734868272947,0,0.083,"asv"
"227",76,"marine_mud",-0.355454421402457,0,0.906,"asv"
"228",76,"terrestrial",0.278302096632451,0,0.106,"asv"
"229",77,"freshwater",0.312723421175916,0,0.065,"asv"
"230",77,"marine_mud",-0.345857697424891,0,0.915,"asv"
"231",77,"terrestrial",0.188204135532267,0,0.188,"asv"
"232",78,"freshwater",0.402375724352343,0,0.018,"asv"
"233",78,"marine_mud",-0.355103975910522,0,0.9,"asv"
"234",78,"terrestrial",0.236152037623403,0,0.116,"asv"
"235",79,"freshwater",0.548739587009598,0,0,"asv"
"236",79,"marine_mud",-0.311890747552232,0,0.895,"asv"
"237",79,"terrestrial",0.138586004862717,0,0.259,"asv"
"238",80,"freshwater",0.38161975329768,0,0.022,"asv"
"239",80,"marine_mud",-0.386348443836339,0,0.915,"asv"
"240",80,"terrestrial",0.305582978507423,0,0.078,"asv"
"241",81,"freshwater",0.365073373857173,0,0.022,"asv"
"242",81,"marine_mud",-0.0846011132334263,0,0.656,"asv"
"243",81,"terrestrial",0.134201466366211,0,0.284,"asv"
"244",82,"freshwater",0.380400620040761,0,0.026,"asv"
"245",82,"marine_mud",-0.120637778854487,0,0.731,"asv"
"246",82,"terrestrial",0.249894006794668,0,0.109,"asv"
"247",83,"freshwater",0.261757344633561,0,0.114,"asv"
"248",83,"marine_mud",-0.175325787918961,0,0.783,"asv"
"249",83,"terrestrial",0.221373724618545,0,0.134,"asv"
"250",84,"freshwater",0.265409029385287,0,0.094,"asv"
"251",84,"marine_mud",-0.2855912797568,0,0.882,"asv"
"252",84,"terrestrial",0.200140316290892,0,0.174,"asv"
"253",85,"freshwater",0.458121746732701,0,0.005,"asv"
"254",85,"marine_mud",-0.320684136483762,0,0.892,"asv"
"255",85,"terrestrial",0.244076379585645,0,0.116,"asv"
"256",86,"freshwater",0.538586744568102,0,0.002,"asv"
"257",86,"marine_mud",-0.359856235042615,0,0.918,"asv"
"258",86,"terrestrial",0.210940677349241,0,0.178,"asv"
"259",87,"freshwater",0.140595655633504,0,0.249,"asv"
"260",87,"marine_mud",-0.174670926315133,0,0.776,"asv"
"261",87,"terrestrial",0.171017043489492,0,0.207,"asv"
"262",88,"freshwater",0.327299201740343,0,0.061,"asv"
"263",88,"marine_mud",-0.175541808533539,0,0.791,"asv"
"264",88,"terrestrial",0.136756877590747,0,0.263,"asv"
"265",89,"freshwater",0.34077540808465,0,0.04,"asv"
"266",89,"marine_mud",-0.333378404325342,0,0.918,"asv"
"267",89,"terrestrial",0.217514411947117,0,0.16,"asv"
"268",90,"freshwater",0.316969163958155,0,0.045,"asv"
"269",90,"marine_mud",-0.059046709454589,0,0.616,"asv"
"270",90,"terrestrial",0.298046494871637,0,0.066,"asv"
"271",91,"freshwater",0.336199779957663,0,0.05,"asv"
"272",91,"marine_mud",-0.440140469823406,0,0.946,"asv"
"273",91,"terrestrial",0.0189689043894258,0,0.498,"asv"
"274",92,"freshwater",0.262773968599501,0,0.091,"asv"
"275",92,"marine_mud",-0.127759003227617,0,0.721,"asv"
"276",92,"terrestrial",0.222267284268594,0,0.124,"asv"
"277",93,"freshwater",0.401362702143098,0,0.028,"asv"
"278",93,"marine_mud",0.0201744905816911,0,0.516,"asv"
"279",93,"terrestrial",0.344858859782927,0,0.048,"asv"
"280",94,"freshwater",0.284923053746265,0,0.096,"asv"
"281",94,"marine_mud",-0.470197843661646,0,0.959,"asv"
"282",94,"terrestrial",-0.0379170676228802,0,0.555,"asv"
"283",95,"freshwater",0.190077570277894,0,0.161,"asv"
"284",95,"marine_mud",-0.334810190224431,0,0.91,"asv"
"285",95,"terrestrial",0.087049157406655,0,0.342,"asv"
"286",96,"freshwater",0.250468341640055,0,0.108,"asv"
"287",96,"marine_mud",-0.245962633540546,0,0.845,"asv"
"288",96,"terrestrial",0.147372121180732,0,0.256,"asv"
"289",97,"freshwater",0.203254539842011,0,0.16,"asv"
"290",97,"marine_mud",-0.266306776693084,0,0.857,"asv"
"291",97,"terrestrial",0.308120509760889,0,0.077,"asv"
"292",98,"freshwater",0.503269120936516,0,0.004,"asv"
"293",98,"marine_mud",-0.302546165875371,0,0.896,"asv"
"294",98,"terrestrial",0.2090090466029,0,0.163,"asv"
"295",99,"freshwater",0.130908955067273,0,0.281,"asv"
"296",99,"marine_mud",-0.442047493126305,0,0.956,"asv"
"297",99,"terrestrial",0.0593179240651397,0,0.391,"asv"
"298",100,"freshwater",0.271746321901446,0,0.097,"asv"
"299",100,"marine_mud",-0.289032836078114,0,0.883,"asv"
"300",100,"terrestrial",0.269032979912586,0,0.089,"asv"
