"","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1","freshwater",0.37035427875669,0,0.018,"91"
"2","marine_mud",0.0382223249284713,0,0.437,"91"
"3","terrestrial",0.285070303079752,0,0.067,"91"
