"","boot_num","habitat_preference","estimated_d","prob_random","prob_brownian","similarity"
"1",1,"freshwater",0.211418846707035,0,0.153,99
"2",1,"marine_mud",-0.259819861575507,0,0.864,99
"3",1,"terrestrial",0.318408003962106,0,0.058,99
"4",2,"freshwater",0.1654024665692,0,0.212,99
"5",2,"marine_mud",-0.19245876320591,0,0.795,99
"6",2,"terrestrial",0.11868621086763,0,0.322,99
"7",3,"freshwater",0.285549773590098,0,0.078,99
"8",3,"marine_mud",-0.154664667263937,0,0.754,99
"9",3,"terrestrial",0.244518372312248,0,0.124,99
"10",4,"freshwater",0.310667915322192,0,0.057,99
"11",4,"marine_mud",-0.0510733807448189,0,0.6,99
"12",4,"terrestrial",0.25493792435351,0,0.094,99
"13",5,"freshwater",0.346142334205766,0,0.039,99
"14",5,"marine_mud",-0.188652871831666,0,0.8,99
"15",5,"terrestrial",0.211635369407208,0,0.193,99
"16",6,"freshwater",0.480333233120087,0,0.009,99
"17",6,"marine_mud",-0.0292193002419509,0,0.577,99
"18",6,"terrestrial",0.36743655141759,0,0.037,99
"19",7,"freshwater",0.38951572241849,0,0.022,99
"20",7,"marine_mud",-0.217340059692794,0,0.824,99
"21",7,"terrestrial",0.177179081943522,0,0.198,99
"22",8,"freshwater",0.326457066927472,0,0.045,99
"23",8,"marine_mud",-0.171988744327326,0,0.783,99
"24",8,"terrestrial",0.116934957633617,0,0.301,99
"25",9,"freshwater",0.445096297900487,0,0.008,99
"26",9,"marine_mud",-0.0810308850911999,0,0.671,99
"27",9,"terrestrial",0.356304624370961,0,0.037,99
"28",10,"freshwater",0.282861861894938,0,0.08,99
"29",10,"marine_mud",0.0709711891332521,0,0.399,99
"30",10,"terrestrial",0.299523972477717,0,0.077,99
"31",11,"freshwater",0.356788340276501,0,0.033,99
"32",11,"marine_mud",-0.359716363379966,0,0.933,99
"33",11,"terrestrial",0.131696124572946,0,0.294,99
"34",12,"freshwater",0.457385424765467,0,0.007,99
"35",12,"marine_mud",-0.0238407450701348,0,0.584,99
"36",12,"terrestrial",0.253466126042335,0,0.101,99
"37",13,"freshwater",0.391683402167366,0,0.026,99
"38",13,"marine_mud",-0.232884337912974,0,0.845,99
"39",13,"terrestrial",0.252865519505979,0,0.106,99
"40",14,"freshwater",0.327015629205156,0,0.049,99
"41",14,"marine_mud",-0.206664449756628,0,0.823,99
"42",14,"terrestrial",0.256598717757472,0,0.101,99
"43",15,"freshwater",0.371177458207341,0,0.029,99
"44",15,"marine_mud",-0.0428686406465751,0,0.603,99
"45",15,"terrestrial",0.329621998569219,0,0.054,99
"46",16,"freshwater",0.363975164365391,0,0.031,99
"47",16,"marine_mud",-0.0309767164498715,0,0.58,99
"48",16,"terrestrial",0.401590997249131,0,0.023,99
"49",17,"freshwater",0.413628110534023,0,0.025,99
"50",17,"marine_mud",-0.0548469924497523,0,0.614,99
"51",17,"terrestrial",0.284696377683812,0,0.077,99
"52",18,"freshwater",0.578769573385215,0,0.001,99
"53",18,"marine_mud",-0.0039519579402507,0,0.533,99
"54",18,"terrestrial",0.309784788117746,0,0.055,99
"55",19,"freshwater",0.523359738559757,0,0.005,99
"56",19,"marine_mud",-0.187973783138793,0,0.816,99
"57",19,"terrestrial",0.292539283537967,0,0.066,99
"58",20,"freshwater",0.251685957788643,0,0.12,99
"59",20,"marine_mud",-0.397335646108061,0,0.95,99
"60",20,"terrestrial",0.0438997495940257,0,0.421,99
"61",21,"freshwater",0.401371019486918,0,0.015,99
"62",21,"marine_mud",-0.242638739017497,0,0.859,99
"63",21,"terrestrial",0.125128323108434,0,0.286,99
"64",22,"freshwater",0.501190018355753,0,0.002,99
"65",22,"marine_mud",-0.223763425768783,0,0.842,99
"66",22,"terrestrial",0.323037354032818,0,0.056,99
"67",23,"freshwater",0.360275313855019,0,0.027,99
"68",23,"marine_mud",-0.239332852400064,0,0.853,99
"69",23,"terrestrial",0.297304087081213,0,0.063,99
"70",24,"freshwater",0.303124215273922,0,0.063,99
"71",24,"marine_mud",-0.200233204761064,0,0.813,99
"72",24,"terrestrial",0.297050745426506,0,0.076,99
"73",25,"freshwater",0.244758358207318,0,0.12,99
"74",25,"marine_mud",-0.318973427231927,0,0.902,99
"75",25,"terrestrial",0.190257512463836,0,0.187,99
"76",26,"freshwater",0.290490796745266,0,0.086,99
"77",26,"marine_mud",-0.179211368110106,0,0.788,99
"78",26,"terrestrial",0.460271970358035,0,0.006,99
"79",27,"freshwater",0.347961703706053,0,0.045,99
"80",27,"marine_mud",-0.232739038808243,0,0.822,99
"81",27,"terrestrial",0.315243074383394,0,0.06,99
"82",28,"freshwater",0.42333538358232,0,0.022,99
"83",28,"marine_mud",-0.147431019476968,0,0.734,99
"84",28,"terrestrial",0.121057803812428,0,0.301,99
"85",29,"freshwater",0.404258890541128,0,0.023,99
"86",29,"marine_mud",-0.148956568313437,0,0.754,99
"87",29,"terrestrial",0.118939138286747,0,0.294,99
"88",30,"freshwater",0.495540528991298,0,0.003,99
"89",30,"marine_mud",-0.189444114082061,0,0.794,99
