generation,N_shifts,logPrior,logLik,eventRate,acceptRate
11500000,27,-337.239,2516.65,29.5996,0.562
11520000,27,-329.775,2508.44,27.3654,0.5834
11540000,24,-293.164,2508.63,28.3637,0.569
11560000,20,-258.443,2497.3,15.6107,0.558
11580000,26,-311.368,2503.61,23.5359,0.568
11600000,28,-321.715,2498.81,28.2938,0.567
11620000,34,-393.558,2505.46,23.2448,0.607
11640000,24,-288.665,2481.13,25.4897,0.562895
11660000,23,-283.624,2497.67,20.187,0.575
11680000,30,-349.834,2506.7,21.6723,0.578
11700000,26,-323.319,2520.08,19.1231,0.567
11720000,30,-358.017,2522.23,30.0326,0.55
11740000,29,-353.942,2516.32,31.3551,0.584
11760000,27,-314.274,2506.63,28.194,0.578
11780000,29,-353.898,2533.33,29.6303,0.57
11800000,33,-379.253,2528.09,42.3558,0.566
11820000,25,-303.417,2514.29,23.359,0.562
11840000,31,-377.305,2534.8,30.9648,0.565
11860000,25,-294.861,2508.41,22.7106,0.537
11880000,28,-331.046,2518.03,32.0941,0.584
11900000,26,-315.252,2513.41,27.951,0.542
11920000,31,-385.079,2515.02,27.14,0.577
11940000,26,-320.098,2517.71,22.4935,0.58875
11960000,25,-299.147,2482.02,25.1227,0.585
11980000,30,-373.888,2528.78,27.582,0.605259
12000000,26,-310.342,2476.65,27.9113,0.602
12020000,30,-356.609,2527.37,31.6325,0.561
12040000,37,-430.493,2531.67,32.4809,0.603
12060000,35,-418.638,2538.11,45.7782,0.567
12080000,36,-426.519,2540.74,28.4868,0.594
12100000,43,-489.075,2530.44,39.9855,0.595818
12120000,30,-363.42,2505.08,35.2039,0.576
12140000,35,-405.891,2503.95,33.3354,0.60625
12160000,35,-412.136,2525.24,41.7814,0.562
12180000,32,-372.684,2514.13,35.7697,0.582
12200000,24,-292.902,2504.06,21.3098,0.552
12220000,22,-271.522,2505.73,32.0731,0.538
12240000,23,-276.45,2492.37,22.8689,0.545
12260000,22,-271.012,2486.11,20.9945,0.536
12280000,32,-385.446,2526.62,22.8424,0.592
12300000,27,-329.908,2528.1,27.7141,0.554
12320000,32,-400.203,2545.96,31.5395,0.57
12340000,28,-343.011,2534.33,28.142,0.561
12360000,24,-323.722,2535.99,25.6047,0.54
12380000,18,-232.643,2475.53,11.9923,0.549222
12400000,21,-262.284,2488.44,19.9291,0.555
12420000,32,-391.356,2522.17,41.5022,0.562
12440000,32,-404.332,2530.6,30.2419,0.56275
12460000,22,-277.045,2492.93,21.6864,0.549
12480000,35,-417.428,2484.33,53.8719,0.58
12500000,23,-277.67,2470.01,29.348,0.548
12520000,30,-362.751,2531.63,37.7431,0.592
