generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-16.3554,-12640.7,500,0
20000,0,-17.7093,2197.43,2.44357,0.294
40000,1,-26.3995,2260.52,1.93929,0.376
60000,3,-49.2131,2289.7,6.37055,0.407083
80000,2,-38.0428,2291.63,2.41476,0.40075
100000,4,-59.8722,2306.06,6.52139,0.44
120000,5,-70.9466,2323.92,11.097,0.435
140000,11,-131.217,2378.05,11.5521,0.525
160000,8,-103.449,2382.74,16.6111,0.471
180000,9,-119.184,2400.75,12.9985,0.478
200000,9,-112.811,2397.49,9.81099,0.456
220000,7,-97.4242,2413.02,4.26709,0.405
240000,11,-137.561,2443.93,11.6809,0.4385
260000,18,-210.256,2467.28,19.0553,0.494
280000,16,-187.266,2505.55,20.5315,0.479
300000,28,-328.774,2497.1,38.3698,0.546769
320000,15,-184.131,2452.47,8.58871,0.522
340000,17,-205.008,2484.72,13.8871,0.466
360000,17,-200.136,2477.83,20.1959,0.5302
380000,26,-296.069,2579.75,20.9909,0.506
400000,22,-253.997,2593.52,23.7503,0.507
420000,26,-299.97,2600.32,27.3287,0.49
440000,23,-272.489,2536.89,18.9115,0.503
460000,27,-302.584,2584.6,37.8282,0.536
480000,24,-287.655,2544.21,32.8564,0.512
500000,28,-336.374,2563.95,35.5731,0.487
520000,25,-292.094,2580.44,25.9808,0.502
540000,22,-260.119,2573.12,28.5759,0.468
560000,23,-280.955,2548.58,18.9976,0.461
580000,29,-338.406,2582.93,22.6554,0.5096
600000,35,-395.631,2652.04,30.6401,0.4895
620000,28,-338.01,2589.35,34.6118,0.515444
640000,35,-399.17,2586.77,33.7199,0.546
660000,36,-422.242,2628.26,33.0156,0.54
680000,37,-425.155,2633.96,27.06,0.556
700000,37,-432.626,2630.41,39.1443,0.539
720000,27,-329.546,2614.19,31.0779,0.487
740000,26,-315.128,2624.8,24.9299,0.46675
760000,27,-320.986,2589.45,28.8446,0.516
780000,33,-373.592,2637.02,40.5888,0.512
800000,29,-337.847,2613.04,30.8939,0.508667
820000,29,-334.756,2604.66,29.4149,0.483
840000,27,-322.284,2595.44,23.18,0.504
860000,26,-308.909,2596.92,22.2778,0.488
880000,27,-312.382,2616.7,25.1527,0.506
900000,25,-289.406,2596.58,23.5547,0.492
920000,39,-447.942,2626.31,43.1362,0.51075
940000,35,-403.967,2629.46,42.4936,0.5206
960000,27,-319.791,2622.87,32.0485,0.496
980000,34,-389.822,2605.28,27.0951,0.54
1000000,36,-410.532,2654.13,28.9115,0.513
1020000,39,-453.33,2672.88,35.9658,0.52275
1040000,37,-445.32,2629.1,42.2318,0.54
1060000,30,-348.942,2652.78,34.4141,0.481
1080000,38,-429.422,2640.52,35.6166,0.546
1100000,33,-375.991,2631.04,31.1541,0.528
1120000,33,-392.728,2627.98,34.5805,0.512
1140000,39,-443.287,2616.21,44.2934,0.538211
1160000,43,-479.28,2632.85,39.1221,0.591
1180000,30,-347.022,2646.7,38.8236,0.486
1200000,31,-358.259,2611.6,31.9149,0.515769
1220000,29,-357.006,2629.4,27.9056,0.519
1240000,31,-377.754,2644.85,35.2306,0.469
1260000,35,-413.355,2662.56,21.5628,0.506
1280000,28,-329.778,2632.64,36.4125,0.488
1300000,38,-444.875,2643.94,35.5193,0.541
1320000,37,-423.919,2637.66,50.7912,0.515429
1340000,34,-398.046,2641.82,28.7105,0.517833
1360000,42,-487.723,2641.38,42.1907,0.515
1380000,40,-450.909,2653.35,48.1611,0.5172
1400000,40,-448.899,2649.2,44.463,0.557
1420000,41,-465.161,2656.41,40.7943,0.538444
1440000,38,-438.679,2639.22,30.2654,0.5305
1460000,39,-459.495,2625.68,40.6476,0.557
1480000,40,-463.495,2630.28,33.2323,0.527
1500000,30,-346.858,2636.2,24.3894,0.508
1520000,39,-450.724,2643.75,41.1524,0.508
1540000,39,-447.441,2641.2,38.3089,0.5205
1560000,33,-369.465,2626.01,36.7991,0.523
1580000,41,-481.659,2627.64,50.41,0.543
1600000,37,-440.041,2621.79,35.2522,0.524158
1620000,34,-388.85,2649.64,55.9578,0.537
1640000,38,-438.539,2642.01,46.3133,0.523917
1660000,31,-354.749,2643.19,27.6788,0.5
1680000,39,-438.139,2646.61,44.9602,0.552
1700000,32,-357.386,2627.71,35.7518,0.522
1720000,32,-356.909,2634.23,41.4999,0.523
1740000,40,-455.792,2629.41,42.2229,0.536
1760000,32,-365.163,2638.41,32.1122,0.505
1780000,28,-324.455,2630.96,21.0338,0.491
1800000,31,-351.056,2629.29,33.4568,0.540067
1820000,34,-396.041,2625.73,36.3426,0.5324
1840000,33,-375.179,2636.14,32.9284,0.525
1860000,32,-365.501,2629.53,33.0784,0.492
1880000,33,-374.847,2645.45,42.8798,0.518768
1900000,41,-468.378,2645.57,29.1311,0.52005
1920000,31,-355.689,2610.78,25.6611,0.506
1940000,32,-373.946,2645.98,32.4768,0.49575
1960000,34,-388.841,2606.27,27.6067,0.521
1980000,36,-413.805,2651.86,34.0493,0.521
2000000,30,-343.543,2620.32,46.1837,0.51175
2020000,23,-267.675,2606.66,16.9027,0.503
2040000,35,-402.475,2614.48,35.2499,0.538
2060000,30,-343.819,2608.6,32.9755,0.529
2080000,38,-439.402,2641.11,48.7379,0.515
2100000,31,-352.543,2639.8,25.855,0.499
