generation,rank_1,rank_2,swapAccepted
354000,2,3,1
355000,2,3,0
356000,1,4,1
357000,1,2,1
358000,2,3,1
359000,1,2,1
360000,1,2,1
361000,1,3,0
362000,2,3,0
363000,3,4,1
364000,2,4,0
365000,3,4,0
366000,2,3,1
367000,1,2,0
368000,1,3,1
369000,1,4,0
370000,2,3,1
371000,1,4,0
372000,3,4,0
373000,2,3,1
374000,2,4,0
375000,1,2,1
376000,1,3,0
377000,2,4,0
378000,1,4,1
379000,2,3,1
380000,1,3,1
381000,2,4,1
382000,2,4,1
383000,2,4,1
384000,1,2,1
385000,1,4,1
386000,1,4,1
387000,2,4,1
388000,1,3,0
389000,2,4,0
390000,2,3,1
391000,1,4,0
392000,1,4,0
393000,2,4,0
394000,2,3,1
395000,2,4,0
396000,3,4,1
397000,1,4,0
398000,1,2,1
399000,3,4,1
400000,1,2,1
401000,3,4,1
402000,1,4,1
403000,2,4,1
404000,3,4,1
405000,3,4,0
406000,3,4,1
407000,1,3,0
408000,1,2,1
409000,1,2,1
410000,1,3,0
411000,1,4,0
412000,1,4,1
413000,2,4,1
414000,3,4,0
415000,1,3,1
416000,2,4,1
417000,1,2,0
418000,1,4,0
419000,1,3,1
420000,3,4,1
421000,2,3,1
422000,1,2,1
423000,1,2,1
424000,3,4,0
425000,1,2,1
426000,1,4,1
427000,2,4,1
428000,1,3,1
429000,1,3,1
430000,2,3,1
431000,2,4,1
432000,1,2,0
433000,1,4,0
434000,1,3,1
435000,1,3,1
436000,1,4,0
437000,1,4,0
438000,3,4,1
439000,1,3,1
440000,2,3,1
441000,1,2,1
442000,1,3,0
443000,3,4,1
444000,1,4,0
445000,2,3,1
446000,3,4,0
447000,1,3,1
448000,2,3,1
449000,1,2,1
450000,2,4,1
451000,3,4,1
452000,2,3,1
453000,1,2,1
454000,3,4,1
455000,1,4,1
456000,2,3,1
457000,1,4,1
458000,2,3,1
459000,1,4,1
460000,1,2,1
461000,1,4,1
462000,3,4,1
463000,1,3,1
464000,3,4,1
465000,3,4,0
466000,2,3,1
467000,3,4,0
468000,3,4,1
469000,3,4,1
470000,3,4,1
471000,1,4,0
472000,1,2,1
473000,1,4,0
474000,1,2,0
475000,3,4,1
476000,1,3,1
477000,2,3,1
478000,2,4,0
479000,3,4,0
480000,1,2,1
481000,1,4,0
482000,1,4,0
483000,1,3,1
484000,2,3,0
485000,3,4,0
486000,1,2,1
487000,1,3,0
488000,2,4,0
489000,2,3,1
490000,1,3,1
491000,1,3,1
492000,2,3,1
493000,1,4,0
494000,1,3,1
495000,1,2,1
496000,3,4,0
497000,3,4,0
498000,1,4,0
499000,2,4,0
500000,2,3,1
501000,3,4,1
502000,2,4,0
503000,1,2,1
504000,1,2,1
505000,2,3,1
506000,1,2,1
507000,1,4,1
508000,3,4,1
509000,1,3,1
510000,3,4,1
511000,1,4,1
512000,1,3,0
513000,1,2,1
514000,1,4,0
515000,1,4,0
516000,3,4,1
517000,1,3,0
518000,3,4,1
519000,1,2,0
520000,1,2,0
521000,2,3,1
522000,2,3,1
523000,1,4,0
524000,2,3,1
525000,3,4,1
526000,1,4,0
527000,1,4,0
528000,2,4,0
529000,2,3,0
530000,1,4,0
531000,2,3,0
532000,2,3,1
533000,1,2,1
534000,1,3,1
535000,1,4,1
536000,1,4,1
537000,2,3,1
538000,1,2,0
539000,1,2,0
540000,2,3,1
541000,2,4,0
542000,3,4,0
543000,2,3,0
544000,1,2,1
545000,1,3,0
546000,2,4,0
547000,3,4,1
548000,1,2,1
549000,1,2,1
550000,1,2,1
551000,1,4,1
552000,1,4,1
553000,3,4,1
554000,3,4,0
555000,1,4,0
556000,3,4,1
557000,1,2,1
558000,1,3,0
559000,1,4,1
560000,3,4,1
561000,2,3,1
562000,2,3,1
563000,1,3,1
564000,1,2,1
565000,1,2,1
566000,1,3,0
567000,2,3,0
568000,2,4,0
569000,1,2,1
570000,1,3,0
571000,2,4,1
572000,1,4,0
573000,2,3,1
574000,3,4,1
575000,2,4,1
576000,3,4,1
577000,1,3,1
578000,3,4,0
579000,2,4,1
580000,1,3,1
581000,1,4,1
582000,2,3,1
583000,2,3,1
584000,2,4,1
585000,3,4,1
586000,1,2,1
587000,2,4,1
588000,2,3,0
589000,1,3,0
590000,2,3,1
591000,3,4,1
592000,2,3,1
593000,1,4,1
594000,3,4,1
595000,2,4,1
596000,2,3,1
597000,1,3,1
598000,1,4,0
599000,1,2,1
600000,1,4,0
601000,1,2,1
602000,1,3,1
603000,1,2,1
604000,1,4,0
605000,3,4,0
606000,2,4,0
607000,1,4,0
608000,2,3,0
609000,3,4,0
610000,2,4,0
611000,1,3,0
612000,2,3,1
613000,2,3,1
614000,1,2,1
615000,3,4,0
616000,3,4,1
617000,2,3,0
618000,1,3,0
619000,1,3,0
620000,1,3,1
621000,1,3,1
622000,3,4,1
623000,2,3,1
624000,1,4,0
625000,3,4,0
626000,2,4,1
627000,1,3,1
628000,3,4,1
629000,1,4,0
630000,1,4,1
631000,2,3,1
632000,3,4,1
633000,1,4,0
634000,3,4,1
635000,3,4,1
636000,2,4,1
637000,1,2,0
638000,2,3,1
639000,3,4,0
640000,1,4,0
641000,3,4,0
642000,3,4,1
643000,2,4,1
644000,3,4,1
645000,1,4,1
646000,2,4,1
647000,2,3,1
648000,2,3,1
649000,1,3,1
650000,3,4,1
651000,1,2,1
652000,3,4,1
653000,1,2,1
654000,2,3,1
655000,1,4,0
656000,2,3,1
657000,1,3,0
658000,2,4,0
659000,1,2,0
660000,2,3,1
661000,3,4,1
662000,1,3,0
663000,1,4,1
664000,2,3,1
665000,2,3,1
666000,2,4,1
667000,1,2,1
668000,1,2,1
669000,3,4,1
670000,1,3,1
671000,1,4,0
672000,1,4,0
673000,1,4,0
674000,1,3,1
675000,1,2,1
676000,2,4,0
677000,2,3,1
678000,1,4,0
679000,3,4,0
680000,3,4,1
681000,3,4,1
682000,2,4,0
683000,1,2,1
684000,1,3,1
685000,1,3,1
686000,2,3,1
687000,1,2,1
688000,1,3,1
689000,1,4,1
690000,1,3,1
691000,2,3,1
692000,2,3,1
693000,3,4,1
694000,2,3,1
695000,2,4,1
696000,1,2,1
697000,3,4,1
698000,2,3,1
699000,2,4,1
700000,1,3,1
701000,3,4,1
702000,2,3,0
703000,1,2,1
704000,2,4,0
705000,2,3,0
706000,1,3,0
707000,1,4,1
708000,2,4,1
709000,1,3,1
710000,1,4,1
711000,3,4,1
712000,2,4,0
713000,2,4,0
714000,1,2,1
715000,3,4,1
716000,3,4,1
717000,2,3,1
718000,2,4,0
719000,2,3,1
720000,2,3,1
721000,3,4,0
722000,1,3,1
723000,1,2,1
724000,1,4,0
725000,1,4,0
726000,1,4,0
727000,3,4,0
728000,1,3,1
729000,1,4,1
730000,2,3,1
731000,1,4,1
732000,3,4,1
733000,1,2,1
734000,1,4,0
735000,1,4,0
736000,3,4,0
737000,1,3,0
738000,1,2,0
739000,2,4,1
740000,1,3,0
741000,2,4,1
742000,1,4,0
743000,1,2,1
744000,1,2,1
745000,1,3,0
746000,2,3,0
747000,1,2,1
748000,1,4,0
749000,1,4,0
750000,2,3,1
751000,1,2,1
752000,2,3,1
753000,1,2,1
754000,1,3,0
755000,1,3,0
756000,3,4,0
757000,2,3,1
758000,2,3,1
759000,2,4,0
760000,3,4,0
761000,1,2,0
762000,1,4,0
763000,2,3,1
764000,1,4,0
765000,2,3,1
766000,2,3,1
767000,1,4,0
768000,1,4,0
769000,1,2,0
770000,2,3,1
771000,1,3,1
772000,1,3,0
773000,1,3,0
774000,2,4,0
775000,2,4,1
776000,3,4,1
777000,3,4,1
