"tip_label","kingdom","phylum","class","family","genus","species","habitat_preference","num_present"
"otu_2232","Bacteria","Myxococcota","Polyangia","Haliangiaceae","JABFXX01","JABFXX01 sp013812655","freshwater:terrestrial",17
"otu_3949","Bacteria","Myxococcota","Polyangia","Haliangiaceae","JABFXX01","JABFXX01 sp013812655","freshwater:mud_and_shore",5
"otu_10491","Bacteria","Myxococcota",NA,NA,NA,NA,"terrestrial",5
"otu_6163","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:terrestrial",4
"otu_13129","Bacteria","Myxococcota",NA,NA,NA,NA,"freshwater:terrestrial",8
"otu_8057","Bacteria","Myxococcota","Bradymonadia","Bradymonadaceae","JACCWM01","JACCWM01 sp013697635","freshwater",4
"otu_9327","Bacteria","Myxococcota","Bradymonadia","Bradymonadaceae","Persicimonas","Persicimonas caeni","freshwater",7
"otu_9038","Bacteria","Myxococcota","Polyangia","SG8-38","JAADHO01","JAADHO01 sp009992505","freshwater:terrestrial",4
"otu_9067","Bacteria","Myxococcota","Polyangia","SG8-38","GCA-2699025","GCA-2699025 sp002699025","freshwater",5
"otu_5706","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"freshwater:mud_and_shore",4
"otu_13006","Bacteria","Myxococcota","Polyangia","SG8-38","JAADHO01","JAADHO01 sp009992505","freshwater:mud_and_shore",6
"otu_4806","Bacteria","Myxococcota","Polyangia","SG8-38","JAADHO01","JAADHO01 sp009992505","mud_and_shore",4
"otu_11691","Bacteria","Myxococcota","Polyangia","SG8-38","JAADHO01","JAADHO01 sp009992505","mud_and_shore",4
"otu_1843","Bacteria","Myxococcota","Polyangia","SG8-38","JAADHO01","JAADHO01 sp009992505","mud_and_shore",4
"otu_3595","Bacteria","Myxococcota","Polyangia","SG8-38","JAADHO01","JAADHO01 sp009992505","mud_and_shore",4
"otu_4219","Bacteria","Myxococcota","Polyangia","SG8-38","JAADHO01","JAADHO01 sp009992505","mud_and_shore",5
"otu_6121","Bacteria","Myxococcota","Polyangia","Haliangiaceae","JABFXX01","JABFXX01 sp013812655","mud_and_shore",5
"otu_3959","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","mud_and_shore",7
"otu_4352","Bacteria","Myxococcota","Polyangia","SG8-38","JAADHO01","JAADHO01 sp009992505","mud_and_shore",7
"otu_3658","Bacteria","Myxococcota","Polyangia","SG8-38","JAADHO01","JAADHO01 sp009992505","terrestrial",8
"otu_4173","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","mud_and_shore",7
"otu_9105","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","freshwater:mud_and_shore",4
"otu_112","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","mud_and_shore",12
"otu_2456","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","mud_and_shore",4
"otu_4158","Bacteria","Myxococcota",NA,NA,NA,NA,"mud_and_shore",4
"otu_2238","Bacteria","Myxococcota","UBA9042","PHBI01","PHBI01","PHBI01 sp006226565","mud_and_shore",6
"otu_5382","Bacteria","Myxococcota","UBA9042","PHBI01","PHBI01","PHBI01 sp006226565","mud_and_shore",5
"otu_2855","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","mud_and_shore",6
"otu_6768","Bacteria","Myxococcota","UBA9042","PHBI01","PHBI01","PHBI01 sp006226565","mud_and_shore",4
"otu_5579","Bacteria","Myxococcota","Polyangia","SG8-38","GCA-2699025","GCA-2699025 sp002699025","mud_and_shore",4
"otu_15969","Bacteria","Myxococcota","Bradymonadia","UBA1532","SHZC01","SHZC01 sp009692505","mud_and_shore",4
"otu_9114","Bacteria","Myxococcota","UBA9042","PHBI01","PHBI01","PHBI01 sp006226565","mud_and_shore",4
"otu_2211","Bacteria","Myxococcota","Bradymonadia","UBA1532","SHZC01","SHZC01 sp009692505","mud_and_shore",6
"otu_11799","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","mud_and_shore",5
"otu_9664","Bacteria","Myxococcota","Polyangia","SG8-38","JAADHO01","JAADHO01 sp009992505","freshwater",4
