"tip_label","kingdom","phylum","class","family","genus","species","habitat_preference","num_present"
"otu_8025","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",5
"otu_8247","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",10
"otu_19904","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:terrestrial",8
"otu_16137","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater",4
"otu_12855","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_3373","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",5
"otu_4612","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",8
"otu_17105","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",5
"otu_6558","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","R267","R267 sp013340205","freshwater:terrestrial",7
"otu_1617","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter sp000017505","freshwater",8
"otu_9389","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter sp000017505","freshwater",4
"otu_9086","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",9
"otu_3028","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",8
"otu_1510","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",14
"otu_10968","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_10890","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",4
"otu_6540","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:mud_and_shore",8
"otu_2590","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","freshwater:terrestrial",5
"otu_323","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",6
"otu_2141","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","freshwater:terrestrial",23
"otu_6478","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",4
"otu_1973","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",6
"otu_8833","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Labilithrix","Labilithrix sp001899635","terrestrial",15
"otu_8244","Bacteria","Myxococcota","Polyangia","Polyangiaceae",NA,NA,"freshwater",5
"otu_2593","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","freshwater:mud_and_shore",6
"otu_1009","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",11
"otu_2834","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",16
"otu_459","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",9
"otu_4570","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",5
"otu_2125","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",11
"otu_2220","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",20
"otu_9611","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",4
"otu_624","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",12
"otu_2563","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",14
"otu_8015","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","generalist",6
"otu_5248","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","mud_and_shore",4
"otu_6822","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",5
"otu_2626","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",4
"otu_14529","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","mud_and_shore",5
"otu_14948","Bacteria","Myxococcota",NA,NA,NA,NA,"freshwater",4
"otu_4273","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",9
"otu_121","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"terrestrial",7
"otu_315","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",24
"otu_1810","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",10
"otu_4369","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",7
"otu_10031","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",8
"otu_1532","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_1567","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","terrestrial",5
"otu_857","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","terrestrial",6
"otu_7308","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","Sandaracinus","Sandaracinus amylolyticus","mud_and_shore",5
"otu_20023","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",6
"otu_2181","Bacteria","Myxococcota","Polyangia","Nannocystaceae","Enhygromyxa","Enhygromyxa salina","freshwater:terrestrial",8
"otu_3613","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","terrestrial",4
"otu_9025","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater",4
"otu_6146","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","terrestrial",6
"otu_1625","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",7
"otu_2454","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",5
"otu_2417","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","terrestrial",11
"otu_4907","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","freshwater:terrestrial",6
"otu_7441","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",4
"otu_1073","Bacteria","Myxococcota","Polyangia","Haliangiaceae","UBA2376","UBA2376 sp900696455","mud_and_shore",4
"otu_6000","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","terrestrial",9
"otu_11716","Bacteria","Myxococcota","Myxococcia","Myxococcaceae","RPRB01","RPRB01 sp003818285","terrestrial",5
"otu_4004","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_8109","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","CAIOAK01","CAIOAK01 sp903874275","terrestrial",4
"otu_3410","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","freshwater",4
"otu_646","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",4
"otu_18105","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",4
"otu_5674","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",4
"otu_11486","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",4
"otu_1816","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",4
"otu_247","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",4
"otu_3319","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",6
"otu_5940","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater",4
"otu_3428","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",4
"otu_6879","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",7
"otu_10003","Bacteria","Myxococcota","Polyangia","SG8-38","GCA-2699025","GCA-2699025 sp002699025","freshwater:terrestrial",8
"otu_7241","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","terrestrial",7
"otu_2842","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","terrestrial",4
"otu_11391","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","freshwater:terrestrial",4
"otu_2412","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","terrestrial",9
"otu_2840","Bacteria","Myxococcota","Polyangia","Haliangiaceae","UBA2376","UBA2376 sp900696455","terrestrial",12
"otu_591","Bacteria","Myxococcota","Myxococcia","Myxococcaceae","Myxococcus","Myxococcus sp010894435","terrestrial",4
"otu_1162","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","freshwater:terrestrial",16
"otu_587","Bacteria","Myxococcota","Polyangia","Haliangiaceae","UBA2376","UBA2376 sp900696455","terrestrial",11
"otu_7637","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","terrestrial",4
"otu_13529","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium","Sorangium cellulosum","freshwater:terrestrial",7
"otu_1534","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",14
"otu_1241","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",13
"otu_11868","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","terrestrial",4
"otu_538","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",16
"otu_4755","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",8
"otu_8924","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",5
"otu_1546","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"freshwater:terrestrial",20
"otu_4865","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",7
"otu_1160","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",15
"otu_2168","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",14
"otu_9458","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",10
"otu_6913","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",9
"otu_245","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",6
"otu_4448","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","freshwater:terrestrial",4
"otu_9209","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",4
"otu_1208","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",5
"otu_559","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",8
"otu_2686","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_118","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",25
"otu_3376","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:mud_and_shore",6
"otu_331","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"freshwater:terrestrial",7
"otu_777","Bacteria","Myxococcota","Myxococcia","Myxococcaceae","Corallococcus","Corallococcus sp003611675","terrestrial",12
"otu_3222","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",12
"otu_301","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",11
"otu_7318","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",4
"otu_6003","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",5
"otu_3957","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",8
"otu_764","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",8
"otu_9655","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater",5
"otu_2369","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",8
"otu_2458","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","freshwater:terrestrial",13
"otu_7804","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_5675","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",14
"otu_10750","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",4
"otu_8687","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",6
"otu_4050","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",9
"otu_3642","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"terrestrial",15
"otu_1857","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",9
"otu_6748","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",7
"otu_1002","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",11
"otu_544","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"freshwater:terrestrial",12
"otu_7378","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",7
"otu_6522","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",7
"otu_199","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",7
"otu_4654","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","terrestrial",7
"otu_3163","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","freshwater:terrestrial",4
"otu_10352","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",4
"otu_3914","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","terrestrial",7
"otu_9412","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",4
"otu_1216","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",16
"otu_46","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",18
"otu_604","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",21
"otu_22343","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",7
"otu_4511","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",4
"otu_7236","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",4
"otu_3690","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_9733","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","mud_and_shore",6
"otu_16597","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_4580","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",4
"otu_2413","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",4
"otu_3586","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",4
"otu_751","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater:terrestrial",5
"otu_5014","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_21523","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_9241","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",4
"otu_19039","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",4
"otu_8873","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_6383","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",11
"otu_1004","Bacteria","Myxococcota","Polyangia","Haliangiaceae","JABFXX01","JABFXX01 sp013368795","freshwater",7
"otu_5072","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","mud_and_shore",5
"otu_6247","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",5
"otu_8076","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"terrestrial",8
"otu_14551","Bacteria","Myxococcota","Polyangia","Haliangiaceae","Haliangium","Haliangium ochraceum","terrestrial",4
"otu_10455","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","freshwater",4
"otu_1952","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","terrestrial",7
"otu_3192","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",4
"otu_6252","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",4
"otu_19477","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",4
"otu_6246","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",7
"otu_6070","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",11
"otu_1448","Bacteria","Myxococcota","Polyangia","Haliangiaceae","JABFXX01","JABFXX01 sp013368795","terrestrial",4
"otu_12561","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"terrestrial",5
"otu_18071","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Labilithrix","Labilithrix sp001899635","freshwater:terrestrial",4
"otu_3112","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",7
"otu_12841","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",15
"otu_6624","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",18
"otu_7677","Bacteria","Myxococcota","Polyangia","Haliangiaceae","UBA2376","UBA2376 sp900696455","freshwater:terrestrial",10
"otu_8802","Bacteria","Myxococcota","Polyangia","Haliangiaceae","UBA2376","UBA2376 sp900696455","freshwater:terrestrial",11
"otu_15154","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",4
"otu_7623","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",12
"otu_18811","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",7
"otu_6622","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",6
"otu_10303","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",11
"otu_21207","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",4
"otu_10183","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",6
"otu_10239","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",6
"otu_14056","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","freshwater:terrestrial",5
"otu_25139","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",6
"otu_15758","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",15
"otu_6981","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",7
"otu_7662","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",8
"otu_18538","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","freshwater:terrestrial",5
"otu_13060","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",4
"otu_4296","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",13
"otu_12239","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Polyangium","Polyangium fumosum","freshwater:terrestrial",4
"otu_4660","Bacteria","Myxococcota","Polyangia","Haliangiaceae","UBA2376","UBA2376 sp900696455","freshwater",6
"otu_3124","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Polyangium","Polyangium fumosum","freshwater",6
"otu_10772","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Polyangium","Polyangium fumosum","freshwater:terrestrial",7
"otu_9569","Bacteria","Myxococcota","Polyangia","J016","J016","J016 sp003696105","freshwater:terrestrial",9
"otu_4378","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","Sandaracinus","Sandaracinus amylolyticus","freshwater",5
"otu_5118","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","freshwater",7
"otu_3955","Bacteria","Myxococcota","Polyangia","Haliangiaceae","JABFXX01","JABFXX01 sp013368795","freshwater:mud_and_shore",7
"otu_17833","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Byssovorax","Byssovorax cruenta","freshwater",6
"otu_9556","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Polyangium","Polyangium fumosum","freshwater:terrestrial",8
"otu_4516","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"freshwater",5
"otu_4671","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",6
"otu_1068","Bacteria","Myxococcota","Polyangia",NA,NA,NA,"terrestrial",4
"otu_13311","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","R267","R267 sp013340205","freshwater",6
"otu_3731","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","terrestrial",4
"otu_15129","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","Sandaracinus","Sandaracinus amylolyticus","terrestrial",5
"otu_4823","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",4
"otu_14960","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","MED-G138","MED-G138 sp004213565","terrestrial",4
"otu_15948","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","Sandaracinus","Sandaracinus amylolyticus","freshwater:terrestrial",6
"otu_5484","Bacteria","Myxococcota","Polyangia","Sandaracinaceae","Sandaracinus","Sandaracinus amylolyticus","terrestrial",4
"otu_15170","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Minicystis","Minicystis rosea","terrestrial",4
"otu_10414","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",8
"otu_5196","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",8
"otu_9272","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","CAIOAK01","CAIOAK01 sp903904005","freshwater",4
"otu_9763","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","freshwater:terrestrial",4
"otu_6798","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","terrestrial",6
"otu_11605","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",5
"otu_8552","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater",4
"otu_10359","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater:terrestrial",4
"otu_974","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","CAIOAK01","CAIOAK01 sp903904005","freshwater",4
"otu_8373","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",4
"otu_6783","Bacteria","Myxococcota","Myxococcia","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter dehalogenans","freshwater",4
"otu_6466","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","freshwater",4
"otu_13279","Bacteria","Myxococcota","Polyangia","Haliangiaceae","SLNH01","SLNH01 sp007133195","freshwater",4
"otu_6872","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",5
"otu_1453","Bacteria","Myxococcota","Myxococcia","Vulgatibacteraceae","Vulgatibacter","Vulgatibacter incomptus","mud_and_shore",4
"otu_10568","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater",4
"otu_8201","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater",8
"otu_2888","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium",NA,"freshwater",4
"otu_4496","Bacteria","Myxococcota","Polyangia","Polyangiaceae","Sorangium",NA,"freshwater",5
"otu_3128","Bacteria","Myxococcota","Polyangia","Haliangiaceae",NA,NA,"freshwater",7
"otu_7288","Bacteria","Myxococcota","Polyangia","Haliangiaceae","WYBA01","WYBA01 sp011526095","freshwater",10
