"otu","habitat_preference","average_prop","average_abundance","habitats_present","num_present","habitat_preference_n"
"otu_1","marine_mud",0.196951610582124,29532.4761904762,3,16,1
"otu_10","freshwater:marine_mud",0.0136950325639049,2805.4880952381,3,18,2
"otu_1000","freshwater:marine_mud",0.00112115918001809,491,3,6,2
"otu_10003","freshwater:terrestrial",0.000294315684324653,44.1666666666667,2,8,2
"otu_10004","terrestrial",0.000400871494829042,32,1,4,1
"otu_1002","freshwater:terrestrial",0.000852293703256771,96.5,3,11,2
"otu_10028","freshwater",0.000455492080381463,55.5,1,4,1
"otu_10031","freshwater:terrestrial",0.000257650933847244,33.1333333333333,2,8,2
"otu_10032","freshwater:terrestrial",0.000308214633896058,41.0888888888889,3,9,2
"otu_10033","freshwater",0.000329579686234999,30.3333333333333,3,7,1
"otu_10037","freshwater",0.000296227767924419,52.8666666666667,3,7,1
"otu_1004","freshwater",0.00138558341155904,328.5,2,7,1
"otu_1005","freshwater:terrestrial",0.00293697035999485,225.166666666667,3,6,2
"otu_1006","freshwater:marine_mud",0.00347909789969747,341.5,2,5,2
"otu_10065","terrestrial",0.000730849926325766,58.4285714285714,1,7,1
"otu_10067","freshwater:terrestrial",0.000546940987624214,46.5,2,4,2
"otu_1009","freshwater:terrestrial",0.00168211102805843,133.285714285714,3,11,2
"otu_10093","freshwater:marine_mud",0.000398241528731998,38.1666666666667,3,5,2
"otu_10098","marine_mud",0.00131592653537527,60.75,2,6,1
"otu_101","freshwater:terrestrial",0.00668687859171971,1231.95238095238,3,12,2
"otu_10106","freshwater:terrestrial",0.000202128001703167,24.4,2,6,2
"otu_10108","freshwater:terrestrial",0.000281667970783313,55.6666666666667,2,4,2
"otu_10119","terrestrial",0.000446193233718727,65.5,1,6,1
"otu_10121","marine_mud",0.000248757479187383,43.5,2,4,1
"otu_1015","freshwater",0.00443145053127725,344.6,1,5,1
"otu_10151","freshwater",0.000161275300915467,31.25,1,4,1
"otu_10154","freshwater:terrestrial",0.000446353363594074,43.4444444444444,3,5,2
"otu_1016","marine_mud",0.00331407277356965,733.75,1,4,1
"otu_10161","terrestrial",0.00019746503600596,25.0238095238095,3,10,1
"otu_10163","terrestrial",0.000265057939898151,30.8,1,5,1
"otu_10167","freshwater",0.000361376068242745,43.75,2,5,1
"otu_1017","terrestrial",0.0077609897303553,702,1,4,1
"otu_10170","freshwater",0.000158108300495407,33.5,1,4,1
"otu_10174","freshwater:terrestrial",0.000190471844381804,19.8666666666667,3,7,2
"otu_10183","terrestrial",0.000313485932091298,49.5,1,6,1
"otu_1021","freshwater",0.0028700578268512,407.5,1,6,1
"otu_10217","freshwater",0.000242027401509173,30.625,2,5,1
"otu_10227","marine_mud",0.000295643387077074,34,1,7,1
"otu_10228","freshwater:terrestrial",0.000342062528062279,25.3333333333333,2,7,2
"otu_1023","terrestrial",0.004313568449977,392.666666666667,1,9,1
"otu_10239","terrestrial",0.000382008480223215,68.25,1,4,1
"otu_1024","terrestrial",0.00203378559678155,610.4,1,5,1
"otu_10241","terrestrial",0.00041140617170546,32.75,1,4,1
"otu_10247","freshwater",0.000384385419907899,48.5,1,4,1
"otu_10249","marine_mud",0.000505214321962144,41.25,1,4,1
"otu_1026","freshwater",0.00165761524636748,205.166666666667,3,18,1
"otu_10266","freshwater",0.00130785681618603,74.3333333333333,2,4,1
"otu_10268","freshwater:terrestrial",0.000224702682134272,25.2380952380952,3,12,2
"otu_1027","freshwater",0.00134731460265612,226.2,2,7,1
"otu_10273","freshwater:terrestrial",0.000603365357221201,27.0714285714286,2,8,2
"otu_10278","freshwater",0.000129149040350366,33.8333333333333,2,4,1
"otu_10280","freshwater",0.000195954978879261,33.5,2,4,1
"otu_10299","terrestrial",0.000328840234391578,69.2,1,5,1
"otu_103","freshwater",0.0109166700573271,1027.41666666667,2,8,1
"otu_10303","freshwater:terrestrial",0.000187755392419305,33.25,2,7,2
"otu_10304","freshwater:terrestrial",0.000291185133138217,31.7,2,6,2
"otu_1031","freshwater",0.00179462325796751,167.25,2,7,1
"otu_10310","marine_mud",0.000269955125067862,36,1,6,1
"otu_10314","terrestrial",0.000314537548094095,56,1,4,1
"otu_10332","freshwater",0.000314945943368338,47.25,1,4,1
"otu_10333","freshwater:terrestrial",0.000306686516855041,39,2,4,2
"otu_10337","freshwater",0.000158165982449869,18.55,2,7,1
"otu_1034","terrestrial",0.00218012302298697,165.2,1,10,1
"otu_10351","freshwater:terrestrial",0.000309344218217515,48.6666666666667,3,4,2
"otu_10352","terrestrial",0.00036005594461488,30.5,1,4,1
"otu_10354","terrestrial",0.000173429178909375,30.5,1,4,1
"otu_10357","terrestrial",0.000132789968831623,30.6,1,5,1
"otu_10358","terrestrial",0.000271210489037872,30.5,1,4,1
"otu_10359","freshwater:terrestrial",0.000259972155531304,51.5,2,4,2
"otu_10367","terrestrial",0.000269257760324816,28.1428571428571,1,7,1
"otu_10375","terrestrial",0.000570113349298356,61.4,2,6,1
"otu_1038","freshwater:terrestrial",0.000972950650234796,91.15,2,14,2
"otu_10388","freshwater",0.000316850246635832,29.3333333333333,3,4,1
"otu_1039","marine_mud",0.001514512762627,334.666666666667,2,4,1
