"X1","X2","R2","pval","pvalFDR"
"marine mud_full saline","rock_samphire",0.611490723416835,0.0065,0.0128863636363636
"marine mud_full saline","thrift_rhizosphere",0.642532891340021,0.0285714285714286,0.0375
"marine mud_full saline","woodland_oak",0.773545245963338,0.0045,0.01125
"marine mud_full saline","woodland_pine",0.773673137831585,0.0081,0.0128863636363636
"pasture","reservoir",0.64156679441119,0.0022,0.00954545454545454
"pasture","river",0.759757564103483,0.0024,0.00954545454545454
"pasture","rock_samphire",0.454690221307684,0.0019,0.00954545454545454
"pasture","thrift_rhizosphere",0.326835790502884,0.041,0.0483707865168539
"pasture","woodland_oak",0.233527139783227,0.0034,0.0102
"pasture","woodland_pine",0.436046837137947,0.0024,0.00954545454545454
"reservoir","river",0.194890499330121,0.0344,0.0435180722891566
"reservoir","rock_samphire",0.563748480371826,0.0079,0.0128863636363636
"reservoir","thrift_rhizosphere",0.537730235559232,0.0177,0.0241363636363636
"reservoir","woodland_oak",0.637415008906114,0.0015,0.00954545454545454
"reservoir","woodland_pine",0.692145257830574,0.0081,0.0128863636363636
"river","rock_samphire",0.645639155622089,0.0021,0.00954545454545454
"river","thrift_rhizosphere",0.640009906689198,0.0121,0.0176458333333333
"river","woodland_oak",0.739135049339031,0.0018,0.00954545454545454
"river","woodland_pine",0.795109426073751,0.0019,0.00954545454545454
"rock_samphire","thrift_rhizosphere",0.0757345987960734,0.9327,0.9327
"rock_samphire","woodland_oak",0.374716349668966,0.0023,0.00954545454545454
"rock_samphire","woodland_pine",0.425002908469935,0.007,0.0128863636363636
"thrift_rhizosphere","woodland_oak",0.277808566208518,0.0607,0.0657061855670103
"thrift_rhizosphere","woodland_pine",0.336622688304441,0.0688,0.072765
"woodland_oak","woodland_pine",0.277841327031505,0.0356,0.0445
