generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
29040000,otu_293_SG8-38,otu_11931_UBA4427,0,101.917,-4.17955,0.114677,0
29060000,otu_293_SG8-38,otu_11931_UBA4427,0,99.1147,-4.1724,0.0281337,0
29080000,otu_293_SG8-38,otu_11931_UBA4427,0,87.0711,-3.89427,0.011065,0
29100000,otu_293_SG8-38,otu_11931_UBA4427,0,98.2502,-4.07847,0.0146199,0
29120000,otu_293_SG8-38,otu_11931_UBA4427,0,88.974,-3.99473,0.0248334,0
29140000,otu_293_SG8-38,otu_11931_UBA4427,0,126.252,-4.41026,0.0504175,0
29160000,otu_293_SG8-38,otu_11931_UBA4427,0,102.334,-4.22054,0.0310863,0
29180000,otu_293_SG8-38,otu_11931_UBA4427,0,95.7236,-4.11085,0.000134198,0
29200000,otu_293_SG8-38,otu_11931_UBA4427,0,121.373,-4.40025,0.0248896,0
29220000,otu_293_SG8-38,otu_11931_UBA4427,0,127.491,-4.36549,0.00530441,0
29220000,otu_2904_Sandaracinaceae,NA,0.991807,54.7019,0.140731,21.8,0
29240000,otu_293_SG8-38,otu_11931_UBA4427,0,99.6534,-4.08368,0.0928033,0
29260000,otu_293_SG8-38,otu_11931_UBA4427,0,113.987,-4.30861,0.00401613,0
29280000,otu_293_SG8-38,otu_11931_UBA4427,0,114.447,-4.32634,0.0100874,0
29280000,otu_857_Haliangiaceae,NA,0.942775,17.566,-0.554985,70.1457,0
29300000,otu_293_SG8-38,otu_11931_UBA4427,0,95.9017,-4.08299,0.105827,0
29320000,otu_293_SG8-38,otu_11931_UBA4427,0,113.891,-4.28783,0.0474388,0
29340000,otu_293_SG8-38,otu_11931_UBA4427,0,110.379,-4.23074,0.139619,0
29360000,otu_293_SG8-38,otu_11931_UBA4427,0,112.165,-4.21731,0.0532298,0
29360000,otu_5129_Polyangiaceae,NA,0.960294,10.1512,1.84025,13.0733,0
29360000,otu_2593_Polyangiaceae,NA,0.773228,2.1993,-0.249577,19.4094,0
29380000,otu_293_SG8-38,otu_11931_UBA4427,0,108.217,-4.2273,0.0515898,0
29380000,otu_993_Polyangiaceae,NA,0.992387,77.2619,-0.592201,11.8098,0
29400000,otu_293_SG8-38,otu_11931_UBA4427,0,94.516,-4.10936,0.0178065,0
29400000,otu_2186,NA,0.988314,6.07789,-0.623809,42.8671,0
29420000,otu_293_SG8-38,otu_11931_UBA4427,0,121.844,-4.37455,0.0145939,0
29440000,otu_293_SG8-38,otu_11931_UBA4427,0,80.2922,-3.75463,0.0550566,0
29460000,otu_293_SG8-38,otu_11931_UBA4427,0,112.25,-4.23931,0.0543414,0
29480000,otu_293_SG8-38,otu_11931_UBA4427,0,119.114,-4.35121,0.0335683,0
29480000,otu_10358_Haliangiaceae,NA,0.659994,2.7047,0.14681,8.81606,0
29500000,otu_293_SG8-38,otu_11931_UBA4427,0,140.371,-4.62943,0.00313202,0
29500000,otu_11357_Haliangiaceae,NA,0.913453,33.0507,-0.357687,43.9761,0
29520000,otu_293_SG8-38,otu_11931_UBA4427,0,110.566,-4.23803,0.0125246,0
29540000,otu_293_SG8-38,otu_11931_UBA4427,0,98.6941,-4.14685,0.0268865,0
29540000,otu_1427_SG8-38,NA,0.984559,10.2979,-1.12905,4.77945,0
29560000,otu_293_SG8-38,otu_11931_UBA4427,0,102.781,-4.19031,0.0145073,0
29580000,otu_293_SG8-38,otu_11931_UBA4427,0,93.4931,-3.97523,0.00942388,0
29580000,otu_494_Vulgatibacteraceae,NA,0.954454,21.3496,-0.145411,36.5803,0
29600000,otu_293_SG8-38,otu_11931_UBA4427,0,104.558,-4.19485,0.00406848,0
29620000,otu_293_SG8-38,otu_11931_UBA4427,0,105.307,-4.11127,0.103752,0
29640000,otu_293_SG8-38,otu_11931_UBA4427,0,102.934,-4.15471,0.0611498,0
29660000,otu_293_SG8-38,otu_11931_UBA4427,0,120.829,-4.33029,0.0552387,0
29680000,otu_293_SG8-38,otu_11931_UBA4427,0,83.4795,-3.82038,0.0370216,0
29680000,otu_675_Anaeromyxobacteraceae,NA,0.908212,6.22366,-0.024436,24.9152,0
29700000,otu_293_SG8-38,otu_11931_UBA4427,0,106.775,-4.21269,0.000815408,0
29720000,otu_293_SG8-38,otu_11931_UBA4427,0,111.284,-4.2067,0.154208,0
29740000,otu_293_SG8-38,otu_11931_UBA4427,0,90.3669,-3.99279,0.179497,0
29740000,otu_391_Haliangiaceae,NA,0.992823,11.736,-0.633998,19.0195,0
29740000,otu_6188_Polyangiaceae,NA,0.803969,15.9829,-0.0811549,4.66803,0
29760000,otu_293_SG8-38,otu_11931_UBA4427,0,99.7901,-4.1797,0.0202871,0
29780000,otu_293_SG8-38,otu_11931_UBA4427,0,91.404,-3.99645,0.0011229,0
29800000,otu_293_SG8-38,otu_11931_UBA4427,0,130.393,-4.47716,0.0168078,0
29820000,otu_293_SG8-38,otu_11931_UBA4427,0,136.962,-4.50156,0.0955919,0
29840000,otu_293_SG8-38,otu_11931_UBA4427,0,124.662,-4.3952,0.00771951,0
29860000,otu_293_SG8-38,otu_11931_UBA4427,0,114.058,-4.29131,0.00826262,0
29880000,otu_293_SG8-38,otu_11931_UBA4427,0,110.41,-4.20452,0.0280616,0
29900000,otu_293_SG8-38,otu_11931_UBA4427,0,123.19,-4.38617,0.0438019,0
29900000,otu_2815_Polyangiaceae,NA,0.980815,0.327943,0.505301,49.754,0
29920000,otu_293_SG8-38,otu_11931_UBA4427,0,105.312,-4.08364,0.0797663,0
29940000,otu_293_SG8-38,otu_11931_UBA4427,0,90.7001,-4.00657,0.0162876,0
29960000,otu_293_SG8-38,otu_11931_UBA4427,0,127.385,-4.46289,0.0101556,0
29980000,otu_293_SG8-38,otu_11931_UBA4427,0,117.408,-4.34069,0.00808964,0
