generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2540000,0,-25.1644,595.185,0.0982024,0.398
2560000,1,-35.1225,594.729,1.58709,0.484
2580000,0,-23.9831,592.391,1.51424,0.594
2600000,0,-24.5329,594.966,0.233831,0.4447
2620000,3,-61.3087,593.787,4.02142,0.529556
2640000,1,-37.6525,593.879,2.11882,0.419
2660000,0,-23.3535,591.394,0.565325,0.385
2680000,0,-24.2251,592.517,0.158897,0.608
2700000,0,-24.8668,595.47,1.17402,0.456536
2720000,1,-37.6862,592.399,2.14735,0.5935
2740000,0,-24.1398,593.295,0.35614,0.586
2760000,0,-25.0434,593.069,1.17509,0.405667
2780000,0,-25.5798,594.041,2.08723,0.444333
2800000,1,-35.141,595.238,0.644312,0.5084
2820000,0,-24.7235,593.375,0.0671172,0.481
2840000,0,-25.7234,595.439,1.01484,0.4595
2860000,0,-23.765,592.982,0.8396,0.434
2880000,0,-23.2942,589.564,3.82939,0.494778
2900000,0,-25.3944,594.696,0.344692,0.473
2920000,0,-25.4891,594.378,1.09489,0.44145
2940000,0,-24.4742,594.069,0.0870561,0.441333
2960000,0,-24.9532,589.186,0.0246887,0.575333
2980000,2,-45.5791,597.815,1.62211,0.431
3000000,0,-25.1817,594.258,0.73922,0.4615
3020000,0,-23.612,591.607,1.29998,0.4354
3040000,1,-34.7027,594.539,2.65083,0.463
3060000,0,-25.2544,596.24,3.35812,0.503
3080000,0,-25.204,594.658,1.58256,0.413
3100000,0,-25.231,594.98,0.352435,0.48
3120000,0,-23.0224,591.049,2.03236,0.506957
3140000,0,-26.8849,593.437,2.16634,0.396
3160000,0,-26.9413,595.335,0.612934,0.481
3180000,0,-25.2093,593.708,0.84217,0.427
3200000,0,-25.8907,595.291,0.253861,0.4678
3220000,1,-36.8123,595.717,2.00329,0.442875
3240000,0,-24.9717,592.992,1.06692,0.417222
3260000,0,-25.1432,594.294,0.517561,0.418
3280000,0,-24.7564,593.597,0.677726,0.473944
3300000,0,-25.2715,595.164,0.864246,0.473
3320000,1,-37.6955,593.3,3.53683,0.4795
3340000,1,-34.8438,594.733,0.570423,0.475074
3360000,1,-36.0434,591.757,0.129664,0.476833
3380000,1,-33.9642,597.778,2.38462,0.492583
3400000,1,-36.9106,593.723,4.46801,0.4328
3420000,0,-24.0781,593.138,0.144899,0.458
3440000,0,-26.1012,595.89,0.751911,0.422333
3460000,0,-27.226,594.387,1.06198,0.46575
3480000,0,-25.23,595.114,0.103821,0.412
3500000,0,-24.5158,590.298,0.336746,0.417
3520000,0,-25.3971,595.192,0.303417,0.413
3540000,0,-25.5372,595.442,0.760835,0.449
3560000,0,-25.3119,595.903,0.808117,0.497
3580000,0,-24.6939,594.243,1.69946,0.395
3600000,0,-24.9236,595.197,0.790944,0.48
3620000,0,-25.4335,595.511,0.653524,0.495429
3640000,0,-25.6284,593.601,0.452006,0.46525
3660000,0,-24.4038,594.147,1.21744,0.403
3680000,1,-33.4865,591.782,1.74121,0.472
3700000,0,-24.2716,594.177,0.730446,0.425
3720000,0,-25.5569,595.324,0.3116,0.437333
3740000,0,-24.5721,593.351,3.01927,0.468
3760000,1,-34.7512,597.38,2.48475,0.55
3780000,0,-26.3891,593.609,0.18866,0.429
3800000,0,-25.6548,594.037,0.00564591,0.486333
3820000,1,-34.7137,598.379,0.801014,0.439
3840000,0,-25.4696,595.672,0.364676,0.468
3860000,0,-25.9415,595.758,1.96609,0.47075
3880000,0,-24.5544,593.405,1.02465,0.439
3900000,0,-24.7236,593.111,0.189594,0.403
3920000,0,-25.2626,596.226,0.129254,0.436875
3940000,0,-25.1083,594.724,0.211851,0.458444
3960000,1,-35.5449,595.188,2.65335,0.521
3980000,0,-25.6112,595.606,0.206506,0.403
4000000,0,-23.5854,591.153,0.0471136,0.479
4020000,0,-25.8075,593.896,0.777928,0.493
4040000,0,-24.7741,595.661,0.858696,0.387
4060000,0,-24.7514,592.828,0.799542,0.453
4080000,0,-25.4422,594.888,1.15871,0.418
4100000,0,-25.4398,594.461,1.48767,0.392
4120000,1,-35.4309,594.221,3.58449,0.47025
4140000,0,-27.1856,594.966,0.873238,0.394
4160000,0,-24.7035,593.732,0.475802,0.438545
4180000,0,-26.5906,594.439,0.914507,0.42
4200000,0,-23.7282,592.918,0.407003,0.4965
4220000,1,-40.102,597.878,2.07801,0.450909
4240000,0,-25.4705,593.136,4.13223,0.492
4260000,0,-24.8966,591.433,0.862277,0.427
4280000,0,-25.1351,593.292,2.72105,0.473
4300000,0,-25.8736,596.233,1.47317,0.607
4320000,0,-24.7438,588.636,0.183917,0.382
4340000,0,-26.2455,596.338,0.116237,0.482
4360000,0,-25.4598,593.787,2.11612,0.444
4380000,0,-25.2795,594.474,0.222519,0.513
4400000,0,-24.9517,595.392,0.910759,0.528333
4420000,0,-24.2685,594.574,1.16137,0.54875
4440000,0,-24.7136,595.05,0.528659,0.407
