generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1060000,otu_293_SG8-38,otu_11931_UBA4427,0,62.0175,-3.02335,0.0177067,0
1080000,otu_293_SG8-38,otu_11931_UBA4427,0,75.1459,-3.27592,0.0357394,0
1100000,otu_293_SG8-38,otu_11931_UBA4427,0,69.8321,-3.09407,0.0146993,0
1100000,otu_2113_Polyangiaceae,NA,0.943801,18.5253,-3.88496,47.2325,0
1120000,otu_293_SG8-38,otu_11931_UBA4427,0,71.2432,-3.13063,0.0283048,0
1120000,otu_1042_Haliangiaceae,NA,0.743524,12.3821,-1.61721,12.1126,0
1140000,otu_293_SG8-38,otu_11931_UBA4427,0,81.6582,-3.4037,0.0283034,0
1160000,otu_293_SG8-38,otu_11931_UBA4427,0,68.3463,-3.1263,0.0276718,0
1180000,otu_293_SG8-38,otu_11931_UBA4427,0,73.8329,-3.23693,0.00421989,0
1200000,otu_293_SG8-38,otu_11931_UBA4427,0,62.7207,-2.96067,0.150763,0
1220000,otu_293_SG8-38,otu_11931_UBA4427,0,61.6009,-2.97019,0.0222994,0
1220000,otu_4907_Sandaracinaceae,NA,0.886759,4.07966,-0.43081,11.2757,0
1240000,otu_293_SG8-38,otu_11931_UBA4427,0,83.6369,-3.3694,0.0745494,0
1260000,otu_293_SG8-38,otu_11931_UBA4427,0,61.947,-3.0596,0.0501311,0
1280000,otu_293_SG8-38,otu_11931_UBA4427,0,79.0631,-3.30513,0.0298435,0
1300000,otu_293_SG8-38,otu_11931_UBA4427,0,59.6412,-2.91084,0.0206385,0
1320000,otu_293_SG8-38,otu_11931_UBA4427,0,83.0882,-3.32172,0.0237499,0
1340000,otu_293_SG8-38,otu_11931_UBA4427,0,73.4233,-3.17853,0.0424946,0
1340000,otu_2699_Haliangiaceae,NA,0.979074,5.20416,0.84923,2.86665,0
1360000,otu_293_SG8-38,otu_11931_UBA4427,0,63.1453,-3.02377,0.00207353,0
1380000,otu_293_SG8-38,otu_11931_UBA4427,0,60.7842,-2.98793,0.109956,0
1400000,otu_293_SG8-38,otu_11931_UBA4427,0,67.2971,-3.13832,0.0109467,0
1420000,otu_293_SG8-38,otu_11931_UBA4427,0,72.3598,-3.1286,0.0916654,0
1420000,otu_4509_Haliangiaceae,NA,0.985863,19.8385,-1.15231,10.1745,0
1440000,otu_293_SG8-38,otu_11931_UBA4427,0,62.7786,-2.95671,0.105218,0
1460000,otu_293_SG8-38,otu_11931_UBA4427,0,71.5298,-3.08044,0.216553,0
1480000,otu_293_SG8-38,otu_11931_UBA4427,0,75.1849,-3.1966,0.109238,0
1500000,otu_293_SG8-38,otu_11931_UBA4427,0,67.1241,-3.09617,0.00825405,0
1500000,otu_5357_Haliangiaceae,NA,0.972304,24.2997,0.532581,47.8714,0
1500000,otu_2181_Nannocystaceae,NA,0.448946,3.74168,-1.39471,8.55784,0
1520000,otu_293_SG8-38,otu_11931_UBA4427,0,58.6977,-2.9616,0.0108258,0
1520000,otu_3597_UBA4427,NA,0.955261,73.1137,-1.73264,12.6805,0
1540000,otu_293_SG8-38,otu_11931_UBA4427,0,62.2421,-3.01089,0.0041281,0
1560000,otu_293_SG8-38,otu_11931_UBA4427,0,74.0294,-3.21201,0.0233151,0
1580000,otu_293_SG8-38,otu_11931_UBA4427,0,55.6183,-2.79454,0.107641,0
1580000,otu_427_SMWR01,NA,0.999846,19.8707,0.25328,8.81321,0
1600000,otu_293_SG8-38,otu_11931_UBA4427,0,59.7409,-2.8803,0.0691263,0
1620000,otu_293_SG8-38,otu_11931_UBA4427,0,80.2927,-3.26499,0.028101,0
1620000,otu_2290_Myxococcaceae,NA,0.918807,1.25147,0.491539,9.16207,0
1640000,otu_293_SG8-38,otu_11931_UBA4427,0,59.6489,-2.94653,0.0886447,0
1660000,otu_293_SG8-38,otu_11931_UBA4427,0,62.6906,-2.96285,0.00445477,0
1660000,otu_2181_Nannocystaceae,NA,0.59351,1.25814,-1.81963,9.08561,0
1680000,otu_293_SG8-38,otu_11931_UBA4427,0,53.9372,-2.82091,0.0161257,0
1700000,otu_293_SG8-38,otu_11931_UBA4427,0,58.4286,-2.94717,0.0934055,0
1700000,otu_8427_Polyangiaceae,NA,0.850533,6.38406,-1.12267,5.99712,0
1720000,otu_293_SG8-38,otu_11931_UBA4427,0,78.5207,-3.26369,0.0794698,0
1740000,otu_293_SG8-38,otu_11931_UBA4427,0,68.3588,-3.21659,0.0774767,0
1760000,otu_293_SG8-38,otu_11931_UBA4427,0,78.5116,-3.28609,0.0380512,0
1780000,otu_293_SG8-38,otu_11931_UBA4427,0,54.7647,-2.79518,0.0679099,0
1800000,otu_293_SG8-38,otu_11931_UBA4427,0,61.2302,-2.97674,0.00572108,0
1800000,otu_3189_Nannocystaceae,otu_178_Nannocystaceae,0.70244,7.57535,0.674899,2.64429,0
1820000,otu_293_SG8-38,otu_11931_UBA4427,0,69.7447,-3.16493,0.00152885,0
1820000,otu_1412_SG8-38,NA,0.962688,8.89489,-0.603702,27.7227,0
1840000,otu_293_SG8-38,otu_11931_UBA4427,0,71.2447,-3.21076,0.0758502,0
1860000,otu_293_SG8-38,otu_11931_UBA4427,0,62.5907,-2.99309,0.233981,0
1880000,otu_293_SG8-38,otu_11931_UBA4427,0,87.0377,-3.42931,0.12188,0
1900000,otu_293_SG8-38,otu_11931_UBA4427,0,74.6589,-3.15328,0.156701,0
1920000,otu_293_SG8-38,otu_11931_UBA4427,0,65.4047,-3.09487,0.0010636,0
1940000,otu_293_SG8-38,otu_11931_UBA4427,0,65.6511,-3.04442,0.0442153,0
1960000,otu_293_SG8-38,otu_11931_UBA4427,0,71.8029,-3.18315,0.0351783,0
1960000,otu_10358_Haliangiaceae,NA,0.757919,5.23107,-1.05967,15.8035,0
1980000,otu_293_SG8-38,otu_11931_UBA4427,0,66.9844,-3.12528,0.00466215,0
2000000,otu_293_SG8-38,otu_11931_UBA4427,0,70.7172,-3.17391,0.0687459,0
2020000,otu_293_SG8-38,otu_11931_UBA4427,0,77.5168,-3.31823,0.110182,0
2040000,otu_293_SG8-38,otu_11931_UBA4427,0,79.2138,-3.28294,0.039499,0
2060000,otu_293_SG8-38,otu_11931_UBA4427,0,51.7485,-2.76478,0.0472818,0
2080000,otu_293_SG8-38,otu_11931_UBA4427,0,76.6987,-3.24351,0.00141391,0
2100000,otu_293_SG8-38,otu_11931_UBA4427,0,87.4305,-3.45097,0.0225003,0
2120000,otu_293_SG8-38,otu_11931_UBA4427,0,84.7396,-3.38481,0.0516783,0
2120000,otu_2181_Nannocystaceae,NA,0.722874,1.49173,-1.23095,9.98805,0
2140000,otu_293_SG8-38,otu_11931_UBA4427,0,68.6073,-3.06779,0.107149,0
2160000,otu_293_SG8-38,otu_11931_UBA4427,0,96.4568,-3.52941,0.0633837,0
2160000,otu_4568_Myxococcaceae,NA,0.749059,5.58129,-1.22052,1.77762,0
2180000,otu_293_SG8-38,otu_11931_UBA4427,0,67.4218,-3.10196,0.0140386,0
2200000,otu_293_SG8-38,otu_11931_UBA4427,0,77.4684,-3.28714,0.0535115,0
2220000,otu_293_SG8-38,otu_11931_UBA4427,0,59.709,-2.86637,0.245118,0
2240000,otu_293_SG8-38,otu_11931_UBA4427,0,79.5566,-3.22799,0.153542,0
2260000,otu_293_SG8-38,otu_11931_UBA4427,0,82.7349,-3.3893,0.0376046,0
2280000,otu_293_SG8-38,otu_11931_UBA4427,0,71.3535,-3.20473,0.0420862,0
2300000,otu_293_SG8-38,otu_11931_UBA4427,0,59.1048,-2.93491,0.0379144,0
2320000,otu_293_SG8-38,otu_11931_UBA4427,0,74.7057,-3.19912,0.0217742,0
2340000,otu_293_SG8-38,otu_11931_UBA4427,0,66.948,-3.13641,0.0405052,0
2360000,otu_293_SG8-38,otu_11931_UBA4427,0,78.93,-3.28199,0.0121779,0
2380000,otu_293_SG8-38,otu_11931_UBA4427,0,66.8209,-3.08152,0.0766703,0
2400000,otu_293_SG8-38,otu_11931_UBA4427,0,80.6009,-3.29161,0.01704,0
2420000,otu_293_SG8-38,otu_11931_UBA4427,0,70.6004,-3.14604,0.0289004,0
2440000,otu_293_SG8-38,otu_11931_UBA4427,0,65.0476,-3.05602,0.00909217,0
