generation,rank_1,rank_2,swapAccepted
354000,3,4,1
355000,1,3,0
356000,1,3,0
357000,3,4,1
358000,2,3,0
359000,1,2,1
360000,1,3,1
361000,2,3,1
362000,1,4,1
363000,2,4,1
364000,2,3,1
365000,3,4,1
366000,2,4,0
367000,2,3,1
368000,1,3,1
369000,2,3,0
370000,1,4,0
371000,1,3,1
372000,2,4,0
373000,1,4,1
374000,2,3,1
375000,1,2,1
376000,2,3,1
377000,1,4,0
378000,3,4,1
379000,1,3,1
380000,1,4,1
381000,2,3,1
382000,2,3,1
383000,1,4,0
384000,2,4,1
385000,1,2,0
386000,1,2,1
387000,2,3,1
388000,1,2,1
389000,1,3,1
390000,1,4,1
391000,1,4,1
392000,2,4,1
393000,1,3,1
394000,2,3,0
395000,2,3,1
396000,1,3,0
397000,3,4,1
398000,3,4,1
399000,1,2,1
400000,2,3,1
401000,1,4,0
402000,1,3,1
403000,1,4,1
404000,1,4,0
405000,2,3,1
406000,2,3,1
407000,1,2,1
408000,2,3,1
409000,3,4,1
410000,2,3,0
411000,1,4,1
412000,1,4,1
413000,3,4,0
414000,2,4,1
415000,1,2,1
416000,2,4,0
417000,2,4,1
418000,2,3,1
419000,2,4,1
420000,1,4,1
421000,1,2,0
422000,1,4,1
423000,3,4,1
424000,3,4,0
425000,1,3,1
426000,2,4,1
427000,1,4,0
428000,2,3,1
429000,2,3,0
430000,1,3,0
431000,2,4,1
432000,2,3,1
433000,2,4,1
434000,2,3,1
435000,1,2,1
436000,1,4,1
437000,1,4,1
438000,2,4,0
439000,2,4,0
440000,1,2,1
441000,1,3,1
442000,2,4,1
443000,1,3,1
444000,3,4,1
445000,1,4,1
446000,1,2,1
447000,1,2,1
448000,1,3,1
449000,1,3,1
450000,1,3,1
451000,2,3,1
452000,2,3,1
453000,1,2,1
454000,3,4,1
455000,1,3,0
456000,2,4,1
457000,1,3,1
458000,2,3,1
459000,1,3,1
460000,3,4,1
461000,1,4,1
462000,1,4,1
463000,2,3,1
464000,2,4,1
465000,1,2,1
466000,3,4,0
467000,1,3,1
468000,1,3,1
469000,2,4,1
470000,1,4,0
471000,1,4,0
472000,1,2,0
473000,3,4,1
474000,2,4,0
475000,2,4,1
476000,3,4,1
477000,3,4,1
478000,1,4,1
479000,1,3,0
480000,2,3,1
481000,2,4,1
482000,1,3,1
483000,3,4,1
484000,3,4,1
485000,1,3,0
486000,1,4,0
487000,1,3,1
488000,1,2,1
489000,1,4,0
490000,3,4,1
491000,1,4,1
492000,2,3,1
493000,2,4,1
494000,1,4,0
495000,2,4,1
