generation,N_shifts,logPrior,logLik,eventRate,acceptRate
20900000,36,-409.752,2093.2,24.3249,0.517
20920000,28,-315.307,2072.88,21.7873,0.505091
20940000,25,-292.194,2101.74,21.8856,0.496
20960000,28,-325.549,2099.27,27.8653,0.463
20980000,25,-286.643,2098.94,36.1999,0.453
21000000,28,-313.671,2098.3,29.8998,0.472667
21020000,30,-336.792,2103.19,37.8081,0.476
21040000,30,-329.18,2058.03,30.41,0.492833
21060000,32,-357.834,2111.88,26.7681,0.485
21080000,37,-417.848,2073.74,29.7345,0.512
21100000,27,-308.512,2085.22,23.0784,0.489
21120000,32,-360.493,2088.11,38.4698,0.514
21140000,28,-319.057,2094.37,29.8368,0.486
21160000,30,-343.847,2093.2,27.7039,0.472
21180000,27,-304.914,2101.03,31.1391,0.505
21200000,25,-284.308,2083.57,21.978,0.447
21220000,30,-342.458,2126.77,25.5742,0.47
21240000,25,-297.763,2044.92,31.8125,0.468
21260000,33,-374.452,2122.04,35.3674,0.49456
21280000,29,-336.884,2111.37,30.9651,0.482
21300000,27,-310.488,2094.63,27.4289,0.523
21320000,32,-366.328,2087.79,34.336,0.494167
21340000,29,-328.237,2080.5,38.6061,0.474
21360000,33,-375.343,2072.48,28.7605,0.485
21380000,30,-337.137,2099.67,28.9618,0.456
21400000,29,-326.796,2090.89,31.9578,0.497
21420000,25,-283.282,2069.93,24.2192,0.478
21440000,28,-323.8,2103.42,32.3931,0.502
21460000,30,-336.564,2066.56,36.22,0.498
21480000,26,-293.184,2121.87,26.2014,0.518
21500000,28,-325.42,2114.41,30.7587,0.452
21520000,29,-336.253,2112.68,27.3867,0.479
21540000,30,-343.024,2117.35,41.6643,0.527
21560000,27,-311.31,2095.19,24.3917,0.463
21580000,33,-364.791,2096.48,37.7903,0.496
21600000,29,-332.002,2104.51,28.8173,0.48
21620000,28,-326.025,2111.96,39.0211,0.504
21640000,31,-347.397,2075.26,28.8115,0.455
21660000,32,-358.296,2108.59,34.3507,0.499
21680000,26,-296.493,2093.57,40.7947,0.509
21700000,30,-350.567,2081.03,29.6525,0.499
21720000,26,-295.063,2113.59,33.5825,0.4634
21740000,27,-302.94,2110.23,27.9906,0.454
21760000,30,-334.564,2105.77,30.3521,0.494
21780000,33,-374.759,2102.2,28.7165,0.485
21800000,32,-361.842,2126.39,35.6803,0.475
21820000,31,-353.652,2079.57,24.3561,0.484833
21840000,31,-369.52,2110.24,34.5845,0.471
21860000,31,-354.219,2138.57,23.404,0.482
21880000,31,-344.32,2089.08,29.2204,0.509
21900000,34,-384.759,2103.49,37.4206,0.522
21920000,31,-350.005,2101.25,30.686,0.478778
21940000,27,-312.005,2083.61,21.4878,0.462333
21960000,28,-316.939,2116.96,28.4227,0.481
21980000,28,-315.116,2090.59,24.7423,0.4842
22000000,26,-300.61,2084.18,31.9725,0.408
22020000,36,-403.907,2113.82,35.0355,0.502
22040000,35,-400.734,2129.16,42.4343,0.5072
22060000,26,-290.809,2111.08,26.1597,0.488
22080000,38,-427.409,2105.36,27.7826,0.499
22100000,29,-330.94,2105.66,36.9453,0.471
22120000,27,-304.361,2100.86,23.3044,0.470667
22140000,28,-311.224,2091.69,20.5715,0.501
22160000,32,-359.459,2109.97,52.0847,0.483
22180000,27,-303.674,2073.32,25.423,0.503143
22200000,32,-356.433,2094.05,36.7046,0.521
22220000,30,-344.967,2133.43,48.2513,0.476
22240000,33,-377.109,2126.29,25.9704,0.491
22260000,30,-349.777,2115.77,23.7407,0.478
22280000,29,-331.824,2107.97,26.8643,0.498
22300000,30,-349.843,2121.65,27.5721,0.461
